Features:; Ratha1995MinutiaeExtractor.pn
Average match time(ms):; 9,02656
EER(%):; 23,948
FMR100(%):; 35,714
FMR1000(%):; 37,857
ZeroFmr(%):; 37,857
Matcher:;PN
FMR;FNMR;Threshold
0,0000;0,3786;22,4525
0,0028;0,3786;22,0193
0,0028;0,3643;20,4025
0,0083;0,3643;19,7674
0,0083;0,3571;19,3047
0,0111;0,3571;19,2980
0,0111;0,3500;18,7094
0,0194;0,3500;17,5000
0,0194;0,3464;17,4284
0,0222;0,3464;17,4241
0,0222;0,3429;16,7705
0,0250;0,3429;16,5647
0,0250;0,3393;16,5025
0,0278;0,3393;16,2835
0,0278;0,3286;15,4746
0,0444;0,3286;15,0117
0,0444;0,3250;14,9478
0,0472;0,3250;14,9071
0,0472;0,3179;14,8348
0,0500;0,3179;14,5865
0,0500;0,3107;14,4399
0,0556;0,3107;14,1827
0,0556;0,3071;14,0894
0,0611;0,3071;13,8260
0,0611;0,3000;13,8039
0,0694;0,3000;13,6083
0,0694;0,2964;13,3631
0,0806;0,2964;12,3542
0,0806;0,2929;12,2826
0,0972;0,2929;11,6510
0,0972;0,2857;11,5316
0,1194;0,2857;10,5654
0,1194;0,2821;10,4846
0,1222;0,2821;10,4189
0,1222;0,2786;10,3695
0,1528;0,2786;9,1430
0,1528;0,2750;9,1121
0,1556;0,2750;9,0351
0,1556;0,2679;8,8977
0,1639;0,2679;8,7039
0,1639;0,2643;8,4921
0,1722;0,2643;8,1786
0,1722;0,2571;8,0351
0,1944;0,2571;7,6556
0,1944;0,2536;7,6222
0,2000;0,2536;7,4536
0,2000;0,2500;7,3499
0,2333;0,2500;6,5357
0,2333;0,2464;6,5161
0,2361;0,2464;6,3253
0,2361;0,2429;6,3246
0,2611;0,2429;4,1913
0,2611;0,2393;4,1505
0,2750;0,2393;2,9424
0,2750;0,2357;2,8868
1,0000;0,2357;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
