Features:; Ratha1995MinutiaeExtractor_Ratha1995OrImgExtractor.tk
Average match time(ms):; 22,30156
EER(%):; 14,683
FMR100(%):; 37,500
FMR1000(%):; 46,429
ZeroFmr(%):; 46,429
Matcher:;MTK
FMR;FNMR;Threshold
0,0000;0,4643;0,0081
0,0028;0,4643;0,0080
0,0028;0,4071;0,0068
0,0056;0,4071;0,0068
0,0056;0,3857;0,0064
0,0083;0,3857;0,0064
0,0083;0,3750;0,0062
0,0111;0,3750;0,0061
0,0111;0,3429;0,0055
0,0139;0,3429;0,0055
0,0139;0,3286;0,0049
0,0167;0,3286;0,0048
0,0167;0,2964;0,0042
0,0222;0,2964;0,0040
0,0222;0,2786;0,0037
0,0278;0,2786;0,0036
0,0278;0,2607;0,0032
0,0306;0,2607;0,0032
0,0306;0,2571;0,0031
0,0333;0,2571;0,0031
0,0333;0,2393;0,0030
0,0389;0,2393;0,0029
0,0389;0,2357;0,0029
0,0417;0,2357;0,0029
0,0417;0,2321;0,0029
0,0444;0,2321;0,0029
0,0444;0,2286;0,0029
0,0472;0,2286;0,0028
0,0472;0,2250;0,0028
0,0500;0,2250;0,0027
0,0500;0,2179;0,0026
0,0556;0,2179;0,0025
0,0556;0,2143;0,0025
0,0583;0,2143;0,0025
0,0583;0,2000;0,0024
0,0639;0,2000;0,0024
0,0639;0,1929;0,0024
0,0694;0,1929;0,0023
0,0694;0,1893;0,0023
0,0861;0,1893;0,0022
0,0861;0,1857;0,0022
0,0944;0,1857;0,0021
0,0944;0,1821;0,0021
0,0972;0,1821;0,0021
0,0972;0,1714;0,0020
0,1028;0,1714;0,0019
0,1028;0,1679;0,0019
0,1083;0,1679;0,0019
0,1083;0,1643;0,0019
0,1222;0,1643;0,0017
0,1222;0,1607;0,0017
0,1250;0,1607;0,0017
0,1250;0,1571;0,0017
0,1306;0,1571;0,0016
0,1306;0,1536;0,0016
0,1333;0,1536;0,0016
0,1333;0,1500;0,0016
0,1472;0,1500;0,0015
0,1472;0,1464;0,0015
0,1500;0,1464;0,0015
0,1500;0,1429;0,0015
0,1556;0,1429;0,0015
0,1556;0,1393;0,0014
0,1611;0,1393;0,0014
0,1611;0,1357;0,0014
0,1722;0,1357;0,0013
0,1722;0,1321;0,0013
0,1944;0,1321;0,0013
0,1944;0,1286;0,0012
0,2056;0,1286;0,0012
0,2056;0,1250;0,0012
0,2222;0,1250;0,0012
0,2222;0,1214;0,0012
0,2250;0,1214;0,0012
0,2250;0,1143;0,0011
0,2361;0,1143;0,0011
0,2361;0,1107;0,0011
0,2389;0,1107;0,0011
0,2389;0,1071;0,0011
0,2694;0,1071;0,0010
0,2694;0,1036;0,0010
0,2889;0,1036;0,0009
0,2889;0,1000;0,0009
0,3167;0,1000;0,0009
0,3167;0,0964;0,0009
0,3306;0,0964;0,0008
0,3306;0,0929;0,0008
0,3556;0,0929;0,0008
0,3556;0,0893;0,0008
0,4028;0,0893;0,0007
0,4028;0,0857;0,0007
0,4083;0,0857;0,0007
0,4083;0,0821;0,0007
0,4389;0,0821;0,0006
0,4389;0,0786;0,0006
0,4528;0,0786;0,0006
0,4528;0,0750;0,0006
0,4583;0,0750;0,0006
0,4583;0,0714;0,0006
0,5111;0,0714;0,0005
0,5111;0,0679;0,0005
0,5333;0,0679;0,0005
0,5333;0,0643;0,0005
0,5583;0,0643;0,0005
0,5583;0,0607;0,0005
0,7056;0,0607;0,0003
0,7056;0,0571;0,0003
0,7667;0,0571;0,0003
0,7667;0,0536;0,0003
0,7750;0,0536;0,0003
0,7750;0,0500;0,0003
0,8194;0,0500;0,0002
0,8194;0,0464;0,0002
0,8306;0,0464;0,0002
0,8306;0,0429;0,0002
0,8361;0,0429;0,0002
0,8361;0,0393;0,0002
0,8528;0,0393;0,0002
0,8528;0,0357;0,0002
0,8639;0,0357;0,0002
0,8639;0,0321;0,0002
0,8694;0,0321;0,0002
0,8694;0,0286;0,0002
0,8722;0,0286;0,0002
0,8722;0,0250;0,0002
0,8833;0,0250;0,0002
0,8833;0,0214;0,0002
0,9167;0,0214;0,0001
0,9167;0,0179;0,0001
0,9194;0,0179;0,0001
0,9194;0,0143;0,0001
0,9222;0,0143;0,0001
0,9222;0,0107;0,0001
0,9250;0,0107;0,0001
0,9250;0,0071;0,0001
0,9444;0,0071;0,0001
0,9444;0,0036;0,0001
0,9694;0,0036;0,0001
0,9694;0,0000;0,0001
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
