Features:; Ratha1995MinutiaeExtractor(4).mtp
Average match time(ms):; 1,04375
EER(%):; 20,496
FMR100(%):; 46,071
FMR1000(%):; 57,500
ZeroFmr(%):; 57,500
Matcher:;M3gl
FMR;FNMR;Threshold
0,0000;0,5750;0,0672
0,0028;0,5750;0,0671
0,0028;0,5071;0,0467
0,0056;0,5071;0,0452
0,0056;0,5000;0,0438
0,0083;0,5000;0,0437
0,0083;0,4607;0,0336
0,0167;0,4607;0,0332
0,0167;0,4571;0,0332
0,0194;0,4571;0,0331
0,0194;0,4357;0,0312
0,0250;0,4357;0,0308
0,0250;0,4107;0,0290
0,0306;0,4107;0,0286
0,0306;0,4071;0,0278
0,0361;0,4071;0,0272
0,0361;0,4036;0,0270
0,0389;0,4036;0,0263
0,0389;0,3929;0,0240
0,0472;0,3929;0,0230
0,0472;0,3893;0,0230
0,0500;0,3893;0,0223
0,0500;0,3857;0,0223
0,0528;0,3857;0,0222
0,0528;0,3786;0,0220
0,0556;0,3786;0,0218
0,0556;0,3714;0,0206
0,0611;0,3714;0,0205
0,0611;0,3643;0,0197
0,0722;0,3643;0,0193
0,0722;0,3571;0,0191
0,0750;0,3571;0,0189
0,0750;0,3500;0,0189
0,0778;0,3500;0,0188
0,0778;0,3393;0,0186
0,0944;0,3393;0,0179
0,0944;0,3357;0,0179
0,0972;0,3357;0,0178
0,0972;0,3321;0,0178
0,1000;0,3321;0,0176
0,1000;0,3286;0,0174
0,1056;0,3286;0,0173
0,1056;0,3143;0,0169
0,1083;0,3143;0,0167
0,1083;0,3107;0,0167
0,1167;0,3107;0,0166
0,1167;0,3036;0,0164
0,1222;0,3036;0,0163
0,1222;0,3000;0,0162
0,1250;0,3000;0,0161
0,1250;0,2964;0,0159
0,1278;0,2964;0,0158
0,1278;0,2929;0,0158
0,1306;0,2929;0,0157
0,1306;0,2893;0,0157
0,1361;0,2893;0,0156
0,1361;0,2857;0,0153
0,1444;0,2857;0,0150
0,1444;0,2786;0,0149
0,1472;0,2786;0,0148
0,1472;0,2750;0,0148
0,1500;0,2750;0,0145
0,1500;0,2714;0,0144
0,1528;0,2714;0,0144
0,1528;0,2679;0,0143
0,1556;0,2679;0,0141
0,1556;0,2643;0,0141
0,1611;0,2643;0,0140
0,1611;0,2607;0,0139
0,1667;0,2607;0,0139
0,1667;0,2536;0,0137
0,1694;0,2536;0,0136
0,1694;0,2464;0,0136
0,1722;0,2464;0,0135
0,1722;0,2429;0,0135
0,1750;0,2429;0,0132
0,1750;0,2357;0,0132
0,1833;0,2357;0,0132
0,1833;0,2321;0,0132
0,1889;0,2321;0,0131
0,1889;0,2250;0,0131
0,1917;0,2250;0,0130
0,1917;0,2179;0,0130
0,2028;0,2179;0,0128
0,2028;0,2071;0,0126
0,2139;0,2071;0,0125
0,2139;0,2036;0,0124
0,2306;0,2036;0,0121
0,2306;0,2000;0,0121
0,2583;0,2000;0,0117
0,2583;0,1964;0,0116
0,2694;0,1964;0,0115
0,2694;0,1893;0,0115
0,2722;0,1893;0,0114
0,2722;0,1857;0,0114
0,2944;0,1857;0,0111
0,2944;0,1786;0,0111
0,3139;0,1786;0,0108
0,3139;0,1714;0,0108
0,3250;0,1714;0,0103
0,3250;0,1643;0,0103
0,3278;0,1643;0,0102
0,3278;0,1607;0,0102
0,3472;0,1607;0,0099
0,3472;0,1571;0,0098
0,3639;0,1571;0,0096
0,3639;0,1536;0,0096
0,3722;0,1536;0,0095
0,3722;0,1500;0,0095
0,3972;0,1500;0,0094
0,3972;0,1464;0,0094
0,4139;0,1464;0,0089
0,4139;0,1429;0,0089
0,4528;0,1429;0,0083
0,4528;0,1393;0,0083
0,4861;0,1393;0,0078
0,4861;0,1357;0,0078
0,4889;0,1357;0,0078
0,4889;0,1321;0,0078
0,4917;0,1321;0,0077
0,4917;0,1286;0,0077
0,5111;0,1286;0,0073
0,5111;0,1214;0,0073
0,5333;0,1214;0,0069
0,5333;0,1179;0,0069
0,5417;0,1179;0,0068
0,5417;0,1143;0,0068
0,5889;0,1143;0,0063
0,5889;0,1107;0,0063
0,6083;0,1107;0,0061
0,6083;0,1071;0,0061
0,6167;0,1071;0,0060
0,6167;0,1036;0,0059
0,6222;0,1036;0,0058
0,6222;0,1000;0,0057
0,6306;0,1000;0,0056
0,6306;0,0964;0,0055
0,6389;0,0964;0,0055
0,6389;0,0929;0,0055
0,6417;0,0929;0,0055
0,6417;0,0893;0,0054
0,6639;0,0893;0,0049
0,6639;0,0857;0,0049
0,6806;0,0857;0,0049
0,6806;0,0821;0,0048
0,7000;0,0821;0,0045
0,7000;0,0750;0,0045
0,7028;0,0750;0,0044
0,7028;0,0714;0,0044
0,7083;0,0714;0,0043
0,7083;0,0643;0,0042
0,7167;0,0643;0,0042
0,7167;0,0571;0,0041
0,7306;0,0571;0,0040
0,7306;0,0464;0,0038
0,7417;0,0464;0,0035
0,7417;0,0429;0,0034
0,7528;0,0429;0,0033
0,7528;0,0393;0,0033
0,7694;0,0393;0,0022
0,7694;0,0357;0,0019
1,0000;0,0357;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
