Features:; Ratha1995MinutiaeExtractor_Ratha1995OrImgExtractor.qyw
Average match time(ms):; 7,28594
EER(%):; 15,516
FMR100(%):; 41,429
FMR1000(%):; 58,571
ZeroFmr(%):; 58,571
Matcher:;MQYW
FMR;FNMR;Threshold
0,0000;0,5857;0,4142
0,0028;0,5857;0,4122
0,0028;0,4893;0,3819
0,0056;0,4893;0,3818
0,0056;0,4250;0,3507
0,0083;0,4250;0,3482
0,0083;0,4143;0,3434
0,0139;0,4143;0,3422
0,0139;0,3786;0,3312
0,0167;0,3786;0,3312
0,0167;0,3750;0,3311
0,0278;0,3750;0,3309
0,0278;0,3643;0,3243
0,0306;0,3643;0,3232
0,0306;0,3607;0,3221
0,0333;0,3607;0,3218
0,0333;0,3500;0,3198
0,0361;0,3500;0,3183
0,0361;0,3357;0,3175
0,0389;0,3357;0,3151
0,0389;0,3250;0,3135
0,0472;0,3250;0,3097
0,0472;0,3107;0,3058
0,0500;0,3107;0,3057
0,0500;0,2964;0,3025
0,0556;0,2964;0,3022
0,0556;0,2821;0,2982
0,0639;0,2821;0,2971
0,0639;0,2786;0,2956
0,0667;0,2786;0,2946
0,0667;0,2714;0,2940
0,0750;0,2714;0,2917
0,0750;0,2679;0,2899
0,0861;0,2679;0,2838
0,0861;0,2607;0,2838
0,0889;0,2607;0,2835
0,0889;0,2536;0,2801
0,0944;0,2536;0,2793
0,0944;0,2464;0,2784
0,1000;0,2464;0,2782
0,1000;0,2286;0,2763
0,1028;0,2286;0,2760
0,1028;0,2250;0,2759
0,1056;0,2250;0,2756
0,1056;0,2071;0,2715
0,1167;0,2071;0,2672
0,1167;0,2000;0,2658
0,1194;0,2000;0,2630
0,1194;0,1964;0,2618
0,1306;0,1964;0,2586
0,1306;0,1929;0,2577
0,1361;0,1929;0,2572
0,1361;0,1857;0,2564
0,1389;0,1857;0,2564
0,1389;0,1821;0,2560
0,1417;0,1821;0,2556
0,1417;0,1679;0,2484
0,1472;0,1679;0,2483
0,1472;0,1643;0,2483
0,1639;0,1643;0,2477
0,1639;0,1464;0,2385
0,1667;0,1464;0,2383
0,1667;0,1393;0,2369
0,1778;0,1393;0,2335
0,1778;0,1357;0,2334
0,1833;0,1357;0,2308
0,1833;0,1250;0,2295
0,1889;0,1250;0,2294
0,1889;0,1214;0,2293
0,1917;0,1214;0,2291
0,1917;0,1143;0,2290
0,1972;0,1143;0,2290
0,1972;0,1071;0,2275
0,2111;0,1071;0,2257
0,2111;0,0964;0,2208
0,2194;0,0964;0,2205
0,2194;0,0929;0,2205
0,2222;0,0929;0,2204
0,2222;0,0857;0,2178
0,2361;0,0857;0,2145
0,2361;0,0786;0,2128
0,2528;0,0786;0,2088
0,2528;0,0750;0,2071
0,2639;0,0750;0,2068
0,2639;0,0714;0,2064
0,2806;0,0714;0,2037
0,2806;0,0536;0,1988
0,2861;0,0536;0,1987
0,2861;0,0500;0,1987
0,3472;0,0500;0,1891
0,3472;0,0464;0,1891
0,3833;0,0464;0,1807
0,3833;0,0429;0,1807
0,3917;0,0429;0,1805
0,3917;0,0393;0,1798
0,4250;0,0393;0,1737
0,4250;0,0357;0,1728
0,4472;0,0357;0,1692
0,4472;0,0321;0,1688
0,4500;0,0321;0,1687
0,4500;0,0286;0,1684
0,4750;0,0286;0,1631
0,4750;0,0214;0,1626
0,6139;0,0214;0,1380
0,6139;0,0179;0,1370
0,6333;0,0179;0,1353
0,6333;0,0143;0,1349
0,9722;0,0143;0,0510
0,9722;0,0107;0,0452
1,0000;0,0107;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
