Features:; Ratha1995MinutiaeExtractor_Ratha1995OrImgExtractor.qyw
Average match time(ms):; 6,94375
EER(%):; 22,321
FMR100(%):; 65,357
FMR1000(%):; 78,214
ZeroFmr(%):; 78,214
Matcher:;QYW
FMR;FNMR;Threshold
0,0000;0,7821;0,5846
0,0028;0,7821;0,5831
0,0028;0,7036;0,5439
0,0056;0,7036;0,5409
0,0056;0,6821;0,5238
0,0083;0,6821;0,5235
0,0083;0,6536;0,5164
0,0111;0,6536;0,5158
0,0111;0,6321;0,5047
0,0139;0,6321;0,5032
0,0139;0,5679;0,4769
0,0167;0,5679;0,4747
0,0167;0,5607;0,4737
0,0194;0,5607;0,4727
0,0194;0,4964;0,4449
0,0222;0,4964;0,4445
0,0222;0,4821;0,4406
0,0250;0,4821;0,4401
0,0250;0,4750;0,4377
0,0278;0,4750;0,4360
0,0278;0,4607;0,4320
0,0306;0,4607;0,4312
0,0306;0,4321;0,4253
0,0333;0,4321;0,4252
0,0333;0,4214;0,4211
0,0417;0,4214;0,4162
0,0417;0,4071;0,4139
0,0444;0,4071;0,4137
0,0444;0,4036;0,4063
0,0472;0,4036;0,4059
0,0472;0,3893;0,3978
0,0500;0,3893;0,3975
0,0500;0,3821;0,3971
0,0556;0,3821;0,3967
0,0556;0,3786;0,3966
0,0611;0,3786;0,3958
0,0611;0,3714;0,3912
0,0722;0,3714;0,3883
0,0722;0,3679;0,3863
0,0750;0,3679;0,3861
0,0750;0,3464;0,3769
0,0861;0,3464;0,3748
0,0861;0,3321;0,3720
0,0889;0,3321;0,3720
0,0889;0,3286;0,3698
0,0917;0,3286;0,3691
0,0917;0,3250;0,3680
0,0944;0,3250;0,3674
0,0944;0,3214;0,3673
0,1000;0,3214;0,3654
0,1000;0,3179;0,3618
0,1167;0,3179;0,3578
0,1167;0,3143;0,3575
0,1278;0,3143;0,3563
0,1278;0,3036;0,3520
0,1306;0,3036;0,3484
0,1306;0,3000;0,3477
0,1361;0,3000;0,3467
0,1361;0,2893;0,3451
0,1417;0,2893;0,3449
0,1417;0,2857;0,3449
0,1528;0,2857;0,3437
0,1528;0,2786;0,3431
0,1722;0,2786;0,3366
0,1722;0,2607;0,3310
0,1750;0,2607;0,3307
0,1750;0,2571;0,3306
0,1889;0,2571;0,3302
0,1889;0,2357;0,3200
0,1917;0,2357;0,3186
0,1917;0,2321;0,3177
0,1944;0,2321;0,3175
0,1944;0,2286;0,3173
0,2250;0,2286;0,3131
0,2250;0,2214;0,3102
0,2389;0,2214;0,3091
0,2389;0,2179;0,3078
0,2444;0,2179;0,3069
0,2444;0,2107;0,3054
0,2472;0,2107;0,3053
0,2472;0,2071;0,3051
0,2500;0,2071;0,3047
0,2500;0,1964;0,3021
0,2556;0,1964;0,3018
0,2556;0,1893;0,3015
0,2583;0,1893;0,3004
0,2583;0,1786;0,2980
0,2750;0,1786;0,2953
0,2750;0,1750;0,2942
0,2806;0,1750;0,2941
0,2806;0,1714;0,2940
0,2861;0,1714;0,2935
0,2861;0,1643;0,2919
0,2917;0,1643;0,2896
0,2917;0,1607;0,2892
0,2944;0,1607;0,2889
0,2944;0,1571;0,2883
0,3278;0,1571;0,2826
0,3278;0,1536;0,2784
0,3583;0,1536;0,2711
0,3583;0,1500;0,2708
0,3694;0,1500;0,2668
0,3694;0,1393;0,2646
0,3778;0,1393;0,2643
0,3778;0,1357;0,2626
0,3861;0,1357;0,2605
0,3861;0,1321;0,2601
0,3889;0,1321;0,2587
0,3889;0,1286;0,2587
0,4278;0,1286;0,2521
0,4278;0,1250;0,2490
0,4306;0,1250;0,2483
0,4306;0,1214;0,2482
0,4444;0,1214;0,2479
0,4444;0,1179;0,2477
0,4472;0,1179;0,2476
0,4472;0,1107;0,2427
0,4500;0,1107;0,2395
0,4500;0,1071;0,2392
0,4694;0,1071;0,2348
0,4694;0,1036;0,2346
0,5000;0,1036;0,2285
0,5000;0,1000;0,2283
0,5194;0,1000;0,2248
0,5194;0,0964;0,2245
0,5639;0,0964;0,2158
0,5639;0,0929;0,2158
0,5667;0,0929;0,2158
0,5667;0,0857;0,2156
0,5861;0,0857;0,2092
0,5861;0,0821;0,2090
0,5917;0,0821;0,2086
0,5917;0,0786;0,2086
0,5944;0,0786;0,2085
0,5944;0,0714;0,2066
0,6056;0,0714;0,2039
0,6056;0,0679;0,2037
0,6083;0,0679;0,2033
0,6083;0,0643;0,2028
0,6139;0,0643;0,2016
0,6139;0,0607;0,1994
0,6250;0,0607;0,1983
0,6250;0,0571;0,1982
0,6389;0,0571;0,1980
0,6389;0,0536;0,1956
0,6417;0,0536;0,1952
0,6417;0,0500;0,1947
0,6861;0,0500;0,1887
0,6861;0,0429;0,1838
0,7167;0,0429;0,1804
0,7167;0,0393;0,1803
0,7472;0,0393;0,1771
0,7472;0,0357;0,1770
0,7583;0,0357;0,1708
0,7583;0,0321;0,1693
0,7639;0,0321;0,1677
0,7639;0,0286;0,1658
0,8083;0,0286;0,1547
0,8083;0,0250;0,1527
0,8333;0,0250;0,1450
0,8333;0,0214;0,1422
0,8556;0,0214;0,1340
0,8556;0,0179;0,1326
0,8722;0,0179;0,1270
0,8722;0,0143;0,1243
0,9139;0,0143;0,1104
0,9139;0,0107;0,1104
0,9778;0,0107;0,0762
0,9778;0,0071;0,0726
0,9972;0,0071;0,0524
0,9972;0,0000;0,0355
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
