Features:; Ratha1995MinutiaeExtractor_Ratha1995SkeImgExtractor.jy
Average match time(ms):; 3,63438
EER(%):; 18,770
FMR100(%):; 33,214
FMR1000(%):; 42,143
ZeroFmr(%):; 42,143
Matcher:;MJY
FMR;FNMR;Threshold
0,0000;0,4214;20,9302
0,0028;0,4214;20,8333
0,0028;0,3571;18,9189
0,0056;0,3571;18,6047
0,0056;0,3321;17,1875
0,0167;0,3321;16,6667
0,0167;0,3214;16,4179
0,0250;0,3214;16,1290
0,0250;0,3179;16,1290
0,0278;0,3179;16,0000
0,0278;0,3143;16,0000
0,0389;0,3143;15,6250
0,0389;0,3071;15,5556
0,0417;0,3071;15,3846
0,0417;0,2821;15,3846
0,0528;0,2821;14,2857
0,0528;0,2607;14,0625
0,0556;0,2607;13,9535
0,0556;0,2571;13,9535
0,0583;0,2571;13,7931
0,0583;0,2536;13,7931
0,0639;0,2536;13,7255
0,0639;0,2464;13,7255
0,0694;0,2464;13,6364
0,0694;0,2429;13,4328
0,0917;0,2429;12,9032
0,0917;0,2286;12,9032
0,0944;0,2286;12,6984
0,0944;0,2250;12,6984
0,1167;0,2250;12,5000
0,1167;0,2179;12,5000
0,1222;0,2179;12,1951
0,1222;0,2143;12,1951
0,1389;0,2143;11,9403
0,1389;0,2107;11,9403
0,1556;0,2107;11,7647
0,1556;0,2036;11,7647
0,1694;0,2036;11,5385
0,1694;0,2000;11,5385
0,1750;0,2000;11,3636
0,1750;0,1964;11,3636
0,1861;0,1964;11,1111
0,1861;0,1893;10,9375
0,2028;0,1893;10,8108
0,2028;0,1857;10,8108
0,2056;0,1857;10,7692
0,2056;0,1821;10,7692
0,2111;0,1821;10,7143
0,2111;0,1750;10,7143
0,2222;0,1750;10,5263
0,2222;0,1679;10,5263
0,2333;0,1679;10,3448
0,2333;0,1643;10,3448
0,2611;0,1643;10,0000
0,2611;0,1607;10,0000
0,2667;0,1607;9,8039
0,2667;0,1571;9,8039
0,2861;0,1571;9,6774
0,2861;0,1500;9,6774
0,3000;0,1500;9,6154
0,3000;0,1429;9,6154
0,3028;0,1429;9,5238
0,3028;0,1321;9,5238
0,3222;0,1321;9,3750
0,3222;0,1107;9,3750
0,3278;0,1107;9,3023
0,3278;0,1071;9,3023
0,3361;0,1071;9,2593
0,3361;0,1036;9,2593
0,3556;0,1036;9,0909
0,3556;0,1000;9,0909
0,3639;0,1000;8,8889
0,3639;0,0964;8,8889
0,3722;0,0964;8,8235
0,3722;0,0929;8,8235
0,3944;0,0929;8,5714
0,3944;0,0857;8,5714
0,4250;0,0857;8,1081
0,4250;0,0821;8,1081
0,4333;0,0821;8,0000
0,4333;0,0786;8,0000
0,4556;0,0786;7,8431
0,4556;0,0679;7,8431
0,5056;0,0679;7,6923
0,5056;0,0643;7,6923
0,5111;0,0643;7,5472
0,5111;0,0607;7,5472
0,5389;0,0607;7,5000
0,5389;0,0571;7,4627
0,5444;0,0571;7,4074
0,5444;0,0536;7,4074
0,5944;0,0536;7,1429
0,5944;0,0464;7,1429
0,6444;0,0464;6,8966
0,6444;0,0393;6,8966
0,6528;0,0393;6,8182
0,6528;0,0357;6,8182
0,6861;0,0357;6,6667
0,6861;0,0286;6,6667
0,7139;0,0286;6,3492
0,7139;0,0250;6,3492
0,7500;0,0250;6,2500
0,7500;0,0179;6,2500
0,7889;0,0179;5,8824
0,7889;0,0143;5,8824
0,8222;0,0143;5,7143
0,8222;0,0071;5,7143
0,8444;0,0071;5,5556
0,8444;0,0036;5,5556
0,8889;0,0036;5,1724
0,8889;0,0000;5,1282
1,0000;0,0000;3,4483
1,0000;0,0000;3,4483
1,0000;0,0000;3,4483
