Features:; Delaunay(Ratha1995MinutiaeExtractor).mtp
Average match time(ms):; 1,38906
EER(%):; 20,000
FMR100(%):; 38,929
FMR1000(%):; 46,071
ZeroFmr(%):; 46,071
Matcher:;MPN
FMR;FNMR;Threshold
0,0000;0,4607;35,7143
0,0028;0,4607;35,4787
0,0028;0,4107;31,4945
0,0056;0,4107;31,4270
0,0056;0,4036;30,9890
0,0083;0,4036;30,9173
0,0083;0,3893;28,6671
0,0139;0,3893;28,4029
0,0139;0,3643;27,1964
0,0194;0,3643;26,7261
0,0194;0,3571;26,1968
0,0222;0,3571;26,1861
0,0222;0,3536;25,7172
0,0250;0,3536;25,4762
0,0250;0,3393;25,0924
0,0306;0,3393;24,6533
0,0306;0,3321;24,5256
0,0333;0,3321;24,3432
0,0333;0,3286;24,0192
0,0361;0,3286;23,8833
0,0361;0,3179;23,5294
0,0472;0,3179;22,9616
0,0472;0,3143;22,8665
0,0556;0,3143;22,4818
0,0556;0,3000;22,1880
0,0583;0,3000;22,1694
0,0583;0,2964;22,1601
0,0667;0,2964;21,4868
0,0667;0,2893;21,3201
0,0806;0,2893;20,9427
0,0806;0,2821;20,8700
0,0833;0,2821;20,6897
0,0833;0,2750;20,5832
0,0944;0,2750;20,2289
0,0944;0,2714;20,0000
0,0972;0,2714;19,8148
0,0972;0,2679;19,7450
0,1028;0,2679;19,7203
0,1028;0,2607;19,5180
0,1111;0,2607;19,4061
0,1111;0,2536;19,3649
0,1139;0,2536;19,2117
0,1139;0,2464;19,0885
0,1167;0,2464;19,0757
0,1167;0,2321;18,8593
0,1444;0,2321;18,4017
0,1444;0,2214;18,2481
0,1472;0,2214;17,9969
0,1472;0,2179;17,8410
0,1667;0,2179;17,3916
0,1667;0,2143;17,3276
0,1806;0,2143;16,9809
0,1806;0,2107;16,8880
0,1861;0,2107;16,7054
0,1861;0,2071;16,6667
0,1889;0,2071;16,6091
0,1889;0,2036;16,6091
0,2000;0,2036;16,3663
0,2000;0,2000;16,3430
0,2056;0,2000;16,3299
0,2056;0,1893;16,2221
0,2167;0,1893;16,0128
0,2167;0,1857;15,9752
0,2611;0,1857;15,3252
0,2611;0,1786;15,2145
0,2694;0,1786;15,0619
0,2694;0,1714;14,9071
0,2889;0,1714;14,4338
0,2889;0,1679;14,4338
0,2972;0,1679;14,3267
0,2972;0,1643;14,1737
0,3083;0,1643;13,8013
0,3083;0,1607;13,8013
0,3139;0,1607;13,6931
0,3139;0,1571;13,6931
0,3167;0,1571;13,5302
0,3167;0,1536;13,4164
0,3333;0,1536;13,1216
0,3333;0,1500;12,9777
0,3417;0,1500;12,5245
0,3417;0,1429;12,4226
0,3444;0,1429;12,4035
0,3444;0,1393;12,3655
0,3694;0,1393;11,9523
0,3694;0,1357;11,9523
0,3917;0,1357;11,5045
0,3917;0,1321;11,5011
0,3944;0,1321;11,4939
0,3944;0,1286;11,4708
0,4083;0,1286;11,1803
0,4083;0,1250;11,1456
0,4250;0,1250;10,6066
0,4250;0,1179;10,4447
0,4361;0,1179;10,2262
0,4361;0,1143;10,1892
0,4722;0,1143;9,2582
0,4722;0,1107;9,1670
0,4750;0,1107;9,1287
0,4750;0,1071;9,1287
0,5000;0,1071;7,5593
0,5000;0,0964;7,0711
0,5139;0,0964;5,1434
0,5139;0,0857;4,0825
1,0000;0,0857;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
