Features:; Ratha1995MinutiaeExtractor_Ratha1995SkeImgExtractor.jy
Average match time(ms):; 4,18750
EER(%):; 32,044
FMR100(%):; 62,500
FMR1000(%):; 72,143
ZeroFmr(%):; 72,143
Matcher:;JY
FMR;FNMR;Threshold
0,0000;0,7214;36,7626
0,0028;0,7214;36,3505
0,0028;0,6821;34,0107
0,0056;0,6821;33,9140
0,0056;0,6250;30,0467
0,0111;0,6250;29,7974
0,0111;0,6143;28,8498
0,0139;0,6143;28,5478
0,0139;0,6000;27,6293
0,0167;0,6000;27,4731
0,0167;0,5964;27,2563
0,0194;0,5964;26,8056
0,0194;0,5929;26,4159
0,0222;0,5929;26,2058
0,0222;0,5714;25,3359
0,0250;0,5714;25,2454
0,0250;0,5679;25,2023
0,0306;0,5679;25,1160
0,0306;0,5536;24,3127
0,0333;0,5536;23,8155
0,0333;0,5429;23,6854
0,0389;0,5429;23,5968
0,0389;0,5393;23,3722
0,0417;0,5393;23,3107
0,0417;0,5321;23,1508
0,0472;0,5321;23,0322
0,0472;0,5179;22,7785
0,0556;0,5179;22,2397
0,0556;0,5036;21,2725
0,0639;0,5036;21,1629
0,0639;0,4893;20,8245
0,0722;0,4893;20,5704
0,0722;0,4857;20,5419
0,0833;0,4857;20,1568
0,0833;0,4821;20,1442
0,0861;0,4821;20,0770
0,0861;0,4786;19,9980
0,0944;0,4786;19,8346
0,0944;0,4714;19,6463
0,0972;0,4714;19,5940
0,0972;0,4571;19,1461
0,1028;0,4571;18,8922
0,1028;0,4464;18,5946
0,1056;0,4464;18,5030
0,1056;0,4429;18,3692
0,1083;0,4429;18,3310
0,1083;0,4393;18,3274
0,1139;0,4393;18,3144
0,1139;0,4357;18,1620
0,1417;0,4357;17,3840
0,1417;0,4321;17,2534
0,1500;0,4321;16,9210
0,1500;0,4286;16,7290
0,1528;0,4286;16,6951
0,1528;0,4250;16,6931
0,1694;0,4250;16,0287
0,1694;0,4143;15,7295
0,1972;0,4143;15,3085
0,1972;0,4107;15,2742
0,2083;0,4107;15,0014
0,2083;0,4071;14,9496
0,2167;0,4071;14,9056
0,2167;0,4036;14,8562
0,2194;0,4036;14,7918
0,2194;0,4000;14,7532
0,2250;0,4000;14,6907
0,2250;0,3929;14,6361
0,2278;0,3929;14,6001
0,2278;0,3857;14,5071
0,2333;0,3857;14,4873
0,2333;0,3786;14,4482
0,2417;0,3786;14,4039
0,2417;0,3750;14,3489
0,2444;0,3750;14,2909
0,2444;0,3714;14,2253
0,2556;0,3714;14,1365
0,2556;0,3679;14,1194
0,2583;0,3679;14,0782
0,2583;0,3571;13,7332
0,2722;0,3571;13,5616
0,2722;0,3536;13,5210
0,2750;0,3536;13,4593
0,2750;0,3500;13,4289
0,2778;0,3500;13,3910
0,2778;0,3464;13,3908
0,3000;0,3464;13,0171
0,3000;0,3357;12,9927
0,3028;0,3357;12,9024
0,3028;0,3321;12,8951
0,3056;0,3321;12,8877
0,3056;0,3286;12,8730
0,3194;0,3286;12,7307
0,3194;0,3214;12,6505
0,3250;0,3214;12,5821
0,3250;0,3107;12,4631
0,3278;0,3107;12,4179
0,3278;0,3036;12,1441
0,3333;0,3036;12,1337
0,3333;0,2893;11,9064
0,3389;0,2893;11,8344
0,3389;0,2857;11,8337
0,3472;0,2857;11,7801
0,3472;0,2821;11,7527
0,3667;0,2821;11,4434
0,3667;0,2786;11,3967
0,3694;0,2786;11,3153
0,3694;0,2750;11,2718
0,3750;0,2750;11,0086
0,3750;0,2679;10,8154
0,4111;0,2679;10,3259
0,4111;0,2643;10,2797
0,4139;0,2643;10,1747
0,4139;0,2536;9,8565
0,4278;0,2536;9,6443
0,4278;0,2500;9,6120
0,4306;0,2500;9,3544
0,4306;0,2464;9,3292
0,4361;0,2464;8,9067
0,4361;0,2429;8,8438
0,4389;0,2429;8,6229
0,4389;0,2357;8,5859
0,4444;0,2357;8,4615
0,4444;0,2286;8,3806
0,4500;0,2286;8,2561
0,4500;0,2250;8,2443
0,4528;0,2250;8,1621
0,4528;0,2214;8,0098
0,4694;0,2214;7,0899
0,4694;0,2143;6,9268
0,4778;0,2143;6,4972
0,4778;0,2107;6,4719
1,0000;0,2107;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
