Features:; Ratha1995MinutiaeExtractor_Ratha1995OrImgExtractor.tk
Average match time(ms):; 9,76250
EER(%):; 8,135
FMR100(%):; 18,214
FMR1000(%):; 37,857
ZeroFmr(%):; 37,857
Matcher:;TK
FMR;FNMR;Threshold
0,0000;0,3786;0,0104
0,0028;0,3786;0,0103
0,0028;0,3607;0,0098
0,0056;0,3607;0,0098
0,0056;0,1857;0,0059
0,0083;0,1857;0,0055
0,0083;0,1821;0,0055
0,0111;0,1821;0,0054
0,0111;0,1750;0,0052
0,0139;0,1750;0,0051
0,0139;0,1500;0,0048
0,0167;0,1500;0,0048
0,0167;0,1393;0,0046
0,0250;0,1393;0,0045
0,0250;0,1250;0,0043
0,0278;0,1250;0,0043
0,0278;0,1214;0,0043
0,0361;0,1214;0,0041
0,0361;0,1071;0,0038
0,0528;0,1071;0,0034
0,0528;0,1000;0,0034
0,0583;0,1000;0,0033
0,0583;0,0929;0,0033
0,0694;0,0929;0,0032
0,0694;0,0857;0,0032
0,0806;0,0857;0,0031
0,0806;0,0821;0,0030
0,0861;0,0821;0,0030
0,0861;0,0786;0,0030
0,0889;0,0786;0,0030
0,0889;0,0750;0,0030
0,0917;0,0750;0,0029
0,0917;0,0679;0,0029
0,0972;0,0679;0,0028
0,0972;0,0643;0,0028
0,1028;0,0643;0,0027
0,1028;0,0607;0,0027
0,1444;0,0607;0,0025
0,1444;0,0571;0,0025
0,1694;0,0571;0,0024
0,1694;0,0536;0,0024
0,1889;0,0536;0,0023
0,1889;0,0464;0,0023
0,2278;0,0464;0,0021
0,2278;0,0429;0,0021
0,2417;0,0429;0,0020
0,2417;0,0393;0,0020
0,2583;0,0393;0,0019
0,2583;0,0321;0,0019
0,2972;0,0321;0,0017
0,2972;0,0286;0,0017
0,3278;0,0286;0,0017
0,3278;0,0250;0,0016
0,4444;0,0250;0,0012
0,4444;0,0179;0,0012
0,6111;0,0179;0,0009
0,6111;0,0143;0,0009
0,6361;0,0143;0,0008
0,6361;0,0107;0,0008
0,7000;0,0107;0,0007
0,7000;0,0071;0,0007
0,8556;0,0071;0,0004
0,8556;0,0036;0,0004
0,8750;0,0036;0,0003
0,8750;0,0000;0,0003
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
1,0000;0,0000;0,0000
