EER;FMR;FNMR;THR;GDTHR;GAngTHR;;;;;;;;;
20,2778;0;0,405555556;20;8;10;;;;EER;FMR;FNMR;THR;GDTHR;GAngTHR
23,0556;0;0,461111111;20;6;10;;;Maþiausias EER (FMR = 0);20,2778;0;0,405555556;20;8;10
24,0278;0;0,480555556;40;10;20;;;Maþiausias EER (FMR - bet koks);14,1667;0,002777778;0,280555556;30;6;40
24,4444;0;0,488888889;40;6;30;;;;;;;;;
25,5556;0;0,511111111;40;8;20;;;;;;;;;
26,9444;0;0,538888889;40;6;20;;;;EER;FMR;FNMR;THR;GDTHR;GAngTHR
27,3611;0;0,547222222;20;4;10;;;Maþiausias EER (FMR = 0);8,0556;0;0,161111111;20;6;20
27,5;0;0,55;40;4;50;;;Maþiausias EER (FMR - bet koks);9,3056;0,002777778;0,183333333;10;6;10
27,7778;0;0,555555556;30;10;10;;;;;;;;;
28,1944;0;0,563888889;50;6;60;;;;;;;;;
28,4722;0;0,569444444;30;8;10;;;Matches;total;103680;;;;
28,75;0;0,575;40;4;40;;;198;;;;;;
28,8889;0;0,577777778;50;8;30;;;;;;;;;
29,4444;0;0,588888889;50;6;50;;;average;0,001909722;;;;;
30;0;0,6;40;4;30;;;;;;;;;
30,2778;0;0,605555556;50;6;40;;;;;;;;;
30,5556;0;0,611111111;30;6;10;;;;;;;;;
30,5556;0;0,611111111;60;10;60;;;;;;;;;
30,6944;0;0,613888889;50;10;20;;;;;;;;;
31,25;0;0,625;60;10;50;;;;;;;;;
31,9444;0;0,638888889;50;6;30;;;;;;;;;
32,5;0;0,65;40;4;20;;;;;;;;;
32,6389;0;0,652777778;50;8;20;;;;;;;;;
32,6389;0;0,652777778;60;10;40;;;;;;;;;
33,1944;0;0,663888889;40;10;10;;;;;;;;;
33,1944;0;0,663888889;60;8;60;;;;;;;;;
33,6111;0;0,672222222;30;4;10;;;;;;;;;
33,75;0;0,675;50;4;60;;;;;;;;;
34,3056;0;0,686111111;60;8;50;;;;;;;;;
34,4444;0;0,688888889;40;8;10;;;;;;;;;
35;0;0,7;50;6;20;;;;;;;;;
35,1389;0;0,702777778;60;10;30;;;;;;;;;
35,4167;0;0,708333333;60;8;40;;;;;;;;;
35,5556;0;0,711111111;40;6;10;;;;;;;;;
35,8333;0;0,716666667;50;4;40;;;;;;;;;
35,8333;0;0,716666667;50;4;50;;;;;;;;;
35,9722;0;0,719444444;60;8;30;;;;;;;;;
35,9722;0;0,719444444;60;6;60;;;;;;;;;
36,3889;0;0,727777778;50;4;30;;;;;;;;;
36,8056;0;0,736111111;60;6;50;;;;;;;;;
36,9444;0;0,738888889;60;6;40;;;;;;;;;
37,0833;0;0,741666667;60;10;20;;;;;;;;;
37,3611;0;0,747222222;60;8;20;;;;;;;;;
37,5;0;0,75;40;4;10;;;;;;;;;
37,5;0;0,75;50;4;20;;;;;;;;;
37,5;0;0,75;60;6;30;;;;;;;;;
38,0556;0;0,761111111;50;8;10;;;;;;;;;
38,0556;0;0,761111111;50;10;10;;;;;;;;;
38,3333;0;0,766666667;60;6;20;;;;;;;;;
38,3333;0;0,766666667;60;4;40;;;;;;;;;
38,3333;0;0,766666667;60;4;50;;;;;;;;;
38,3333;0;0,766666667;60;4;60;;;;;;;;;
38,4722;0;0,769444444;60;4;30;;;;;;;;;
38,6111;0;0,772222222;50;6;10;;;;;;;;;
38,6111;0;0,772222222;60;4;20;;;;;;;;;
38,8889;0;0,777777778;50;4;10;;;;;;;;;
38,8889;0;0,777777778;60;4;10;;;;;;;;;
38,8889;0;0,777777778;60;6;10;;;;;;;;;
38,8889;0;0,777777778;60;8;10;;;;;;;;;
38,8889;0;0,777777778;60;10;10;;;;;;;;;
14,1667;0,002777778;0,280555556;30;6;40;;;;;;;;;
16,3889;0,002777778;0,325;30;10;20;;;;;;;;;
16,3889;0,002777778;0,325;30;6;30;;;;;;;;;
16,8056;0,002777778;0,333333333;20;4;20;;;;;;;;;
17,3611;0,002777778;0,344444444;30;4;50;;;;;;;;;
17,7778;0,002777778;0,352777778;30;8;20;;;;;;;;;
17,9167;0,002777778;0,355555556;40;8;50;;;;;;;;;
19,0278;0,002777778;0,377777778;20;10;10;;;;;;;;;
19,1667;0,002777778;0,380555556;30;4;40;;;;;;;;;
19,7222;0,002777778;0,391666667;40;8;40;;;;;;;;;
20;0,002777778;0,397222222;30;6;20;;;;;;;;;
20,1389;0,002777778;0,4;40;6;60;;;;;;;;;
20,9722;0,002777778;0,416666667;40;10;30;;;;;;;;;
21,25;0,002777778;0,422222222;30;4;30;;;;;;;;;
21,5278;0,002777778;0,427777778;40;6;50;;;;;;;;;
22,5;0,002777778;0,447222222;40;8;30;;;;;;;;;
23,1944;0,002777778;0,461111111;40;6;40;;;;;;;;;
25,1389;0,002777778;0,5;50;10;50;;;;;;;;;
25,2778;0,002777778;0,502777778;50;8;60;;;;;;;;;
25,6944;0,002777778;0,511111111;30;4;20;;;;;;;;;
25,9722;0,002777778;0,516666667;50;10;40;;;;;;;;;
26,1111;0,002777778;0,519444444;50;8;50;;;;;;;;;
26,3889;0,002777778;0,525;40;4;60;;;;;;;;;
27,3611;0,002777778;0,544444444;50;8;40;;;;;;;;;
27,9167;0,002777778;0,555555556;50;10;30;;;;;;;;;
14,0278;0,005555556;0,275;20;6;20;;;;;;;;;
23,8889;0,005555556;0,472222222;50;10;60;;;;;;;;;
16,6667;0,011111111;0,322222222;40;10;50;;;;;;;;;
17,2222;0,011111111;0,333333333;40;8;60;;;;;;;;;
18,1944;0,011111111;0,352777778;40;10;40;;;;;;;;;
