EER;FMR;FNMR;THR;GDTHR;GAngTHR;;;;;;;;
29,1667;0;0,583333333;0,6;12;20;;;;;;;;
29,3056;0;0,586111111;0,4;12;10;;;EER;FMR;FNMR;THR;GDTHR;GAngTHR
30,1389;0;0,602777778;0,4;10;10;;;29,1667;0;0,583333333;0,6;12;20
30,1389;0;0,602777778;0,6;8;30;;;;;;;;
30,2778;0;0,605555556;0,6;10;20;;;;;;;;
30,9722;0;0,619444444;0,4;4;20;;Matches;total;129600;;;;
31,25;0;0,625;0,5;6;20;;984;;;;;;
31,8056;0;0,636111111;0,4;8;10;;;;;;;;
31,9444;0;0,638888889;0,6;8;20;;;0,007592593;;;;;
32,5;0;0,65;0,5;4;30;;;;;;;;
32,5;0;0,65;0,6;6;30;;;;;;;;
32,6389;0;0,652777778;0,3;4;10;;;;;;;;
33,75;0;0,675;0,4;6;10;;;;;;;;
34,0278;0;0,680555556;0,5;12;10;;;;;;;;
34,3056;0;0,686111111;0,5;10;10;;;;;;;;
34,3056;0;0,686111111;0,6;6;20;;;;;;;;
34,8611;0;0,697222222;0,5;4;20;;;;;;;;
35,2778;0;0,705555556;0,5;8;10;;;;;;;;
36,1111;0;0,722222222;0,4;4;10;;;;;;;;
36,1111;0;0,722222222;0,5;6;10;;;;;;;;
36,25;0;0,725;0,6;4;40;;;;;;;;
36,5278;0;0,730555556;0,6;12;10;;;;;;;;
36,9444;0;0,738888889;0,6;10;10;;;;;;;;
37,5;0;0,75;0,6;4;20;;;;;;;;
37,5;0;0,75;0,6;4;30;;;;;;;;
37,7778;0;0,755555556;0,6;8;10;;;;;;;;
38,0556;0;0,761111111;0,5;4;10;;;;;;;;
38,0556;0;0,761111111;0,6;6;10;;;;;;;;
38,4722;0;0,769444444;0,6;4;10;;;;;;;;
26,8056;0,002777778;0,533333333;0,3;12;10;;;;;;;;
27,3611;0,002777778;0,544444444;0,6;10;30;;;;;;;;
27,6389;0,002777778;0,55;0,3;10;10;;;;;;;;
27,9167;0,002777778;0,555555556;0,4;6;20;;;;;;;;
28,6111;0,002777778;0,569444444;0,3;8;10;;;;;;;;
29,0278;0,002777778;0,577777778;0,4;4;30;;;;;;;;
30;0,002777778;0,597222222;0,3;6;10;;;;;;;;
31,1111;0,002777778;0,619444444;0,5;4;40;;;;;;;;
31,3889;0,002777778;0,625;0,6;6;40;;;;;;;;
35,5556;0,002777778;0,708333333;0,6;4;50;;;;;;;;
25,2778;0,005555556;0,5;0,5;12;20;;;;;;;;
26,8056;0,005555556;0,530555556;0,5;10;20;;;;;;;;
27,2222;0,005555556;0,538888889;0,2;6;10;;;;;;;;
28,6111;0,005555556;0,566666667;0,5;6;30;;;;;;;;
29,3056;0,005555556;0,580555556;0,5;8;20;;;;;;;;
29,7222;0,005555556;0,588888889;0,2;4;10;;;;;;;;
29,8611;0,005555556;0,591666667;0,6;6;50;;;;;;;;
35,1389;0,005555556;0,697222222;0,6;4;60;;;;;;;;
25,4167;0,008333333;0,5;0,6;12;30;;;;;;;;
28,3333;0,008333333;0,558333333;0,3;4;20;;;;;;;;
28,3333;0,008333333;0,558333333;0,6;8;40;;;;;;;;
30,4167;0,008333333;0,6;0,5;4;50;;;;;;;;
25,4167;0,011111111;0,497222222;0,2;8;10;;;;;;;;
25,6944;0,011111111;0,502777778;0,4;8;20;;;;;;;;
25,6944;0,013888889;0,5;0,6;10;40;;;;;;;;
25,9722;0,016666667;0,502777778;0,5;8;30;;;;;;;;
27,2222;0,016666667;0,527777778;0,5;6;40;;;;;;;;
25;0,019444444;0,480555556;0,3;6;20;;;;;;;;
23,4722;0,022222222;0,447222222;0,2;10;10;;;;;;;;
24,1667;0,022222222;0,461111111;0,4;10;20;;;;;;;;
29,0278;0,022222222;0,558333333;0,6;6;60;;;;;;;;
25,2778;0,025;0,480555556;0,4;6;30;;;;;;;;
27,9167;0,025;0,533333333;0,4;4;40;;;;;;;;
29,3056;0,025;0,561111111;0,5;4;60;;;;;;;;
23,8889;0,027777778;0,45;0,6;12;40;;;;;;;;
24,1667;0,027777778;0,455555556;0,5;10;30;;;;;;;;
27,6389;0,027777778;0,525;0,6;8;50;;;;;;;;
22,2222;0,030555556;0,413888889;0,2;12;10;;;;;;;;
22,5;0,030555556;0,419444444;0,4;12;20;;;;;;;;
20,9722;0,033333333;0,386111111;0,5;12;30;;;;;;;;
24,1667;0,033333333;0,45;0,5;8;40;;;;;;;;
25,8333;0,036111111;0,480555556;0,5;6;50;;;;;;;;
24,3056;0,038888889;0,447222222;0,6;10;50;;;;;;;;
25,6944;0,044444444;0,469444444;0,3;4;30;;;;;;;;
22,3611;0,05;0,397222222;0,4;8;30;;;;;;;;
23,8889;0,052777778;0,425;0,2;4;20;;;;;;;;
25,9722;0,052777778;0,466666667;0,6;8;60;;;;;;;;
26,25;0,052777778;0,472222222;0,4;4;50;;;;;;;;
22,6389;0,058333333;0,394444444;0,3;8;20;;;;;;;;
23,0556;0,058333333;0,402777778;0,4;6;40;;;;;;;;
21,8056;0,061111111;0,375;0,5;8;50;;;;;;;;
22,0833;0,069444444;0,372222222;0,5;10;40;;;;;;;;
22,2222;0,069444444;0,375;0,6;12;50;;;;;;;;
20,2778;0,077777778;0,327777778;0,3;10;20;;;;;;;;
25,1389;0,077777778;0,425;0,5;6;60;;;;;;;;
25,2778;0,077777778;0,427777778;0,1;4;10;;;;;;;;
23,3333;0,086111111;0,380555556;0,3;4;40;;;;;;;;
21,1111;0,097222222;0,325;0,4;10;30;;;;;;;;
21,1111;0,097222222;0,325;0,5;12;40;;;;;;;;
24,4444;0,097222222;0,391666667;0,6;10;60;;;;;;;;
26,25;0,097222222;0,427777778;0,4;4;60;;;;;;;;
22,5;0,1;0,35;0,3;6;30;;;;;;;;
24,0278;0,130555556;0,35;0,1;6;10;;;;;;;;
21,25;0,136111111;0,288888889;0,3;12;20;;;;;;;;
22,2222;0,138888889;0,305555556;0,4;8;40;;;;;;;;
23,8889;0,141666667;0,336111111;0,6;12;60;;;;;;;;
24,3056;0,141666667;0,344444444;0,4;6;50;;;;;;;;
21,8056;0,147222222;0,288888889;0,5;10;50;;;;;;;;
22,2222;0,15;0,294444444;0,4;12;30;;;;;;;;
23,3333;0,152777778;0,313888889;0,5;8;60;;;;;;;;
23,3333;0,161111111;0,305555556;0,2;6;20;;;;;;;;
