EER;FMR;FNMR;THR;GDTHR;GAngTHR;MtiaCTHR;;;;;;;;
14,5833;0;0,291666667;0,016;10;50;2;;;;;;;;
14,5833;0;0,291666667;0,016;10;50;4;;;;;;;;
14,5833;0;0,291666667;0,016;10;50;6;;;;;;;;
14,5833;0;0,291666667;0,016;10;60;2;;EER;FMR;FNMR;THR;GDTHR;GAngTHR;MtiaCTHR
14,5833;0;0,291666667;0,016;10;60;4;;14,5833;0;0,291666667;0,016;10;50;6
14,5833;0;0,291666667;0,016;10;60;6;;;;;;;;
14,8611;0;0,297222222;0,016;10;40;2;;Matches;total;345600;;;;
14,8611;0;0,297222222;0,016;10;40;4;;1419;;;;;;
14,8611;0;0,297222222;0,016;10;40;6;;;;;;;;
14,8611;0;0,297222222;0,016;10;50;8;;;;;;;;
14,8611;0;0,297222222;0,016;10;60;8;;0,004105903;;;;;;
15;0;0,3;0,016;10;30;2;;;;;;;;
15;0;0,3;0,016;10;30;4;;;;;;;;
15;0;0,3;0,016;10;30;6;;;;;;;;
15,1389;0;0,302777778;0,016;10;40;8;;;;;;;;
15,2778;0;0,305555556;0,016;10;30;8;;;;;;;;
15,5556;0;0,311111111;0,016;10;20;2;;;;;;;;
15,5556;0;0,311111111;0,016;10;20;4;;;;;;;;
15,5556;0;0,311111111;0,016;10;20;6;;;;;;;;
15,8333;0;0,316666667;0,016;10;20;8;;;;;;;;
16,25;0;0,325;0,016;10;50;10;;;;;;;;
16,25;0;0,325;0,016;10;60;10;;;;;;;;
16,5278;0;0,330555556;0,016;10;40;10;;;;;;;;
16,6667;0;0,333333333;0,016;10;30;10;;;;;;;;
16,9444;0;0,338888889;0,012;8;50;2;;;;;;;;
16,9444;0;0,338888889;0,012;8;50;4;;;;;;;;
16,9444;0;0,338888889;0,012;8;50;6;;;;;;;;
16,9444;0;0,338888889;0,012;8;60;2;;;;;;;;
16,9444;0;0,338888889;0,012;8;60;4;;;;;;;;
16,9444;0;0,338888889;0,012;8;60;6;;;;;;;;
17,0833;0;0,341666667;0,012;8;30;2;;;;;;;;
17,0833;0;0,341666667;0,012;8;30;4;;;;;;;;
17,0833;0;0,341666667;0,012;8;30;6;;;;;;;;
17,0833;0;0,341666667;0,012;8;40;2;;;;;;;;
17,0833;0;0,341666667;0,012;8;40;4;;;;;;;;
17,0833;0;0,341666667;0,012;8;40;6;;;;;;;;
17,2222;0;0,344444444;0,012;8;50;8;;;;;;;;
17,2222;0;0,344444444;0,012;8;60;8;;;;;;;;
17,2222;0;0,344444444;0,016;10;20;10;;;;;;;;
17,3611;0;0,347222222;0,012;8;30;8;;;;;;;;
17,3611;0;0,347222222;0,012;8;40;8;;;;;;;;
17,9167;0;0,358333333;0,012;8;20;2;;;;;;;;
17,9167;0;0,358333333;0,012;8;20;4;;;;;;;;
17,9167;0;0,358333333;0,012;8;20;6;;;;;;;;
18,1944;0;0,363888889;0,012;8;20;8;;;;;;;;
18,4722;0;0,369444444;0,012;8;50;10;;;;;;;;
18,4722;0;0,369444444;0,012;8;60;10;;;;;;;;
18,6111;0;0,372222222;0,012;8;30;10;;;;;;;;
18,6111;0;0,372222222;0,012;8;40;10;;;;;;;;
19,3056;0;0,386111111;0,016;10;10;2;;;;;;;;
19,3056;0;0,386111111;0,016;10;10;4;;;;;;;;
19,3056;0;0,386111111;0,016;10;10;6;;;;;;;;
19,4444;0;0,388888889;0,012;8;20;10;;;;;;;;
19,5833;0;0,391666667;0,016;10;10;8;;;;;;;;
19,8611;0;0,397222222;0,016;8;50;2;;;;;;;;
19,8611;0;0,397222222;0,016;8;50;4;;;;;;;;
19,8611;0;0,397222222;0,016;8;50;6;;;;;;;;
19,8611;0;0,397222222;0,016;8;60;2;;;;;;;;
19,8611;0;0,397222222;0,016;8;60;4;;;;;;;;
19,8611;0;0,397222222;0,016;8;60;6;;;;;;;;
20;0;0,4;0,016;8;40;2;;;;;;;;
20;0;0,4;0,016;8;40;4;;;;;;;;
20;0;0,4;0,016;8;40;6;;;;;;;;
20,1389;0;0,402777778;0,016;8;30;2;;;;;;;;
20,1389;0;0,402777778;0,016;8;30;4;;;;;;;;
20,1389;0;0,402777778;0,016;8;30;6;;;;;;;;
20,1389;0;0,402777778;0,016;8;50;8;;;;;;;;
20,1389;0;0,402777778;0,016;8;60;8;;;;;;;;
20,2778;0;0,405555556;0,016;8;40;8;;;;;;;;
20,4167;0;0,408333333;0,016;8;30;8;;;;;;;;
20,6944;0;0,413888889;0,012;8;10;2;;;;;;;;
20,6944;0;0,413888889;0,012;8;10;4;;;;;;;;
20,6944;0;0,413888889;0,012;8;10;6;;;;;;;;
20,6944;0;0,413888889;0,016;10;10;10;;;;;;;;
20,6944;0;0,413888889;0,016;8;20;2;;;;;;;;
20,6944;0;0,413888889;0,016;8;20;4;;;;;;;;
20,6944;0;0,413888889;0,016;8;20;6;;;;;;;;
20,9722;0;0,419444444;0,012;8;10;8;;;;;;;;
20,9722;0;0,419444444;0,016;8;20;8;;;;;;;;
21,25;0;0,425;0,016;8;50;10;;;;;;;;
21,25;0;0,425;0,016;8;60;10;;;;;;;;
21,3889;0;0,427777778;0,016;8;40;10;;;;;;;;
21,5278;0;0,430555556;0,016;8;30;10;;;;;;;;
22,0833;0;0,441666667;0,016;8;20;10;;;;;;;;
