EER;FMR;FNMR;THR;GDTHR;GAngTHR;LDTHR;LAngTHR;MtiaCount;;;;;;;;;;;
4,4444;0;0,088888889;0,02;12;30;8;30;4;;;;;;;;;;;
4,4444;0;0,088888889;0,02;12;50;8;30;4;;;;;;;;;;;
4,8611;0;0,097222222;0,02;12;30;12;30;8;;;EER;FMR;FNMR;THR;GDTHR;GAngTHR;LDTHR;LAngTHR;MtiaCount
5;0;0,1;0,02;8;50;8;50;4;;Maþiausias EER (FMR = 0);4,4444;0;0,088888889;0,02;12;30;8;30;4
5;0;0,1;0,03;12;30;12;50;8;;Maþiausias EER (FMR - bet koks);4,5833;0,002777778;0,088888889;0,02;12;30;12;50;8
5,1389;0;0,102777778;0,02;8;30;8;50;4;;;;;;;;;;;
5,1389;0;0,102777778;0,03;12;30;8;50;4;;Matches;total;524880;;;;;;;
5,2778;0;0,105555556;0,02;8;30;12;30;4;;total;time;381;;;;;;;
5,2778;0;0,105555556;0,02;8;50;12;30;4;;;;;;;;;;;
5,4167;0;0,108333333;0,04;12;50;12;50;4;;avg time =;0,00072588;;;;;;;;
5,5556;0;0,111111111;0,02;8;30;8;30;4;;;;;;;;;;;
5,5556;0;0,111111111;0,02;12;30;8;30;8;;;;;;;;;;;
5,5556;0;0,111111111;0,02;8;50;8;30;4;;;;;;;;;;;
5,5556;0;0,111111111;0,02;12;50;8;30;8;;;;;;;;;;;
5,5556;0;0,111111111;0,03;12;30;8;50;8;;;;;;;;;;;
5,5556;0;0,111111111;0,03;12;30;12;30;8;;;;;;;;;;;
5,5556;0;0,111111111;0,04;12;30;12;50;4;;;;;;;;;;;
5,5556;0;0,111111111;0,04;12;50;8;50;4;;;;;;;;;;;
5,5556;0;0,111111111;0,04;12;50;12;50;8;;;;;;;;;;;
5,6944;0;0,113888889;0,04;12;30;8;50;4;;;;;;;;;;;
5,6944;0;0,113888889;0,04;12;30;12;50;8;;;;;;;;;;;
5,8333;0;0,116666667;0,04;12;50;8;50;8;;;;;;;;;;;
5,9722;0;0,119444444;0,02;8;30;12;50;8;;;;;;;;;;;
5,9722;0;0,119444444;0,02;8;50;12;50;8;;;;;;;;;;;
5,9722;0;0,119444444;0,04;12;30;8;50;8;;;;;;;;;;;
5,9722;0;0,119444444;0,04;12;50;12;30;4;;;;;;;;;;;
6,1111;0;0,122222222;0,03;12;30;8;30;4;;;;;;;;;;;
6,1111;0;0,122222222;0,03;8;50;12;50;4;;;;;;;;;;;
6,1111;0;0,122222222;0,03;12;50;8;30;4;;;;;;;;;;;
6,1111;0;0,122222222;0,04;12;30;12;30;4;;;;;;;;;;;
6,25;0;0,125;0,03;8;30;12;50;4;;;;;;;;;;;
6,25;0;0,125;0,04;12;50;12;30;8;;;;;;;;;;;
6,3889;0;0,127777778;0,04;12;30;12;30;8;;;;;;;;;;;
6,6667;0;0,133333333;0,03;8;30;8;50;4;;;;;;;;;;;
6,6667;0;0,133333333;0,03;8;30;12;30;4;;;;;;;;;;;
6,6667;0;0,133333333;0,03;8;50;8;50;4;;;;;;;;;;;
6,6667;0;0,133333333;0,03;8;50;12;30;4;;;;;;;;;;;
6,8056;0;0,136111111;0,02;12;10;8;30;4;;;;;;;;;;;
6,8056;0;0,136111111;0,02;8;30;12;30;8;;;;;;;;;;;
6,8056;0;0,136111111;0,02;8;50;8;50;8;;;;;;;;;;;
6,8056;0;0,136111111;0,02;8;50;12;30;8;;;;;;;;;;;
6,8056;0;0,136111111;0,03;12;30;8;30;8;;;;;;;;;;;
6,8056;0;0,136111111;0,03;8;50;12;50;8;;;;;;;;;;;
6,8056;0;0,136111111;0,03;12;50;8;30;8;;;;;;;;;;;
6,9444;0;0,138888889;0,02;12;10;12;50;8;;;;;;;;;;;
6,9444;0;0,138888889;0,02;8;30;8;50;8;;;;;;;;;;;
6,9444;0;0,138888889;0,03;8;30;12;50;8;;;;;;;;;;;
7,0833;0;0,141666667;0,04;12;30;8;30;4;;;;;;;;;;;
7,0833;0;0,141666667;0,04;12;50;8;30;4;;;;;;;;;;;
7,2222;0;0,144444444;0,02;12;50;12;50;12;;;;;;;;;;;
7,3611;0;0,147222222;0,02;12;10;12;30;8;;;;;;;;;;;
7,3611;0;0,147222222;0,03;8;30;12;30;8;;;;;;;;;;;
7,3611;0;0,147222222;0,03;8;50;12;30;8;;;;;;;;;;;
7,3611;0;0,147222222;0,03;12;50;12;50;12;;;;;;;;;;;
7,5;0;0,15;0,02;8;30;8;30;8;;;;;;;;;;;
7,5;0;0,15;0,02;8;50;8;30;8;;;;;;;;;;;
7,5;0;0,15;0,03;8;30;8;30;4;;;;;;;;;;;
7,5;0;0,15;0,03;8;30;8;50;8;;;;;;;;;;;
7,5;0;0,15;0,03;8;50;8;30;4;;;;;;;;;;;
7,5;0;0,15;0,03;8;50;8;50;8;;;;;;;;;;;
7,5;0;0,15;0,04;12;30;8;30;8;;;;;;;;;;;
7,5;0;0,15;0,04;12;50;8;30;8;;;;;;;;;;;
7,6389;0;0,152777778;0,02;8;10;12;30;4;;;;;;;;;;;
7,6389;0;0,152777778;0,02;8;10;12;50;4;;;;;;;;;;;
7,6389;0;0,152777778;0,02;12;30;12;50;12;;;;;;;;;;;
7,6389;0;0,152777778;0,03;12;10;12;50;4;;;;;;;;;;;
7,6389;0;0,152777778;0,04;8;50;12;50;4;;;;;;;;;;;
7,7778;0;0,155555556;0,02;8;10;8;50;4;;;;;;;;;;;
7,7778;0;0,155555556;0,02;12;50;8;50;12;;;;;;;;;;;
7,7778;0;0,155555556;0,03;12;30;12;50;12;;;;;;;;;;;
7,7778;0;0,155555556;0,04;8;30;12;50;4;;;;;;;;;;;
7,7778;0;0,155555556;0,04;12;50;12;50;12;;;;;;;;;;;
7,9167;0;0,158333333;0,03;12;10;12;30;4;;;;;;;;;;;
7,9167;0;0,158333333;0,04;8;50;12;50;8;;;;;;;;;;;
8,0556;0;0,161111111;0,03;12;10;8;50;4;;;;;;;;;;;
8,0556;0;0,161111111;0,04;8;30;12;50;8;;;;;;;;;;;
8,0556;0;0,161111111;0,04;12;30;12;50;12;;;;;;;;;;;
