GATHR;EER;FMR;FNMR
TRESHOLD;24;;
0;38,8889;0;0,777777778
3;38,6111;0;0,772222222
6;34,5833;0;0,691666667
9;30,4167;0;0,608333333
12;25,8333;0;0,516666667
15;24,3056;0;0,486111111
18;21,9444;0;0,438888889
21;21,5278;0,008333333;0,422222222
24;20,5556;0,013888889;0,397222222
27;20;0,016666667;0,383333333
30;19,3056;0,027777778;0,358333333
33;19,0278;0,033333333;0,347222222
36;19,3056;0,052777778;0,333333333
39;20,1389;0,075;0,327777778
42;20,5556;0,105555556;0,305555556
45;21,5278;0,130555556;0,3
48;21,5278;0,144444444;0,286111111
51;23,3333;0,183333333;0,283333333
54;24,8611;0,219444444;0,277777778
57;26,5278;0,255555556;0,275
60;27,6389;0,291666667;0,261111111
63;29,0278;0,336111111;0,244444444
66;29,7222;0,366666667;0,227777778
69;30,2778;0,413888889;0,191666667
72;32,6389;0,469444444;0,183333333
75;34,1667;0,508333333;0,175
78;35,4167;0,544444444;0,163888889
81;36,1111;0,575;0,147222222
84;35,5556;0,580555556;0,130555556
87;36,6667;0,611111111;0,122222222
