EER;FMR;FNMR;THR;GDTHR;GAngTHR;LDTHR;LAngTHR;MtiaCount;;;;;;;;;;;;
17,0833;0;0,341666667;0,04;8;30;12;30;4;;;;;;;;;;;;
17,0833;0;0,341666667;0,04;8;50;12;30;4;;;;;;;;;;;;
17,2222;0;0,344444444;0,02;8;10;12;50;4;;;;EER;FMR;FNMR;THR;GDTHR;GAngTHR;LDTHR;LAngTHR;MtiaCount
18,0556;0;0,361111111;0,02;8;10;12;30;4;;;Maþiausias EER (FMR = 0);17,0833;0;0,341666667;0,04;8;30;12;30;4
18,1944;0;0,363888889;0,04;12;10;12;30;4;;;Maþiausias EER (FMR - bet koks);16,25;0,002777778;0,322222222;0,03;8;30;12;30;4
18,75;0;0,375;0,04;8;30;8;30;4;;;;;;;;;;;;
18,75;0;0,375;0,04;8;50;8;30;4;;;Matches;total;524880;;;;;;;
19,0278;0;0,380555556;0,04;12;10;8;50;4;;;total;time;248;;;;;;;
19,1667;0;0,383333333;0,02;8;10;8;50;4;;;;;;;;;;;;
19,3056;0;0,386111111;0,03;8;10;12;50;4;;;avg time =;0,000472489;;;;;;;;
20;0;0,4;0,03;8;10;12;30;4;;;;;;;;;;;;
20,2778;0;0,405555556;0,02;8;10;8;30;4;;;;;;;;;;;;
20,4167;0;0,408333333;0,04;12;10;8;30;4;;;;;;;;;;;;
21,1111;0;0,422222222;0,03;8;10;8;50;4;;;;;;;;;;;;
21,1111;0;0,422222222;0,04;8;10;12;50;4;;;;;;;;;;;;
21,6667;0;0,433333333;0,04;8;10;12;30;4;;;;;;;;;;;;
21,8056;0;0,436111111;0,02;8;30;12;50;8;;;;;;;;;;;;
21,8056;0;0,436111111;0,02;8;50;12;50;8;;;;;;;;;;;;
21,9444;0;0,438888889;0,03;8;10;8;30;4;;;;;;;;;;;;
22,0833;0;0,441666667;0,03;8;30;12;50;8;;;;;;;;;;;;
22,0833;0;0,441666667;0,03;8;50;12;50;8;;;;;;;;;;;;
22,2222;0;0,444444444;0,02;12;30;4;30;4;;;;;;;;;;;;
22,2222;0;0,444444444;0,02;12;50;4;30;4;;;;;;;;;;;;
22,2222;0;0,444444444;0,04;8;50;12;50;8;;;;;;;;;;;;
22,3611;0;0,447222222;0,04;8;30;12;50;8;;;;;;;;;;;;
22,7778;0;0,455555556;0,04;8;10;8;50;4;;;;;;;;;;;;
22,9167;0;0,458333333;0,02;4;30;12;50;4;;;;;;;;;;;;
22,9167;0;0,458333333;0,02;4;50;12;50;4;;;;;;;;;;;;
23,0556;0;0,461111111;0,02;8;30;4;30;4;;;;;;;;;;;;
23,0556;0;0,461111111;0,02;8;50;4;30;4;;;;;;;;;;;;
23,0556;0;0,461111111;0,03;12;30;4;30;4;;;;;;;;;;;;
23,0556;0;0,461111111;0,03;12;50;4;30;4;;;;;;;;;;;;
23,1944;0;0,463888889;0,02;12;10;12;50;8;;;;;;;;;;;;
23,1944;0;0,463888889;0,03;8;50;4;50;4;;;;;;;;;;;;
23,3333;0;0,466666667;0,03;12;10;12;50;8;;;;;;;;;;;;
23,3333;0;0,466666667;0,03;8;30;4;50;4;;;;;;;;;;;;
23,4722;0;0,469444444;0,02;8;30;12;30;8;;;;;;;;;;;;
23,4722;0;0,469444444;0,02;8;50;12;30;8;;;;;;;;;;;;
23,4722;0;0,469444444;0,03;8;30;12;30;8;;;;;;;;;;;;
23,4722;0;0,469444444;0,03;8;50;12;30;8;;;;;;;;;;;;
23,4722;0;0,469444444;0,04;12;10;12;50;8;;;;;;;;;;;;
23,6111;0;0,472222222;0,04;8;30;12;30;8;;;;;;;;;;;;
23,6111;0;0,472222222;0,04;8;50;12;30;8;;;;;;;;;;;;
23,75;0;0,475;0,04;8;10;8;30;4;;;;;;;;;;;;
24,0278;0;0,480555556;0,02;8;50;8;50;8;;;;;;;;;;;;
24,0278;0;0,480555556;0,03;8;30;4;30;4;;;;;;;;;;;;
24,0278;0;0,480555556;0,03;8;50;4;30;4;;;;;;;;;;;;
24,1667;0;0,483333333;0,03;8;50;8;50;8;;;;;;;;;;;;
24,1667;0;0,483333333;0,04;12;50;4;30;4;;;;;;;;;;;;
24,3056;0;0,486111111;0,02;4;30;12;30;4;;;;;;;;;;;;
24,3056;0;0,486111111;0,02;8;30;8;50;8;;;;;;;;;;;;
24,3056;0;0,486111111;0,02;4;50;12;30;4;;;;;;;;;;;;
24,3056;0;0,486111111;0,04;12;30;4;30;4;;;;;;;;;;;;
24,3056;0;0,486111111;0,04;8;50;4;50;4;;;;;;;;;;;;
