EER;FMR;FNMR;THR;GDTHRGAngTHR;;;;;;;;;
26,1111;0;0,522222222;30;10;20;;;;;;;;
26,25;0;0,525;20;4;20;;;;;;;;
26,8056;0;0,536111111;10;6;10;;;EER;FMR;FNMR;THR;GDTHR;GAngTHR
26,8056;0;0,536111111;30;8;20;;Maþiausias EER (FMR = 0);26,1111;0;0,522222222;30;10;20
28,4722;0;0,569444444;20;10;10;;Maþiausias EER (FMR - bet koks);24,5833;0,002777778;0,488888889;20;6;20
28,75;0;0,575;10;4;10;;;;;;;;
28,75;0;0,575;30;6;20;;;;;;;;
29,5833;0;0,591666667;20;8;10;;Matches;total;103680;;;;
29,5833;0;0,591666667;40;8;30;;402;;;;;;
29,7222;0;0,594444444;40;6;50;;;;;;;;
30;0;0,6;30;4;30;;average;0,003877315;;;;;
30,1389;0;0,602777778;20;6;10;;;;;;;;
30,5556;0;0,611111111;40;6;40;;;;;;;;
31,6667;0;0,633333333;40;10;20;;;;;;;;
32,0833;0;0,641666667;40;6;30;;;;;;;;
32,3611;0;0,647222222;40;8;20;;;;;;;;
32,5;0;0,65;20;4;10;;;;;;;;
32,7778;0;0,655555556;30;4;20;;;;;;;;
33,0556;0;0,661111111;40;4;60;;;;;;;;
33,0556;0;0,661111111;50;8;50;;;;;;;;
33,6111;0;0,672222222;30;10;10;;;;;;;;
33,8889;0;0,677777778;50;8;40;;;;;;;;
33,8889;0;0,677777778;50;6;60;;;;;;;;
34,0278;0;0,680555556;40;4;50;;;;;;;;
34,3056;0;0,686111111;30;8;10;;;;;;;;
34,3056;0;0,686111111;50;10;30;;;;;;;;
34,5833;0;0,691666667;50;8;30;;;;;;;;
34,7222;0;0,694444444;40;6;20;;;;;;;;
34,8611;0;0,697222222;50;6;50;;;;;;;;
35,1389;0;0,702777778;40;4;40;;;;;;;;
35,2778;0;0,705555556;50;6;40;;;;;;;;
35,8333;0;0,716666667;40;4;30;;;;;;;;
36,1111;0;0,722222222;30;6;10;;;;;;;;
36,1111;0;0,722222222;50;6;30;;;;;;;;
36,5278;0;0,730555556;50;10;20;;;;;;;;
36,6667;0;0,733333333;60;10;60;;;;;;;;
36,8056;0;0,736111111;50;8;20;;;;;;;;
36,9444;0;0,738888889;60;10;50;;;;;;;;
36,9444;0;0,738888889;60;8;60;;;;;;;;
37,0833;0;0,741666667;40;4;20;;;;;;;;
37,2222;0;0,744444444;50;6;20;;;;;;;;
37,2222;0;0,744444444;50;4;50;;;;;;;;
37,2222;0;0,744444444;50;4;60;;;;;;;;
37,2222;0;0,744444444;60;10;40;;;;;;;;
37,5;0;0,75;30;4;10;;;;;;;;
37,5;0;0,75;60;8;50;;;;;;;;
37,6389;0;0,752777778;40;10;10;;;;;;;;
37,6389;0;0,752777778;50;4;40;;;;;;;;
37,7778;0;0,755555556;40;8;10;;;;;;;;
37,7778;0;0,755555556;60;8;40;;;;;;;;
37,9167;0;0,758333333;60;10;30;;;;;;;;
38,0556;0;0,761111111;60;8;30;;;;;;;;
38,0556;0;0,761111111;60;6;50;;;;;;;;
38,0556;0;0,761111111;60;6;60;;;;;;;;
38,1944;0;0,763888889;40;6;10;;;;;;;;
38,1944;0;0,763888889;50;4;20;;;;;;;;
38,1944;0;0,763888889;50;4;30;;;;;;;;
38,1944;0;0,763888889;60;10;20;;;;;;;;
38,3333;0;0,766666667;60;8;20;;;;;;;;
38,4722;0;0,769444444;60;6;40;;;;;;;;
38,6111;0;0,772222222;60;6;30;;;;;;;;
38,75;0;0,775;40;4;10;;;;;;;;
38,75;0;0,775;50;10;10;;;;;;;;
38,8889;0;0,777777778;50;4;10;;;;;;;;
38,8889;0;0,777777778;50;6;10;;;;;;;;
38,8889;0;0,777777778;50;8;10;;;;;;;;
38,8889;0;0,777777778;60;4;10;;;;;;;;
38,8889;0;0,777777778;60;6;10;;;;;;;;
38,8889;0;0,777777778;60;8;10;;;;;;;;
38,8889;0;0,777777778;60;10;10;;;;;;;;
38,8889;0;0,777777778;60;4;20;;;;;;;;
38,8889;0;0,777777778;60;6;20;;;;;;;;
38,8889;0;0,777777778;60;4;30;;;;;;;;
38,8889;0;0,777777778;60;4;40;;;;;;;;
38,8889;0;0,777777778;60;4;50;;;;;;;;
38,8889;0;0,777777778;60;4;60;;;;;;;;
24,5833;0,002777778;0,488888889;20;6;20;;;;;;;;
26,1111;0,002777778;0,519444444;10;8;10;;;;;;;;
26,6667;0,002777778;0,530555556;30;6;30;;;;;;;;
28,8889;0,002777778;0,575;40;10;30;;;;;;;;
30,9722;0,002777778;0,616666667;50;10;60;;;;;;;;
31,5278;0,002777778;0,627777778;50;10;50;;;;;;;;
32,7778;0,002777778;0,652777778;50;8;60;;;;;;;;
33,1944;0,002777778;0,661111111;50;10;40;;;;;;;;
24,5833;0,005555556;0,486111111;30;8;30;;;;;;;;
25,8333;0,005555556;0,511111111;10;10;10;;;;;;;;
28,4722;0,005555556;0,563888889;30;4;40;;;;;;;;
28,6111;0,005555556;0,566666667;40;8;40;;;;;;;;
24,1667;0,008333333;0,475;20;4;30;;;;;;;;
26,8056;0,008333333;0,527777778;40;10;40;;;;;;;;
23,75;0,011111111;0,463888889;20;8;20;;;;;;;;
26,25;0,011111111;0,513888889;30;4;50;;;;;;;;
26,9444;0,011111111;0,527777778;40;8;50;;;;;;;;
