GATHR;EER;FMR;FNMR
TRESHOLD;12;;
0;38,8889;0;0,777777778
3;36,3889;0;0,727777778
6;30,4167;0;0,608333333
9;28,0556;0,002777778;0,558333333
12;26,6667;0,008333333;0,525
15;25,4167;0,013888889;0,494444444
18;24,7222;0,025;0,469444444
21;24,0278;0,030555556;0,45
24;23,75;0,055555556;0,419444444
27;24,0278;0,077777778;0,402777778
30;24,1667;0,094444444;0,388888889
33;23,6111;0,116666667;0,355555556
36;23,75;0,147222222;0,327777778
39;24,1667;0,166666667;0,316666667
42;25;0,2;0,3
45;25,1389;0,216666667;0,286111111
48;25,2778;0,236111111;0,269444444
51;27,0833;0,277777778;0,263888889
54;28,0556;0,308333333;0,252777778
57;28,8889;0,344444444;0,233333333
60;30,2778;0,377777778;0,227777778
63;30,9722;0,4;0,219444444
66;32,6389;0,444444444;0,208333333
69;33,3333;0,461111111;0,205555556
72;33,6111;0,486111111;0,186111111
75;34,3056;0,505555556;0,180555556
78;35,1389;0,536111111;0,166666667
81;35,5556;0,563888889;0,147222222
84;35,8333;0,586111111;0,130555556
87;36,25;0,605555556;0,119444444
