EER;FMR;FNMR;THR;GDTHR;GAngTHR;;;;;;;
26,25;0;0,525;0,3;6;20;;EER;FMR;FNMR;THR;GDTHR;GAngTHR
27,5;0;0,55;0,4;12;20;;26,25;0;0,525;0,3;6;20
28,75;0;0,575;0,4;10;20;;;;;;;
29,0278;0;0,580555556;0,3;12;10;;Matches;total;129600;;;
29,4444;0;0,588888889;0,2;4;10;;1446;;;;;
30;0;0,6;0,3;10;10;;;;;;;
30,2778;0;0,605555556;0,3;4;20;;;0,011157407;;;;
30,5556;0;0,611111111;0,4;6;30;;;;;;;
30,6944;0;0,613888889;0,4;8;20;;;;;;;
30,6944;0;0,613888889;0,5;10;50;;;;;;;
31,25;0;0,625;0,3;8;10;;;;;;;
32,2222;0;0,644444444;0,5;10;40;;;;;;;
32,5;0;0,65;0,5;10;30;;;;;;;
32,5;0;0,65;0,5;12;30;;;;;;;
32,7778;0;0,655555556;0,4;6;20;;;;;;;
33,1944;0;0,663888889;0,3;6;10;;;;;;;
33,1944;0;0,663888889;0,4;4;60;;;;;;;
33,3333;0;0,666666667;0,4;4;50;;;;;;;
33,3333;0;0,666666667;0,5;8;50;;;;;;;
33,4722;0;0,669444444;0,5;8;40;;;;;;;
33,75;0;0,675;0,5;8;30;;;;;;;
33,8889;0;0,677777778;0,4;4;40;;;;;;;
34,4444;0;0,688888889;0,4;4;30;;;;;;;
34,4444;0;0,688888889;0,6;12;60;;;;;;;
34,5833;0;0,691666667;0,5;12;20;;;;;;;
34,8611;0;0,697222222;0,6;12;50;;;;;;;
35,1389;0;0,702777778;0,5;6;50;;;;;;;
35,1389;0;0,702777778;0,5;6;60;;;;;;;
35,2778;0;0,705555556;0,5;10;20;;;;;;;
35,2778;0;0,705555556;0,6;10;60;;;;;;;
35,5556;0;0,711111111;0,5;6;40;;;;;;;
35,8333;0;0,716666667;0,5;6;30;;;;;;;
35,8333;0;0,716666667;0,6;10;50;;;;;;;
35,9722;0;0,719444444;0,4;12;10;;;;;;;
35,9722;0;0,719444444;0,4;4;20;;;;;;;
35,9722;0;0,719444444;0,6;12;40;;;;;;;
36,25;0;0,725;0,6;12;30;;;;;;;
36,25;0;0,725;0,6;8;60;;;;;;;
36,3889;0;0,727777778;0,3;4;10;;;;;;;
36,3889;0;0,727777778;0,5;8;20;;;;;;;
36,5278;0;0,730555556;0,4;10;10;;;;;;;
36,5278;0;0,730555556;0,6;10;40;;;;;;;
36,6667;0;0,733333333;0,6;10;30;;;;;;;
36,8056;0;0,736111111;0,6;8;50;;;;;;;
36,9444;0;0,738888889;0,4;8;10;;;;;;;
37,0833;0;0,741666667;0,6;12;20;;;;;;;
37,0833;0;0,741666667;0,6;8;40;;;;;;;
37,2222;0;0,744444444;0,5;4;60;;;;;;;
37,2222;0;0,744444444;0,6;8;30;;;;;;;
37,3611;0;0,747222222;0,5;4;50;;;;;;;
37,3611;0;0,747222222;0,6;10;20;;;;;;;
37,6389;0;0,752777778;0,5;6;20;;;;;;;
37,6389;0;0,752777778;0,5;4;40;;;;;;;
37,6389;0;0,752777778;0,6;6;50;;;;;;;
37,6389;0;0,752777778;0,6;6;60;;;;;;;
37,9167;0;0,758333333;0,5;4;30;;;;;;;
37,9167;0;0,758333333;0,6;6;40;;;;;;;
38,0556;0;0,761111111;0,4;6;10;;;;;;;
38,0556;0;0,761111111;0,6;8;20;;;;;;;
38,1944;0;0,763888889;0,5;4;20;;;;;;;
38,1944;0;0,763888889;0,6;6;30;;;;;;;
38,3333;0;0,766666667;0,4;4;10;;;;;;;
38,3333;0;0,766666667;0,6;6;20;;;;;;;
38,3333;0;0,766666667;0,6;4;30;;;;;;;
38,3333;0;0,766666667;0,6;4;40;;;;;;;
38,3333;0;0,766666667;0,6;4;50;;;;;;;
38,3333;0;0,766666667;0,6;4;60;;;;;;;
38,4722;0;0,769444444;0,5;10;10;;;;;;;
38,4722;0;0,769444444;0,5;12;10;;;;;;;
38,6111;0;0,772222222;0,5;8;10;;;;;;;
38,6111;0;0,772222222;0,6;4;20;;;;;;;
38,75;0;0,775;0,5;6;10;;;;;;;
38,8889;0;0,777777778;0,5;4;10;;;;;;;
38,8889;0;0,777777778;0,6;4;10;;;;;;;
38,8889;0;0,777777778;0,6;6;10;;;;;;;
38,8889;0;0,777777778;0,6;8;10;;;;;;;
38,8889;0;0,777777778;0,6;10;10;;;;;;;
38,8889;0;0,777777778;0,6;12;10;;;;;;;
25,8333;0,002777778;0,513888889;0,2;6;10;;;;;;;
27,2222;0,002777778;0,541666667;0,4;8;30;;;;;;;
27,9167;0,002777778;0,555555556;0,3;4;30;;;;;;;
28,6111;0,002777778;0,569444444;0,4;6;50;;;;;;;
29,4444;0,002777778;0,586111111;0,4;6;40;;;;;;;
30,9722;0,002777778;0,616666667;0,5;12;40;;;;;;;
33,3333;0,002777778;0,663888889;0,5;8;60;;;;;;;
27,0833;0,005555556;0,536111111;0,3;4;40;;;;;;;
23,1944;0,008333333;0,455555556;0,2;8;10;;;;;;;
23,3333;0,008333333;0,458333333;0,3;8;20;;;;;;;
24,5833;0,008333333;0,483333333;0,4;10;30;;;;;;;
30,8333;0,008333333;0,608333333;0,5;10;60;;;;;;;
20,9722;0,011111111;0,408333333;0,2;10;10;;;;;;;
21,8056;0,011111111;0,425;0,2;4;20;;;;;;;
28,3333;0,011111111;0,555555556;0,4;6;60;;;;;;;
29,4444;0,011111111;0,577777778;0,5;12;50;;;;;;;
18,6111;0,013888889;0,358333333;0,2;12;10;;;;;;;
22,9167;0,013888889;0,444444444;0,4;12;30;;;;;;;
26,3889;0,013888889;0,513888889;0,4;8;40;;;;;;;
25,1389;0,016666667;0,486111111;0,4;8;50;;;;;;;
21,3889;0,019444444;0,408333333;0,3;10;20;;;;;;;
25,9722;0,019444444;0,5;0,3;4;50;;;;;;;
29,3056;0,019444444;0,566666667;0,5;12;60;;;;;;;
23,1944;0,022222222;0,441666667;0,3;6;30;;;;;;;
24,0278;0,025;0,455555556;0,4;10;40;;;;;;;
25,2778;0,025;0,480555556;0,4;8;60;;;;;;;
19,4444;0,030555556;0,358333333;0,3;12;20;;;;;;;
21,25;0,030555556;0,394444444;0,4;12;40;;;;;;;
26,3889;0,030555556;0,497222222;0,3;4;60;;;;;;;
21,8056;0,036111111;0,4;0,3;6;40;;;;;;;
23,0556;0,038888889;0,422222222;0,4;10;50;;;;;;;
20,6944;0,044444444;0,369444444;0,3;8;30;;;;;;;
21,5278;0,058333333;0,372222222;0,3;6;50;;;;;;;
18,75;0,061111111;0,313888889;0,2;6;20;;;;;;;
23,75;0,069444444;0,405555556;0,4;10;60;;;;;;;
20,1389;0,072222222;0,330555556;0,2;4;30;;;;;;;
18,8889;0,075;0,302777778;0,1;4;10;;;;;;;
19,1667;0,080555556;0,302777778;0,3;8;40;;;;;;;
19,7222;0,086111111;0,308333333;0,3;10;30;;;;;;;
22,3611;0,088888889;0,358333333;0,4;12;50;;;;;;;
21,8056;0,091666667;0,344444444;0,3;6;60;;;;;;;
17,3611;0,130555556;0,216666667;0,2;8;20;;;;;;;
19,4444;0,130555556;0,258333333;0,3;12;30;;;;;;;
22,9167;0,130555556;0,327777778;0,4;12;60;;;;;;;
20,2778;0,133333333;0,272222222;0,2;4;40;;;;;;;
20,6944;0,152777778;0,261111111;0,3;8;50;;;;;;;
17,7778;0,155555556;0,2;0,1;6;10;;;;;;;
19,3056;0,161111111;0,225;0,3;10;40;;;;;;;
18,3333;0,169444444;0,197222222;0,2;6;30;;;;;;;
17,7778;0,183333333;0,172222222;0,2;10;20;;;;;;;
18,8889;0,205555556;0,172222222;0,3;12;40;;;;;;;
22,0833;0,205555556;0,236111111;0,2;4;50;;;;;;;
21,9444;0,208333333;0,230555556;0,3;8;60;;;;;;;
18,3333;0,227777778;0,138888889;0,2;12;20;;;;;;;
20,8333;0,227777778;0,188888889;0,3;10;50;;;;;;;
19,5833;0,241666667;0,15;0,1;8;10;;;;;;;
23,75;0,263888889;0,211111111;0,2;4;60;;;;;;;
22,5;0,283333333;0,166666667;0,3;10;60;;;;;;;
20,1389;0,286111111;0,116666667;0,2;8;30;;;;;;;
20,8333;0,291666667;0,125;0,2;6;40;;;;;;;
21,6667;0,297222222;0,136111111;0,3;12;50;;;;;;;
20,1389;0,302777778;0,1;0,1;10;10;;;;;;;
23,1944;0,361111111;0,102777778;0,3;12;60;;;;;;;
23,3333;0,377777778;0,088888889;0,2;6;50;;;;;;;
23,4722;0,377777778;0,091666667;0,1;12;10;;;;;;;
23,8889;0,383333333;0,094444444;0,2;10;30;;;;;;;
24,4444;0,388888889;0,1;0,1;4;20;;;;;;;
24,8611;0,430555556;0,066666667;0,2;8;40;;;;;;;
25,9722;0,441666667;0,077777778;0,2;6;60;;;;;;;
