EER;FMR;FNMR;THR;GDTHR;GAngTHR;;;;;;;;;
28,3333;0;0,566666667;20;6;40;;;;;;;;;
28,75;0;0,575;20;10;20;;;;EER;FMR;FNMR;THR;GDTHR;GAngTHR
29,4444;0;0,588888889;20;6;30;;;Maþiausias EER (FMR = 0);28,3333;0;0,566666667;20;6;40
29,8611;0;0,597222222;20;8;20;;;Maþiausias EER (FMR - bet koks);26,25;0,002777778;0,522222222;20;10;30
30,8333;0;0,616666667;20;6;20;;;;;;;;;
30,8333;0;0,616666667;20;4;40;;;Matches;total;103680;;;;
31,25;0;0,625;30;10;60;;;;;343;;;;
31,6667;0;0,633333333;20;4;30;;;;;;;;;
32,0833;0;0,641666667;30;10;50;;;avg time =;0,003308256;;;;;
32,3611;0;0,647222222;30;8;60;;;;;;;;;
32,6389;0;0,652777778;30;10;40;;;;;;;;;
32,7778;0;0,655555556;20;10;10;;;;;;;;;
32,7778;0;0,655555556;20;4;20;;;;;;;;;
32,9167;0;0,658333333;30;8;50;;;;;;;;;
33,0556;0;0,661111111;30;10;30;;;;;;;;;
33,1944;0;0,663888889;30;8;40;;;;;;;;;
33,6111;0;0,672222222;30;8;30;;;;;;;;;
33,75;0;0,675;20;8;10;;;;;;;;;
33,8889;0;0,677777778;30;6;50;;;;;;;;;
33,8889;0;0,677777778;30;6;60;;;;;;;;;
34,1667;0;0,683333333;30;6;40;;;;;;;;;
34,3056;0;0,686111111;30;10;20;;;;;;;;;
34,4444;0;0,688888889;20;6;10;;;;;;;;;
34,5833;0;0,691666667;30;6;30;;;;;;;;;
34,7222;0;0,694444444;30;8;20;;;;;;;;;
35,4167;0;0,708333333;30;6;20;;;;;;;;;
35,8333;0;0,716666667;40;10;50;;;;;;;;;
35,8333;0;0,716666667;40;10;60;;;;;;;;;
35,9722;0;0,719444444;20;4;10;;;;;;;;;
36,1111;0;0,722222222;40;10;40;;;;;;;;;
36,5278;0;0,730555556;30;4;60;;;;;;;;;
36,5278;0;0,730555556;40;10;30;;;;;;;;;
36,5278;0;0,730555556;40;8;50;;;;;;;;;
36,5278;0;0,730555556;40;8;60;;;;;;;;;
36,8056;0;0,736111111;30;10;10;;;;;;;;;
36,8056;0;0,736111111;30;4;40;;;;;;;;;
36,8056;0;0,736111111;30;4;50;;;;;;;;;
36,8056;0;0,736111111;40;8;40;;;;;;;;;
36,9444;0;0,738888889;30;8;10;;;;;;;;;
36,9444;0;0,738888889;30;4;30;;;;;;;;;
37,0833;0;0,741666667;40;10;20;;;;;;;;;
37,0833;0;0,741666667;40;8;30;;;;;;;;;
37,2222;0;0,744444444;30;4;20;;;;;;;;;
37,2222;0;0,744444444;40;6;60;;;;;;;;;
37,3611;0;0,747222222;40;6;40;;;;;;;;;
37,3611;0;0,747222222;40;6;50;;;;;;;;;
37,5;0;0,75;40;8;20;;;;;;;;;
37,6389;0;0,752777778;30;6;10;;;;;;;;;
37,6389;0;0,752777778;40;6;30;;;;;;;;;
37,9167;0;0,758333333;40;6;20;;;;;;;;;
38,1944;0;0,763888889;30;4;10;;;;;;;;;
38,3333;0;0,766666667;40;4;30;;;;;;;;;
38,3333;0;0,766666667;40;4;40;;;;;;;;;
38,3333;0;0,766666667;40;4;50;;;;;;;;;
38,3333;0;0,766666667;40;4;60;;;;;;;;;
38,3333;0;0,766666667;50;10;60;;;;;;;;;
