EER;FMR;FNMR;THR;GDTHR;GAngTHR;LDTHR;LAngTHR;;;;;;;;;;
16,5278;0;0,330555556;30;12;50;12;50;;;;;;;;;;
17,6389;0;0,352777778;30;12;30;12;50;;;;;;;;;;
18,1944;0;0,363888889;30;12;50;12;30;;;EER;FMR;FNMR;THR;GDTHR;GAngTHR;LDTHR;LAngTHR
18,8889;0;0,377777778;30;12;50;8;50;;FMR = 0;16,5278;0;0,330555556;30;12;50;12;50
19,0278;0;0,380555556;30;12;30;12;30;;FMR > 0;26,25;0,002777778;0,522222222;10;4;10;12;50
19,4444;0;0,388888889;30;12;30;8;50;;;;;;;;;;
20,1389;0;0,402777778;30;12;50;8;30;;Matches;total;174960;;;;;;
20,5556;0;0,411111111;30;12;30;8;30;;317;;;;;;;;
25,2778;0;0,505555556;30;8;50;12;50;;;;;;;;;;
25,2778;0;0,505555556;30;12;50;4;50;;average match;0,001811843;;;;;;;
25,4167;0;0,508333333;10;4;50;4;50;;;;;;;;;;
25,4167;0;0,508333333;30;8;50;12;30;;;;;;;;;;
25,5556;0;0,511111111;30;12;30;4;50;;;;;;;;;;
25,8333;0;0,516666667;30;8;30;12;50;;;;;;;;;;
25,9722;0;0,519444444;30;8;50;8;50;;;;;;;;;;
26,1111;0;0,522222222;10;4;30;4;50;;;;;;;;;;
26,1111;0;0,522222222;30;8;30;12;30;;;;;;;;;;
26,1111;0;0,522222222;30;12;50;4;30;;;;;;;;;;
26,25;0;0,525;10;4;50;4;30;;;;;;;;;;
26,3889;0;0,527777778;30;12;30;4;30;;;;;;;;;;
26,3889;0;0,527777778;30;8;50;8;30;;;;;;;;;;
26,5278;0;0,530555556;30;8;30;8;50;;;;;;;;;;
26,8056;0;0,536111111;10;4;30;4;30;;;;;;;;;;
26,9444;0;0,538888889;30;12;10;12;50;;;;;;;;;;
26,9444;0;0,538888889;30;8;30;8;30;;;;;;;;;;
27,6389;0;0,552777778;30;12;10;12;30;;;;;;;;;;
27,7778;0;0,555555556;30;12;10;8;50;;;;;;;;;;
28,3333;0;0,566666667;30;12;10;8;30;;;;;;;;;;
28,4722;0;0,569444444;10;8;50;8;10;;;;;;;;;;
28,6111;0;0,572222222;10;8;30;8;10;;;;;;;;;;
29,4444;0;0,588888889;10;4;10;4;50;;;;;;;;;;
29,5833;0;0,591666667;10;8;10;12;10;;;;;;;;;;
29,7222;0;0,594444444;10;8;10;8;10;;;;;;;;;;
29,8611;0;0,597222222;10;4;10;4;30;;;;;;;;;;
30,2778;0;0,605555556;30;8;50;4;50;;;;;;;;;;
30,2778;0;0,605555556;50;12;50;12;50;;;;;;;;;;
30,4167;0;0,608333333;30;8;30;4;50;;;;;;;;;;
30,6944;0;0,613888889;30;8;50;4;30;;;;;;;;;;
30,8333;0;0,616666667;30;8;30;4;30;;;;;;;;;;
30,9722;0;0,619444444;50;12;50;12;30;;;;;;;;;;
31,1111;0;0,622222222;50;12;30;12;50;;;;;;;;;;
31,25;0;0,625;10;4;50;12;10;;;;;;;;;;
31,25;0;0,625;30;12;10;4;50;;;;;;;;;;
31,25;0;0,625;50;12;50;8;50;;;;;;;;;;
31,3889;0;0,627777778;10;4;50;8;10;;;;;;;;;;
31,3889;0;0,627777778;30;12;50;12;10;;;;;;;;;;
31,5278;0;0,630555556;30;12;50;8;10;;;;;;;;;;
31,5278;0;0,630555556;50;12;50;8;30;;;;;;;;;;
31,6667;0;0,633333333;10;4;30;12;10;;;;;;;;;;
31,6667;0;0,633333333;30;12;10;4;30;;;;;;;;;;
31,6667;0;0,633333333;30;12;30;12;10;;;;;;;;;;
31,6667;0;0,633333333;50;12;30;12;30;;;;;;;;;;
31,8056;0;0,636111111;10;4;30;8;10;;;;;;;;;;
31,8056;0;0,636111111;30;12;30;8;10;;;;;;;;;;
31,9444;0;0,638888889;50;12;30;8;50;;;;;;;;;;
32,0833;0;0,641666667;50;12;30;8;30;;;;;;;;;;
32,3611;0;0,647222222;10;12;30;4;10;;;;;;;;;;
32,3611;0;0,647222222;10;12;50;4;10;;;;;;;;;;
32,3611;0;0,647222222;30;8;10;8;50;;;;;;;;;;
32,3611;0;0,647222222;30;8;10;12;50;;;;;;;;;;
32,5;0;0,65;10;8;30;4;10;;;;;;;;;;
32,5;0;0,65;10;8;50;4;10;;;;;;;;;;
32,6389;0;0,652777778;10;4;10;12;10;;;;;;;;;;
32,7778;0;0,655555556;10;12;10;4;10;;;;;;;;;;
32,7778;0;0,655555556;30;8;10;8;30;;;;;;;;;;
32,7778;0;0,655555556;30;8;10;12;30;;;;;;;;;;
32,9167;0;0,658333333;10;4;10;8;10;;;;;;;;;;
33,1944;0;0,663888889;10;8;10;4;10;;;;;;;;;;
33,6111;0;0,672222222;30;8;30;12;10;;;;;;;;;;
33,6111;0;0,672222222;30;8;50;12;10;;;;;;;;;;
33,6111;0;0,672222222;50;12;50;4;50;;;;;;;;;;
33,8889;0;0,677777778;50;12;50;4;30;;;;;;;;;;
34,0278;0;0,680555556;30;8;30;8;10;;;;;;;;;;
34,0278;0;0,680555556;30;8;50;8;10;;;;;;;;;;
34,0278;0;0,680555556;50;12;30;4;50;;;;;;;;;;
34,1667;0;0,683333333;30;12;50;4;10;;;;;;;;;;
34,1667;0;0,683333333;50;12;30;4;30;;;;;;;;;;
34,3056;0;0,686111111;30;8;10;4;50;;;;;;;;;;
34,3056;0;0,686111111;30;12;10;12;10;;;;;;;;;;
34,3056;0;0,686111111;30;12;30;4;10;;;;;;;;;;
34,4444;0;0,688888889;10;4;50;4;10;;;;;;;;;;
34,4444;0;0,688888889;30;12;10;8;10;;;;;;;;;;
34,5833;0;0,691666667;30;8;10;4;30;;;;;;;;;;
34,7222;0;0,694444444;10;4;30;4;10;;;;;;;;;;
35,1389;0;0,702777778;10;4;10;4;10;;;;;;;;;;
35,2778;0;0,705555556;50;12;30;12;10;;;;;;;;;;
35,2778;0;0,705555556;50;12;50;12;10;;;;;;;;;;
35,4167;0;0,708333333;30;8;10;12;10;;;;;;;;;;
35,4167;0;0,708333333;50;12;30;8;10;;;;;;;;;;
35,4167;0;0,708333333;50;12;50;8;10;;;;;;;;;;
35,5556;0;0,711111111;30;8;10;8;10;;;;;;;;;;
35,6944;0;0,713888889;30;8;30;4;10;;;;;;;;;;
35,6944;0;0,713888889;30;8;50;4;10;;;;;;;;;;
35,8333;0;0,716666667;50;8;50;12;50;;;;;;;;;;
35,9722;0;0,719444444;30;12;10;4;10;;;;;;;;;;
35,9722;0;0,719444444;50;8;30;12;50;;;;;;;;;;
36,25;0;0,725;50;8;30;12;30;;;;;;;;;;
36,25;0;0,725;50;8;50;8;50;;;;;;;;;;
36,25;0;0,725;50;8;50;12;30;;;;;;;;;;
36,3889;0;0,727777778;50;8;30;8;30;;;;;;;;;;
36,3889;0;0,727777778;50;8;30;8;50;;;;;;;;;;
36,3889;0;0,727777778;50;8;50;8;30;;;;;;;;;;
36,5278;0;0,730555556;30;4;30;8;50;;;;;;;;;;
36,5278;0;0,730555556;30;4;30;12;50;;;;;;;;;;
36,5278;0;0,730555556;30;4;50;8;50;;;;;;;;;;
36,5278;0;0,730555556;30;4;50;12;50;;;;;;;;;;
36,6667;0;0,733333333;30;4;30;8;30;;;;;;;;;;
36,6667;0;0,733333333;30;4;30;12;30;;;;;;;;;;
36,6667;0;0,733333333;30;4;50;8;30;;;;;;;;;;
36,6667;0;0,733333333;30;4;50;12;30;;;;;;;;;;
36,8056;0;0,736111111;30;4;30;4;50;;;;;;;;;;
36,8056;0;0,736111111;30;4;50;4;50;;;;;;;;;;
36,8056;0;0,736111111;50;12;30;4;10;;;;;;;;;;
36,8056;0;0,736111111;50;12;50;4;10;;;;;;;;;;
36,9444;0;0,738888889;30;8;10;4;10;;;;;;;;;;
36,9444;0;0,738888889;30;4;30;4;30;;;;;;;;;;
36,9444;0;0,738888889;30;4;50;4;30;;;;;;;;;;
37,2222;0;0,744444444;50;8;30;4;30;;;;;;;;;;
37,2222;0;0,744444444;50;8;30;4;50;;;;;;;;;;
37,2222;0;0,744444444;50;8;50;4;30;;;;;;;;;;
37,2222;0;0,744444444;50;8;50;4;50;;;;;;;;;;
37,3611;0;0,747222222;30;4;30;8;10;;;;;;;;;;
37,3611;0;0,747222222;30;4;30;12;10;;;;;;;;;;
37,3611;0;0,747222222;30;4;50;8;10;;;;;;;;;;
37,3611;0;0,747222222;30;4;50;12;10;;;;;;;;;;
37,5;0;0,75;50;12;10;8;30;;;;;;;;;;
37,5;0;0,75;50;12;10;8;50;;;;;;;;;;
37,5;0;0,75;50;12;10;12;30;;;;;;;;;;
37,5;0;0,75;50;12;10;12;50;;;;;;;;;;
37,5;0;0,75;50;8;50;8;10;;;;;;;;;;
37,5;0;0,75;50;8;50;12;10;;;;;;;;;;
37,6389;0;0,752777778;30;4;10;8;30;;;;;;;;;;
37,6389;0;0,752777778;30;4;10;8;50;;;;;;;;;;
37,6389;0;0,752777778;30;4;10;12;30;;;;;;;;;;
37,6389;0;0,752777778;30;4;10;12;50;;;;;;;;;;
37,6389;0;0,752777778;50;8;30;8;10;;;;;;;;;;
37,6389;0;0,752777778;50;8;30;12;10;;;;;;;;;;
37,7778;0;0,755555556;30;4;30;4;10;;;;;;;;;;
37,7778;0;0,755555556;30;4;50;4;10;;;;;;;;;;
37,7778;0;0,755555556;50;12;10;4;30;;;;;;;;;;
37,7778;0;0,755555556;50;12;10;4;50;;;;;;;;;;
37,9167;0;0,758333333;30;4;10;4;30;;;;;;;;;;
37,9167;0;0,758333333;30;4;10;4;50;;;;;;;;;;
38,0556;0;0,761111111;50;12;10;8;10;;;;;;;;;;
38,0556;0;0,761111111;50;12;10;12;10;;;;;;;;;;
38,1944;0;0,763888889;30;4;10;8;10;;;;;;;;;;
38,1944;0;0,763888889;30;4;10;12;10;;;;;;;;;;
38,1944;0;0,763888889;50;8;30;4;10;;;;;;;;;;
38,1944;0;0,763888889;50;8;50;4;10;;;;;;;;;;
38,3333;0;0,766666667;50;8;10;8;30;;;;;;;;;;
38,3333;0;0,766666667;50;8;10;8;50;;;;;;;;;;
38,3333;0;0,766666667;50;8;10;12;30;;;;;;;;;;
38,3333;0;0,766666667;50;8;10;12;50;;;;;;;;;;
38,3333;0;0,766666667;50;12;10;4;10;;;;;;;;;;
38,4722;0;0,769444444;30;4;10;4;10;;;;;;;;;;
38,8889;0;0,777777778;50;4;10;4;10;;;;;;;;;;
38,8889;0;0,777777778;50;4;10;4;30;;;;;;;;;;
38,8889;0;0,777777778;50;4;10;4;50;;;;;;;;;;
38,8889;0;0,777777778;50;4;10;8;10;;;;;;;;;;
38,8889;0;0,777777778;50;4;10;8;30;;;;;;;;;;
38,8889;0;0,777777778;50;4;10;8;50;;;;;;;;;;
38,8889;0;0,777777778;50;4;10;12;10;;;;;;;;;;
38,8889;0;0,777777778;50;4;10;12;30;;;;;;;;;;
38,8889;0;0,777777778;50;4;10;12;50;;;;;;;;;;
38,8889;0;0,777777778;50;8;10;4;10;;;;;;;;;;
38,8889;0;0,777777778;50;8;10;4;30;;;;;;;;;;
38,8889;0;0,777777778;50;8;10;4;50;;;;;;;;;;
