EER;FMR;FNMR;THR;GDTHR;GAngTHR;;;;;;;;;;
30,1389;0;0,602777778;20;6;20;;;;;;;;;;
31,6667;0;0,633333333;20;4;20;;;;;EER;FMR;FNMR;THR;GDTHR;GAngTHR
32,2222;0;0,644444444;20;10;10;;;;Maþiausias EER (FMR = 0);30,1389;0;0,602777778;20;6;20
32,5;0;0,65;20;8;10;;;;Maþiausias EER (FMR - bet koks);29,7222;0,002777778;0,591666667;20;8;20
32,5;0;0,65;30;10;50;;;;;;;;;;
32,7778;0;0,655555556;30;10;40;;;;Matches;total;103680;;;;
33,1944;0;0,663888889;30;8;50;;;;;;516;;;;
33,1944;0;0,663888889;30;8;60;;;;;;;;;;
33,4722;0;0,669444444;20;6;10;;;;avg time =;0,004976852;;;;;
33,4722;0;0,669444444;30;10;30;;;;;;;;;;
33,4722;0;0,669444444;30;8;40;;;;;;;;;;
34,0278;0;0,680555556;30;8;30;;;;;;;;;;
34,3056;0;0,686111111;30;10;20;;;;;;;;;;
34,4444;0;0,688888889;30;6;40;;;;;;;;;;
34,4444;0;0,688888889;30;6;50;;;;;;;;;;
34,4444;0;0,688888889;30;6;60;;;;;;;;;;
34,7222;0;0,694444444;20;4;10;;;;;;;;;;
34,7222;0;0,694444444;30;8;20;;;;;;;;;;
34,7222;0;0,694444444;30;6;30;;;;;;;;;;
35,2778;0;0,705555556;30;4;60;;;;;;;;;;
35,5556;0;0,711111111;30;4;40;;;;;;;;;;
35,5556;0;0,711111111;30;4;50;;;;;;;;;;
35,6944;0;0,713888889;30;4;30;;;;;;;;;;
35,8333;0;0,716666667;30;6;20;;;;;;;;;;
35,8333;0;0,716666667;40;10;50;;;;;;;;;;
35,8333;0;0,716666667;40;8;60;;;;;;;;;;
35,8333;0;0,716666667;40;10;60;;;;;;;;;;
35,9722;0;0,719444444;40;10;40;;;;;;;;;;
36,1111;0;0,722222222;40;8;50;;;;;;;;;;
36,3889;0;0,727777778;40;10;30;;;;;;;;;;
36,3889;0;0,727777778;40;8;40;;;;;;;;;;
36,8056;0;0,736111111;30;8;10;;;;;;;;;;
36,8056;0;0,736111111;30;10;10;;;;;;;;;;
36,8056;0;0,736111111;30;4;20;;;;;;;;;;
36,8056;0;0,736111111;40;8;30;;;;;;;;;;
36,9444;0;0,738888889;40;10;20;;;;;;;;;;
36,9444;0;0,738888889;40;6;30;;;;;;;;;;
36,9444;0;0,738888889;40;6;40;;;;;;;;;;
36,9444;0;0,738888889;40;6;50;;;;;;;;;;
37,0833;0;0,741666667;40;8;20;;;;;;;;;;
37,0833;0;0,741666667;40;6;60;;;;;;;;;;
37,2222;0;0,744444444;40;6;20;;;;;;;;;;
37,3611;0;0,747222222;50;10;50;;;;;;;;;;
37,3611;0;0,747222222;50;8;60;;;;;;;;;;
37,3611;0;0,747222222;50;10;60;;;;;;;;;;
37,5;0;0,75;30;6;10;;;;;;;;;;
37,5;0;0,75;50;10;40;;;;;;;;;;
37,5;0;0,75;50;8;50;;;;;;;;;;
37,7778;0;0,755555556;40;4;30;;;;;;;;;;
37,7778;0;0,755555556;40;4;40;;;;;;;;;;
37,7778;0;0,755555556;40;4;50;;;;;;;;;;
37,7778;0;0,755555556;40;4;60;;;;;;;;;;
37,7778;0;0,755555556;50;8;40;;;;;;;;;;
37,9167;0;0,758333333;30;4;10;;;;;;;;;;
37,9167;0;0,758333333;50;6;50;;;;;;;;;;
37,9167;0;0,758333333;50;6;60;;;;;;;;;;
38,0556;0;0,761111111;50;8;30;;;;;;;;;;
38,0556;0;0,761111111;50;10;30;;;;;;;;;;
38,0556;0;0,761111111;50;6;40;;;;;;;;;;
38,1944;0;0,763888889;40;4;20;;;;;;;;;;
38,1944;0;0,763888889;50;8;20;;;;;;;;;;
38,1944;0;0,763888889;50;10;20;;;;;;;;;;
38,4722;0;0,769444444;50;6;30;;;;;;;;;;
38,6111;0;0,772222222;40;6;10;;;;;;;;;;
38,6111;0;0,772222222;40;8;10;;;;;;;;;;
38,6111;0;0,772222222;40;10;10;;;;;;;;;;
38,6111;0;0,772222222;50;6;20;;;;;;;;;;
38,75;0;0,775;40;4;10;;;;;;;;;;
38,75;0;0,775;50;4;30;;;;;;;;;;
38,75;0;0,775;50;4;40;;;;;;;;;;
38,75;0;0,775;50;4;50;;;;;;;;;;
38,75;0;0,775;50;4;60;;;;;;;;;;
38,75;0;0,775;60;10;30;;;;;;;;;;
38,75;0;0,775;60;10;40;;;;;;;;;;
38,75;0;0,775;60;10;50;;;;;;;;;;
38,75;0;0,775;60;10;60;;;;;;;;;;
38,8889;0;0,777777778;50;4;10;;;;;;;;;;
38,8889;0;0,777777778;50;6;10;;;;;;;;;;
38,8889;0;0,777777778;50;8;10;;;;;;;;;;
38,8889;0;0,777777778;50;10;10;;;;;;;;;;
38,8889;0;0,777777778;50;4;20;;;;;;;;;;
38,8889;0;0,777777778;60;4;10;;;;;;;;;;
38,8889;0;0,777777778;60;6;10;;;;;;;;;;
38,8889;0;0,777777778;60;8;10;;;;;;;;;;
38,8889;0;0,777777778;60;10;10;;;;;;;;;;
38,8889;0;0,777777778;60;4;20;;;;;;;;;;
38,8889;0;0,777777778;60;6;20;;;;;;;;;;
38,8889;0;0,777777778;60;8;20;;;;;;;;;;
38,8889;0;0,777777778;60;10;20;;;;;;;;;;
38,8889;0;0,777777778;60;4;30;;;;;;;;;;
38,8889;0;0,777777778;60;6;30;;;;;;;;;;
38,8889;0;0,777777778;60;8;30;;;;;;;;;;
38,8889;0;0,777777778;60;4;40;;;;;;;;;;
38,8889;0;0,777777778;60;6;40;;;;;;;;;;
38,8889;0;0,777777778;60;8;40;;;;;;;;;;
38,8889;0;0,777777778;60;4;50;;;;;;;;;;
38,8889;0;0,777777778;60;6;50;;;;;;;;;;
38,8889;0;0,777777778;60;8;50;;;;;;;;;;
38,8889;0;0,777777778;60;4;60;;;;;;;;;;
38,8889;0;0,777777778;60;6;60;;;;;;;;;;
38,8889;0;0,777777778;60;8;60;;;;;;;;;;
29,7222;0,002777778;0,591666667;20;8;20;;;;;;;;;;
30,6944;0,002777778;0,611111111;20;4;40;;;;;;;;;;
30,8333;0,002777778;0,613888889;20;4;30;;;;;;;;;;
32,5;0,002777778;0,647222222;30;10;60;;;;;;;;;;
29,0278;0,005555556;0,575;20;6;30;;;;;;;;;;
29,4444;0,005555556;0,583333333;20;10;20;;;;;;;;;;
30,1389;0,008333333;0,594444444;20;4;50;;;;;;;;;;
30;0,011111111;0,588888889;20;4;60;;;;;;;;;;
28,3333;0,013888889;0,552777778;20;8;30;;;;;;;;;;
28,4722;0,013888889;0,555555556;20;6;40;;;;;;;;;;
27,3611;0,016666667;0,530555556;20;10;30;;;;;;;;;;
27,5;0,016666667;0,533333333;10;4;10;;;;;;;;;;
27,7778;0,019444444;0,536111111;20;6;50;;;;;;;;;;
25,8333;0,025;0,491666667;10;6;10;;;;;;;;;;
27,3611;0,025;0,522222222;20;6;60;;;;;;;;;;
28,0556;0,025;0,536111111;20;8;40;;;;;;;;;;
25,4167;0,027777778;0,480555556;10;8;10;;;;;;;;;;
27,2222;0,030555556;0,513888889;20;10;40;;;;;;;;;;
27,3611;0,033333333;0,513888889;20;8;50;;;;;;;;;;
25,1389;0,036111111;0,466666667;10;10;10;;;;;;;;;;
27,2222;0,044444444;0,5;20;8;60;;;;;;;;;;
27,0833;0,047222222;0,494444444;20;10;50;;;;;;;;;;
24,5833;0,061111111;0,430555556;10;4;20;;;;;;;;;;
27,0833;0,069444444;0,472222222;20;10;60;;;;;;;;;;
