EER;FMR;FNMR;THR;GDTHR;GAngTHR;LDTHR;beta;alfa;;;;;;;;;;;
22,6389;0;0,452777778;20;10;40;0,2;60;12;;;;;;;;;;;
23,1944;0;0,463888889;20;10;40;0,2;30;12;;;;;;;;;;;
23,6111;0;0,472222222;30;10;40;0,4;60;16;;;EER;FMR;FNMR;THR;GDTHR;GAngTHR;LDTHR;beta;alfa
23,75;0;0,475;20;10;10;0,4;60;16;;FMR = 0;22,6389;0;0,452777778;20;10;40;0,2;60;12
24,1667;0;0,483333333;20;10;10;0,4;30;16;;FMR > 0;20,5556;0,002777778;0,408333333;20;10;40;0,2;60;16
24,3056;0;0,486111111;30;10;40;0,4;30;16;;;;;;;;;;;
25;0;0,5;20;10;10;0,4;60;12;;Matches;total;103680;;;;;;;
25;0;0,5;20;10;40;0,4;30;8;;5809;;;;;;;;;
25;0;0,5;30;10;40;0,4;60;12;;;;;;;;;;;
25,4167;0;0,508333333;30;10;40;0,2;60;16;;average match;0,056028164;;;;;;;;
25,5556;0;0,511111111;20;10;10;0,4;30;12;;;;;;;;;;;
25,5556;0;0,511111111;30;10;40;0,2;30;16;;;;;;;;;;;
25,5556;0;0,511111111;30;10;40;0,4;30;12;;;;;;;;;;;
25,6944;0;0,513888889;20;10;10;0,2;30;16;;;;;;;;;;;
25,6944;0;0,513888889;20;10;10;0,2;60;16;;;;;;;;;;;
27,0833;0;0,541666667;30;10;40;0,2;30;12;;;;;;;;;;;
27,0833;0;0,541666667;30;10;40;0,2;60;12;;;;;;;;;;;
27,2222;0;0,544444444;20;10;10;0,2;30;12;;;;;;;;;;;
27,2222;0;0,544444444;20;10;10;0,2;60;12;;;;;;;;;;;
28,6111;0;0,572222222;20;10;40;0,2;60;8;;;;;;;;;;;
28,75;0;0,575;20;10;10;0,4;60;8;;;;;;;;;;;
28,75;0;0,575;20;10;40;0,2;30;8;;;;;;;;;;;
28,75;0;0,575;30;10;40;0,4;60;8;;;;;;;;;;;
29,1667;0;0,583333333;30;10;40;0,4;30;8;;;;;;;;;;;
29,3056;0;0,586111111;20;10;10;0,4;30;8;;;;;;;;;;;
30,1389;0;0,602777778;30;10;10;0,4;30;16;;;;;;;;;;;
30,1389;0;0,602777778;30;10;10;0,4;60;16;;;;;;;;;;;
30,8333;0;0,616666667;20;10;10;0,2;60;8;;;;;;;;;;;
30,8333;0;0,616666667;30;10;10;0,2;30;16;;;;;;;;;;;
30,8333;0;0,616666667;30;10;10;0,2;60;16;;;;;;;;;;;
30,8333;0;0,616666667;30;10;10;0,4;60;12;;;;;;;;;;;
30,9722;0;0,619444444;10;4;10;0,4;60;8;;;;;;;;;;;
30,9722;0;0,619444444;20;10;10;0,2;30;8;;;;;;;;;;;
30,9722;0;0,619444444;30;10;10;0,4;30;12;;;;;;;;;;;
30,9722;0;0,619444444;30;10;40;0,2;30;8;;;;;;;;;;;
30,9722;0;0,619444444;30;10;40;0,2;60;8;;;;;;;;;;;
31,1111;0;0,622222222;10;4;10;0,4;30;8;;;;;;;;;;;
31,1111;0;0,622222222;20;4;40;0,4;60;16;;;;;;;;;;;
31,25;0;0,625;20;4;40;0,4;30;16;;;;;;;;;;;
31,6667;0;0,633333333;20;4;40;0,4;60;12;;;;;;;;;;;
31,6667;0;0,633333333;30;10;10;0,2;60;12;;;;;;;;;;;
31,8056;0;0,636111111;20;4;40;0,4;30;12;;;;;;;;;;;
31,8056;0;0,636111111;30;10;10;0,2;30;12;;;;;;;;;;;
31,9444;0;0,638888889;30;10;10;0,4;60;8;;;;;;;;;;;
32,2222;0;0,644444444;10;4;10;0,2;30;8;;;;;;;;;;;
32,2222;0;0,644444444;10;4;10;0,2;60;8;;;;;;;;;;;
32,2222;0;0,644444444;20;4;40;0,2;60;16;;;;;;;;;;;
32,2222;0;0,644444444;30;10;10;0,4;30;8;;;;;;;;;;;
32,3611;0;0,647222222;20;4;40;0,2;30;16;;;;;;;;;;;
33,1944;0;0,663888889;20;4;40;0,2;30;12;;;;;;;;;;;
33,1944;0;0,663888889;20;4;40;0,2;60;12;;;;;;;;;;;
33,1944;0;0,663888889;30;10;10;0,2;60;8;;;;;;;;;;;
33,3333;0;0,666666667;30;10;10;0,2;30;8;;;;;;;;;;;
33,75;0;0,675;20;4;40;0,4;60;8;;;;;;;;;;;
33,8889;0;0,677777778;20;4;40;0,4;30;8;;;;;;;;;;;
34,4444;0;0,688888889;20;4;10;0,4;30;16;;;;;;;;;;;
34,4444;0;0,688888889;20;4;10;0,4;60;16;;;;;;;;;;;
34,5833;0;0,691666667;20;4;10;0,4;30;12;;;;;;;;;;;
34,5833;0;0,691666667;20;4;10;0,4;60;12;;;;;;;;;;;
34,7222;0;0,694444444;20;4;40;0,2;30;8;;;;;;;;;;;
34,7222;0;0,694444444;20;4;40;0,2;60;8;;;;;;;;;;;
35;0;0,7;20;4;10;0,2;30;16;;;;;;;;;;;
35;0;0,7;20;4;10;0,2;60;16;;;;;;;;;;;
35,1389;0;0,702777778;20;4;10;0,2;30;12;;;;;;;;;;;
35,1389;0;0,702777778;20;4;10;0,2;60;12;;;;;;;;;;;
35,5556;0;0,711111111;20;4;10;0,4;30;8;;;;;;;;;;;
35,5556;0;0,711111111;20;4;10;0,4;60;8;;;;;;;;;;;
36,1111;0;0,722222222;20;4;10;0,2;30;8;;;;;;;;;;;
36,1111;0;0,722222222;20;4;10;0,2;60;8;;;;;;;;;;;
36,25;0;0,725;30;4;40;0,4;30;16;;;;;;;;;;;
36,25;0;0,725;30;4;40;0,4;60;16;;;;;;;;;;;
36,3889;0;0,727777778;30;4;40;0,4;30;12;;;;;;;;;;;
36,3889;0;0,727777778;30;4;40;0,4;60;12;;;;;;;;;;;
36,5278;0;0,730555556;30;4;40;0,2;30;12;;;;;;;;;;;
36,5278;0;0,730555556;30;4;40;0,2;30;16;;;;;;;;;;;
36,5278;0;0,730555556;30;4;40;0,2;60;12;;;;;;;;;;;
36,5278;0;0,730555556;30;4;40;0,2;60;16;;;;;;;;;;;
36,9444;0;0,738888889;30;4;40;0,4;30;8;;;;;;;;;;;
36,9444;0;0,738888889;30;4;40;0,4;60;8;;;;;;;;;;;
37,0833;0;0,741666667;30;4;40;0,2;30;8;;;;;;;;;;;
37,0833;0;0,741666667;30;4;40;0,2;60;8;;;;;;;;;;;
37,2222;0;0,744444444;30;4;10;0,2;30;12;;;;;;;;;;;
37,2222;0;0,744444444;30;4;10;0,2;30;16;;;;;;;;;;;
37,2222;0;0,744444444;30;4;10;0,2;60;12;;;;;;;;;;;
