EER;FMR;FNMR;THR;GDTHR;GAngTHRLDTHR;LAngTHR;;;;;;;;;;;;
7,2222;0;0,144444444;30;12;30;12;50;;;;;;;;;;;
7,3611;0;0,147222222;30;12;30;12;30;;;;EER;FMR;FNMR;THR;GDTHR;GAngTHR;LDTHR;LAngTHR
7,9167;0;0,158333333;30;12;30;8;50;;;FMR = 0;7,2222;0;0,144444444;30;12;30;12;50
8,75;0;0,175;30;12;30;8;30;;;FMR > 0;11,3889;0,002777778;0,225;30;12;50;4;50
12,0833;0;0,241666667;30;12;50;4;30;;;;;;;;;;;
12,7778;0;0,255555556;10;4;50;12;30;;;Matches;total;174960;;;;;;
13,3333;0;0,266666667;30;12;30;4;50;;;2362;;;;;;;;
13,75;0;0,275;10;4;50;8;30;;;;;;;;;;;
14,0278;0;0,280555556;30;12;30;4;30;;;average match;0,013500229;;;;;;;
14,1667;0;0,283333333;10;4;30;12;30;;;;;;;;;;;
15;0;0,3;10;4;30;8;30;;;;;;;;;;;
15,4167;0;0,308333333;10;4;30;8;50;;;;;;;;;;;
18,1944;0;0,363888889;10;8;10;12;10;;;;;;;;;;;
18,3333;0;0,366666667;30;8;50;12;50;;;;;;;;;;;
18,3333;0;0,366666667;30;12;50;12;10;;;;;;;;;;;
19,1667;0;0,383333333;10;4;50;4;30;;;;;;;;;;;
19,1667;0;0,383333333;30;8;50;8;50;;;;;;;;;;;
19,3056;0;0,386111111;10;8;10;8;10;;;;;;;;;;;
19,3056;0;0,386111111;30;12;50;8;10;;;;;;;;;;;
19,7222;0;0,394444444;10;4;50;4;50;;;;;;;;;;;
19,7222;0;0,394444444;30;8;30;12;50;;;;;;;;;;;
19,7222;0;0,394444444;30;12;30;12;10;;;;;;;;;;;
20;0;0,4;30;8;50;12;30;;;;;;;;;;;
20,1389;0;0,402777778;10;4;10;8;50;;;;;;;;;;;
20,2778;0;0,405555556;10;4;10;12;30;;;;;;;;;;;
20,2778;0;0,405555556;10;4;10;12;50;;;;;;;;;;;
20,2778;0;0,405555556;30;12;10;12;50;;;;;;;;;;;
20,2778;0;0,405555556;30;8;30;8;50;;;;;;;;;;;
20,4167;0;0,408333333;10;4;30;4;30;;;;;;;;;;;
20,4167;0;0,408333333;30;12;30;8;10;;;;;;;;;;;
20,5556;0;0,411111111;10;4;30;4;50;;;;;;;;;;;
20,5556;0;0,411111111;30;8;50;8;30;;;;;;;;;;;
20,8333;0;0,416666667;10;4;10;8;30;;;;;;;;;;;
20,8333;0;0,416666667;30;12;10;8;50;;;;;;;;;;;
20,9722;0;0,419444444;30;12;10;12;30;;;;;;;;;;;
21,3889;0;0,427777778;30;8;30;12;30;;;;;;;;;;;
21,5278;0;0,430555556;10;12;50;4;10;;;;;;;;;;;
21,8056;0;0,436111111;10;12;30;4;10;;;;;;;;;;;
21,8056;0;0,436111111;30;12;10;8;30;;;;;;;;;;;
21,8056;0;0,436111111;30;8;30;8;30;;;;;;;;;;;
22,2222;0;0,444444444;10;8;50;4;10;;;;;;;;;;;
