EER;FMR;FNMR;THR;GDTHR;GAngTHR;;;;;;;;
11,1111;0;0,222222222;0,3;10;20;;;;;;;;
13,0556;0;0,261111111;0,2;8;10;;;;;;;;
14,0278;0;0,280555556;0,2;4;20;;;EER;FMR;FNMR;THR;GDTHR;GAngTHR
15;0;0,3;0,3;8;20;;;11,1111;0;0,222222222;0,3;10;20
15,4167;0;0,308333333;0,4;12;30;;;;;;;;
17,2222;0;0,344444444;0,4;10;40;;;;;;;;
18,4722;0;0,369444444;0,2;6;10;;;Matches;total;129600;;;
18,6111;0;0,372222222;0,4;10;30;;;3083;;;;;
19,5833;0;0,391666667;0,3;6;20;;;;;;;;
19,5833;0;0,391666667;0,4;12;20;;;0,02378858;;;;;
20,1389;0;0,402777778;0,3;12;10;;;;;;;;
20,5556;0;0,411111111;0,4;8;60;;;;;;;;
20,6944;0;0,413888889;0,4;8;50;;;;;;;;
21,1111;0;0,422222222;0,4;8;40;;;;;;;;
22,0833;0;0,441666667;0,3;10;10;;;;;;;;
22,0833;0;0,441666667;0,4;8;30;;;;;;;;
22,2222;0;0,444444444;0,4;10;20;;;;;;;;
23,0556;0;0,461111111;0,2;4;10;;;;;;;;
24,0278;0;0,480555556;0,3;4;50;;;;;;;;
24,3056;0;0,486111111;0,5;12;60;;;;;;;;
24,4444;0;0,488888889;0,3;4;40;;;;;;;;
24,5833;0;0,491666667;0,3;8;10;;;;;;;;
24,8611;0;0,497222222;0,3;4;30;;;;;;;;
24,8611;0;0,497222222;0,5;12;50;;;;;;;;
25,2778;0;0,505555556;0,4;8;20;;;;;;;;
25,5556;0;0,511111111;0,5;12;30;;;;;;;;
25,5556;0;0,511111111;0,5;12;40;;;;;;;;
25,8333;0;0,516666667;0,4;6;60;;;;;;;;
26,1111;0;0,522222222;0,4;6;50;;;;;;;;
26,3889;0;0,527777778;0,5;10;60;;;;;;;;
26,5278;0;0,530555556;0,4;6;40;;;;;;;;
26,5278;0;0,530555556;0,5;10;50;;;;;;;;
26,8056;0;0,536111111;0,3;4;20;;;;;;;;
27,0833;0;0,541666667;0,4;6;30;;;;;;;;
27,3611;0;0,547222222;0,5;10;40;;;;;;;;
27,6389;0;0,552777778;0,3;6;10;;;;;;;;
28,6111;0;0,572222222;0,5;12;20;;;;;;;;
28,75;0;0,575;0,4;12;10;;;;;;;;
29,1667;0;0,583333333;0,5;10;30;;;;;;;;
29,5833;0;0,591666667;0,4;6;20;;;;;;;;
30,5556;0;0,611111111;0,4;10;10;;;;;;;;
30,6944;0;0,613888889;0,5;8;60;;;;;;;;
30,8333;0;0,616666667;0,5;8;50;;;;;;;;
31,1111;0;0,622222222;0,5;10;20;;;;;;;;
31,3889;0;0,627777778;0,5;8;40;;;;;;;;
31,6667;0;0,633333333;0,5;8;30;;;;;;;;
32,7778;0;0,655555556;0,4;4;60;;;;;;;;
32,9167;0;0,658333333;0,3;4;10;;;;;;;;
32,9167;0;0,658333333;0,4;8;10;;;;;;;;
33,0556;0;0,661111111;0,4;4;50;;;;;;;;
33,3333;0;0,666666667;0,5;8;20;;;;;;;;
33,4722;0;0,669444444;0,4;4;40;;;;;;;;
33,4722;0;0,669444444;0,6;12;60;;;;;;;;
33,8889;0;0,677777778;0,6;12;40;;;;;;;;
33,8889;0;0,677777778;0,6;12;50;;;;;;;;
34,1667;0;0,683333333;0,4;4;30;;;;;;;;
34,1667;0;0,683333333;0,5;6;60;;;;;;;;
34,3056;0;0,686111111;0,5;6;50;;;;;;;;
34,3056;0;0,686111111;0,6;12;30;;;;;;;;
34,4444;0;0,688888889;0,5;6;40;;;;;;;;
34,4444;0;0,688888889;0,6;10;50;;;;;;;;
34,4444;0;0,688888889;0,6;10;60;;;;;;;;
34,5833;0;0,691666667;0,6;10;40;;;;;;;;
34,7222;0;0,694444444;0,5;6;30;;;;;;;;
35;0;0,7;0,4;4;20;;;;;;;;
35;0;0,7;0,6;10;30;;;;;;;;
35,1389;0;0,702777778;0,4;6;10;;;;;;;;
35,2778;0;0,705555556;0,5;12;10;;;;;;;;
35,2778;0;0,705555556;0,6;12;20;;;;;;;;
35,5556;0;0,711111111;0,5;6;20;;;;;;;;
35,5556;0;0,711111111;0,6;8;50;;;;;;;;
35,5556;0;0,711111111;0,6;8;60;;;;;;;;
35,8333;0;0,716666667;0,6;8;40;;;;;;;;
35,9722;0;0,719444444;0,5;10;10;;;;;;;;
36,1111;0;0,722222222;0,6;10;20;;;;;;;;
36,5278;0;0,730555556;0,6;8;30;;;;;;;;
37,2222;0;0,744444444;0,4;4;10;;;;;;;;
37,2222;0;0,744444444;0,6;8;20;;;;;;;;
37,3611;0;0,747222222;0,5;8;10;;;;;;;;
37,3611;0;0,747222222;0,6;6;30;;;;;;;;
37,3611;0;0,747222222;0,6;6;40;;;;;;;;
37,3611;0;0,747222222;0,6;6;50;;;;;;;;
37,3611;0;0,747222222;0,6;6;60;;;;;;;;
37,5;0;0,75;0,5;4;50;;;;;;;;
37,5;0;0,75;0,5;4;60;;;;;;;;
37,6389;0;0,752777778;0,5;4;30;;;;;;;;
37,6389;0;0,752777778;0,5;4;40;;;;;;;;
37,7778;0;0,755555556;0,5;6;10;;;;;;;;
