EER;FMR;FNMR;THR;GDTHR;GAngTHR;MtiaCTHR;;;;;;;;
7,9167;0;0,158333333;0,005;10;30;2;;;;;;;;
7,9167;0;0,158333333;0,005;10;30;4;;;;;;;;
7,9167;0;0,158333333;0,005;10;30;6;;EER;FMR;FNMR;THR;GDTHR;GAngTHR;MtiaCTHR
7,9167;0;0,158333333;0,005;10;30;8;;7,9167;0;0,158333333;0,005;10;30;2
7,9167;0;0,158333333;0,005;10;30;10;;;;;;;;
7,9167;0;0,158333333;0,005;10;40;2;;;;;;;;
7,9167;0;0,158333333;0,005;10;40;4;;Matches;total;432000;;;;
7,9167;0;0,158333333;0,005;10;40;6;;4647;;;;;;
7,9167;0;0,158333333;0,005;10;40;8;;;;;;;;
7,9167;0;0,158333333;0,005;10;40;10;;0,010756944;;;;;;
7,9167;0;0,158333333;0,005;10;50;2;;;;;;;;
7,9167;0;0,158333333;0,005;10;50;4;;;;;;;;
7,9167;0;0,158333333;0,005;10;50;6;;;;;;;;
7,9167;0;0,158333333;0,005;10;50;8;;;;;;;;
7,9167;0;0,158333333;0,005;10;50;10;;;;;;;;
7,9167;0;0,158333333;0,005;10;60;2;;;;;;;;
7,9167;0;0,158333333;0,005;10;60;4;;;;;;;;
7,9167;0;0,158333333;0,005;10;60;6;;;;;;;;
7,9167;0;0,158333333;0,005;10;60;8;;;;;;;;
7,9167;0;0,158333333;0,005;10;60;10;;;;;;;;
8,6111;0;0,172222222;0,005;10;20;2;;;;;;;;
8,6111;0;0,172222222;0,005;10;20;4;;;;;;;;
8,6111;0;0,172222222;0,005;10;20;6;;;;;;;;
8,6111;0;0,172222222;0,005;10;20;8;;;;;;;;
8,6111;0;0,172222222;0,005;10;20;10;;;;;;;;
12,2222;0;0,244444444;0,005;10;10;2;;;;;;;;
12,2222;0;0,244444444;0,005;10;10;4;;;;;;;;
12,2222;0;0,244444444;0,005;10;10;6;;;;;;;;
12,2222;0;0,244444444;0,005;10;10;8;;;;;;;;
12,2222;0;0,244444444;0,005;10;10;10;;;;;;;;
13,6111;0;0,272222222;0,005;8;30;2;;;;;;;;
13,6111;0;0,272222222;0,005;8;30;4;;;;;;;;
13,6111;0;0,272222222;0,005;8;30;6;;;;;;;;
13,6111;0;0,272222222;0,005;8;30;8;;;;;;;;
13,6111;0;0,272222222;0,005;8;30;10;;;;;;;;
13,6111;0;0,272222222;0,005;8;40;10;;;;;;;;
13,6111;0;0,272222222;0,005;8;50;10;;;;;;;;
13,6111;0;0,272222222;0,005;8;60;10;;;;;;;;
13,75;0;0,275;0,005;8;20;2;;;;;;;;
13,75;0;0,275;0,005;8;20;4;;;;;;;;
13,75;0;0,275;0,005;8;20;6;;;;;;;;
13,75;0;0,275;0,005;8;20;8;;;;;;;;
13,75;0;0,275;0,005;8;20;10;;;;;;;;
16,25;0;0,325;0,005;8;10;2;;;;;;;;
16,25;0;0,325;0,005;8;10;4;;;;;;;;
16,25;0;0,325;0,005;8;10;6;;;;;;;;
16,25;0;0,325;0,005;8;10;8;;;;;;;;
16,25;0;0,325;0,005;8;10;10;;;;;;;;
18,6111;0;0,372222222;0,01;10;30;2;;;;;;;;
18,6111;0;0,372222222;0,01;10;30;4;;;;;;;;
18,6111;0;0,372222222;0,01;10;30;6;;;;;;;;
18,6111;0;0,372222222;0,01;10;30;8;;;;;;;;
18,6111;0;0,372222222;0,01;10;30;10;;;;;;;;
18,6111;0;0,372222222;0,01;10;40;2;;;;;;;;
18,6111;0;0,372222222;0,01;10;40;4;;;;;;;;
18,6111;0;0,372222222;0,01;10;40;6;;;;;;;;
18,6111;0;0,372222222;0,01;10;40;8;;;;;;;;
18,6111;0;0,372222222;0,01;10;40;10;;;;;;;;
18,6111;0;0,372222222;0,01;10;50;2;;;;;;;;
18,6111;0;0,372222222;0,01;10;50;4;;;;;;;;
18,6111;0;0,372222222;0,01;10;50;6;;;;;;;;
18,6111;0;0,372222222;0,01;10;50;8;;;;;;;;
18,6111;0;0,372222222;0,01;10;50;10;;;;;;;;
18,6111;0;0,372222222;0,01;10;60;2;;;;;;;;
18,6111;0;0,372222222;0,01;10;60;4;;;;;;;;
18,6111;0;0,372222222;0,01;10;60;6;;;;;;;;
18,6111;0;0,372222222;0,01;10;60;8;;;;;;;;
18,6111;0;0,372222222;0,01;10;60;10;;;;;;;;
18,8889;0;0,377777778;0,01;10;20;2;;;;;;;;
18,8889;0;0,377777778;0,01;10;20;4;;;;;;;;
18,8889;0;0,377777778;0,01;10;20;6;;;;;;;;
18,8889;0;0,377777778;0,01;10;20;8;;;;;;;;
18,8889;0;0,377777778;0,01;10;20;10;;;;;;;;
21,25;0;0,425;0,01;10;10;2;;;;;;;;
21,25;0;0,425;0,01;10;10;4;;;;;;;;
21,25;0;0,425;0,01;10;10;6;;;;;;;;
21,25;0;0,425;0,01;10;10;8;;;;;;;;
21,25;0;0,425;0,01;10;10;10;;;;;;;;
22,3611;0;0,447222222;0,005;6;30;2;;;;;;;;
22,3611;0;0,447222222;0,005;6;30;4;;;;;;;;
22,3611;0;0,447222222;0,005;6;30;6;;;;;;;;
22,3611;0;0,447222222;0,005;6;30;8;;;;;;;;
22,3611;0;0,447222222;0,005;6;30;10;;;;;;;;
22,3611;0;0,447222222;0,005;6;40;10;;;;;;;;
22,3611;0;0,447222222;0,005;6;50;10;;;;;;;;
22,3611;0;0,447222222;0,005;6;60;10;;;;;;;;
22,5;0;0,45;0,005;6;20;2;;;;;;;;
22,5;0;0,45;0,005;6;20;4;;;;;;;;
22,5;0;0,45;0,005;6;20;6;;;;;;;;
22,5;0;0,45;0,005;6;20;8;;;;;;;;
22,5;0;0,45;0,005;6;20;10;;;;;;;;
23,8889;0;0,477777778;0,005;6;10;2;;;;;;;;
23,8889;0;0,477777778;0,005;6;10;4;;;;;;;;
23,8889;0;0,477777778;0,005;6;10;6;;;;;;;;
23,8889;0;0,477777778;0,005;6;10;8;;;;;;;;
23,8889;0;0,477777778;0,005;6;10;10;;;;;;;;
24,1667;0;0,483333333;0,01;8;20;2;;;;;;;;
24,1667;0;0,483333333;0,01;8;20;4;;;;;;;;
24,1667;0;0,483333333;0,01;8;20;6;;;;;;;;
24,1667;0;0,483333333;0,01;8;20;8;;;;;;;;
24,1667;0;0,483333333;0,01;8;20;10;;;;;;;;
24,1667;0;0,483333333;0,01;8;30;2;;;;;;;;
24,1667;0;0,483333333;0,01;8;30;4;;;;;;;;
24,1667;0;0,483333333;0,01;8;30;6;;;;;;;;
24,1667;0;0,483333333;0,01;8;30;8;;;;;;;;
24,1667;0;0,483333333;0,01;8;30;10;;;;;;;;
24,1667;0;0,483333333;0,01;8;40;2;;;;;;;;
24,1667;0;0,483333333;0,01;8;40;4;;;;;;;;
24,1667;0;0,483333333;0,01;8;40;6;;;;;;;;
24,1667;0;0,483333333;0,01;8;40;8;;;;;;;;
24,1667;0;0,483333333;0,01;8;40;10;;;;;;;;
24,1667;0;0,483333333;0,01;8;50;2;;;;;;;;
24,1667;0;0,483333333;0,01;8;50;4;;;;;;;;
24,1667;0;0,483333333;0,01;8;50;6;;;;;;;;
24,1667;0;0,483333333;0,01;8;50;8;;;;;;;;
24,1667;0;0,483333333;0,01;8;50;10;;;;;;;;
24,1667;0;0,483333333;0,01;8;60;2;;;;;;;;
24,1667;0;0,483333333;0,01;8;60;4;;;;;;;;
24,1667;0;0,483333333;0,01;8;60;6;;;;;;;;
24,1667;0;0,483333333;0,01;8;60;8;;;;;;;;
24,1667;0;0,483333333;0,01;8;60;10;;;;;;;;
24,7222;0;0,494444444;0,015;10;20;2;;;;;;;;
24,7222;0;0,494444444;0,015;10;20;4;;;;;;;;
24,7222;0;0,494444444;0,015;10;20;6;;;;;;;;
24,7222;0;0,494444444;0,015;10;20;8;;;;;;;;
24,7222;0;0,494444444;0,015;10;20;10;;;;;;;;
24,7222;0;0,494444444;0,015;10;30;2;;;;;;;;
24,7222;0;0,494444444;0,015;10;30;4;;;;;;;;
24,7222;0;0,494444444;0,015;10;30;6;;;;;;;;
24,7222;0;0,494444444;0,015;10;30;8;;;;;;;;
24,7222;0;0,494444444;0,015;10;30;10;;;;;;;;
24,7222;0;0,494444444;0,015;10;40;2;;;;;;;;
24,7222;0;0,494444444;0,015;10;40;4;;;;;;;;
24,7222;0;0,494444444;0,015;10;40;6;;;;;;;;
24,7222;0;0,494444444;0,015;10;40;8;;;;;;;;
24,7222;0;0,494444444;0,015;10;40;10;;;;;;;;
24,7222;0;0,494444444;0,015;10;50;2;;;;;;;;
24,7222;0;0,494444444;0,015;10;50;4;;;;;;;;
24,7222;0;0,494444444;0,015;10;50;6;;;;;;;;
24,7222;0;0,494444444;0,015;10;50;8;;;;;;;;
24,7222;0;0,494444444;0,015;10;50;10;;;;;;;;
24,7222;0;0,494444444;0,015;10;60;2;;;;;;;;
24,7222;0;0,494444444;0,015;10;60;4;;;;;;;;
24,7222;0;0,494444444;0,015;10;60;6;;;;;;;;
24,7222;0;0,494444444;0,015;10;60;8;;;;;;;;
24,7222;0;0,494444444;0,015;10;60;10;;;;;;;;
26,1111;0;0,522222222;0,01;8;10;2;;;;;;;;
26,1111;0;0,522222222;0,01;8;10;4;;;;;;;;
26,1111;0;0,522222222;0,01;8;10;6;;;;;;;;
26,1111;0;0,522222222;0,01;8;10;8;;;;;;;;
26,1111;0;0,522222222;0,01;8;10;10;;;;;;;;
26,8056;0;0,536111111;0,015;10;10;2;;;;;;;;
26,8056;0;0,536111111;0,015;10;10;4;;;;;;;;
26,8056;0;0,536111111;0,015;10;10;6;;;;;;;;
26,8056;0;0,536111111;0,015;10;10;8;;;;;;;;
26,8056;0;0,536111111;0,015;10;10;10;;;;;;;;
28,6111;0;0,572222222;0,02;10;30;2;;;;;;;;
28,6111;0;0,572222222;0,02;10;30;4;;;;;;;;
28,6111;0;0,572222222;0,02;10;30;6;;;;;;;;
28,6111;0;0,572222222;0,02;10;30;8;;;;;;;;
28,6111;0;0,572222222;0,02;10;30;10;;;;;;;;
28,6111;0;0,572222222;0,02;10;40;2;;;;;;;;
28,6111;0;0,572222222;0,02;10;40;4;;;;;;;;
28,6111;0;0,572222222;0,02;10;40;6;;;;;;;;
28,6111;0;0,572222222;0,02;10;40;8;;;;;;;;
28,6111;0;0,572222222;0,02;10;40;10;;;;;;;;
28,6111;0;0,572222222;0,02;10;50;2;;;;;;;;
28,6111;0;0,572222222;0,02;10;50;4;;;;;;;;
28,6111;0;0,572222222;0,02;10;50;6;;;;;;;;
28,6111;0;0,572222222;0,02;10;50;8;;;;;;;;
28,6111;0;0,572222222;0,02;10;50;10;;;;;;;;
28,6111;0;0,572222222;0,02;10;60;2;;;;;;;;
28,6111;0;0,572222222;0,02;10;60;4;;;;;;;;
28,6111;0;0,572222222;0,02;10;60;6;;;;;;;;
28,6111;0;0,572222222;0,02;10;60;8;;;;;;;;
28,6111;0;0,572222222;0,02;10;60;10;;;;;;;;
28,75;0;0,575;0,02;10;20;2;;;;;;;;
28,75;0;0,575;0,02;10;20;4;;;;;;;;
28,75;0;0,575;0,02;10;20;6;;;;;;;;
28,75;0;0,575;0,02;10;20;8;;;;;;;;
28,75;0;0,575;0,02;10;20;10;;;;;;;;
28,8889;0;0,577777778;0,015;8;30;2;;;;;;;;
28,8889;0;0,577777778;0,015;8;30;4;;;;;;;;
28,8889;0;0,577777778;0,015;8;30;6;;;;;;;;
28,8889;0;0,577777778;0,015;8;30;8;;;;;;;;
28,8889;0;0,577777778;0,015;8;30;10;;;;;;;;
28,8889;0;0,577777778;0,015;8;40;2;;;;;;;;
28,8889;0;0,577777778;0,015;8;40;4;;;;;;;;
28,8889;0;0,577777778;0,015;8;40;6;;;;;;;;
28,8889;0;0,577777778;0,015;8;40;8;;;;;;;;
28,8889;0;0,577777778;0,015;8;40;10;;;;;;;;
28,8889;0;0,577777778;0,015;8;50;2;;;;;;;;
28,8889;0;0,577777778;0,015;8;50;4;;;;;;;;
28,8889;0;0,577777778;0,015;8;50;6;;;;;;;;
28,8889;0;0,577777778;0,015;8;50;8;;;;;;;;
28,8889;0;0,577777778;0,015;8;50;10;;;;;;;;
28,8889;0;0,577777778;0,015;8;60;2;;;;;;;;
28,8889;0;0,577777778;0,015;8;60;4;;;;;;;;
28,8889;0;0,577777778;0,015;8;60;6;;;;;;;;
28,8889;0;0,577777778;0,015;8;60;8;;;;;;;;
28,8889;0;0,577777778;0,015;8;60;10;;;;;;;;
29,0278;0;0,580555556;0,015;8;20;2;;;;;;;;
29,0278;0;0,580555556;0,015;8;20;4;;;;;;;;
29,0278;0;0,580555556;0,015;8;20;6;;;;;;;;
29,0278;0;0,580555556;0,015;8;20;8;;;;;;;;
29,0278;0;0,580555556;0,015;8;20;10;;;;;;;;
29,7222;0;0,594444444;0,01;6;20;2;;;;;;;;
29,7222;0;0,594444444;0,01;6;20;4;;;;;;;;
29,7222;0;0,594444444;0,01;6;20;6;;;;;;;;
29,7222;0;0,594444444;0,01;6;20;8;;;;;;;;
29,7222;0;0,594444444;0,01;6;20;10;;;;;;;;
29,7222;0;0,594444444;0,01;6;30;2;;;;;;;;
29,7222;0;0,594444444;0,01;6;30;4;;;;;;;;
29,7222;0;0,594444444;0,01;6;30;6;;;;;;;;
29,7222;0;0,594444444;0,01;6;30;8;;;;;;;;
29,7222;0;0,594444444;0,01;6;30;10;;;;;;;;
29,7222;0;0,594444444;0,01;6;40;2;;;;;;;;
29,7222;0;0,594444444;0,01;6;40;4;;;;;;;;
29,7222;0;0,594444444;0,01;6;40;6;;;;;;;;
29,7222;0;0,594444444;0,01;6;40;8;;;;;;;;
29,7222;0;0,594444444;0,01;6;40;10;;;;;;;;
29,7222;0;0,594444444;0,01;6;50;2;;;;;;;;
29,7222;0;0,594444444;0,01;6;50;4;;;;;;;;
29,7222;0;0,594444444;0,01;6;50;6;;;;;;;;
29,7222;0;0,594444444;0,01;6;50;8;;;;;;;;
29,7222;0;0,594444444;0,01;6;50;10;;;;;;;;
29,7222;0;0,594444444;0,01;6;60;2;;;;;;;;
29,7222;0;0,594444444;0,01;6;60;4;;;;;;;;
29,7222;0;0,594444444;0,01;6;60;6;;;;;;;;
29,7222;0;0,594444444;0,01;6;60;8;;;;;;;;
29,7222;0;0,594444444;0,01;6;60;10;;;;;;;;
30,8333;0;0,616666667;0,005;4;20;2;;;;;;;;
30,8333;0;0,616666667;0,005;4;20;4;;;;;;;;
30,8333;0;0,616666667;0,005;4;20;6;;;;;;;;
30,8333;0;0,616666667;0,005;4;20;8;;;;;;;;
30,8333;0;0,616666667;0,005;4;20;10;;;;;;;;
30,8333;0;0,616666667;0,005;4;30;2;;;;;;;;
30,8333;0;0,616666667;0,005;4;30;4;;;;;;;;
30,8333;0;0,616666667;0,005;4;30;6;;;;;;;;
30,8333;0;0,616666667;0,005;4;30;8;;;;;;;;
