EER;FMR;FNMR;THR;GDTHR;GAngTHR;;;;;;;
17,6389;0;0,352777778;0,2;8;10;;;;;;;
20,5556;0;0,411111111;0,4;8;20;;EER;FMR;FNMR;THR;GDTHR;GAngTHR
21,6667;0;0,433333333;0,5;8;30;;17,6389;0;0,352777778;0,2;8;10
21,9444;0;0,438888889;0,5;12;20;;;;;;;
22,5;0;0,45;0,2;6;10;;Matches;total;129600;;;
22,5;0;0,45;0,6;12;30;;2843;;;;;
24,8611;0;0,497222222;0,3;10;10;;;;;;;
25,1389;0;0,502777778;0,5;10;20;;0,021936728;;;;;
26,1111;0;0,522222222;0,3;4;20;;;;;;;
26,3889;0;0,527777778;0,6;10;30;;;;;;;
26,3889;0;0,527777778;0,6;8;40;;;;;;;
27,2222;0;0,544444444;0,3;8;10;;;;;;;
27,2222;0;0,544444444;0,4;6;20;;;;;;;
28,3333;0;0,566666667;0,2;4;10;;;;;;;
29,0278;0;0,580555556;0,5;6;30;;;;;;;
29,3056;0;0,586111111;0,5;8;20;;;;;;;
29,4444;0;0,588888889;0,4;12;10;;;;;;;
29,7222;0;0,594444444;0,4;4;30;;;;;;;
30,1389;0;0,602777778;0,6;12;20;;;;;;;
30,8333;0;0,616666667;0,6;6;50;;;;;;;
30,9722;0;0,619444444;0,6;8;30;;;;;;;
31,1111;0;0,622222222;0,3;6;10;;;;;;;
31,8056;0;0,636111111;0,4;10;10;;;;;;;
32,5;0;0,65;0,5;4;40;;;;;;;
32,5;0;0,65;0,6;10;20;;;;;;;
32,9167;0;0,658333333;0,5;6;20;;;;;;;
32,9167;0;0,658333333;0,6;6;40;;;;;;;
33,1944;0;0,663888889;0,4;4;20;;;;;;;
34,3056;0;0,686111111;0,6;8;20;;;;;;;
34,4444;0;0,688888889;0,4;8;10;;;;;;;
34,4444;0;0,688888889;0,5;4;30;;;;;;;
34,8611;0;0,697222222;0,6;6;30;;;;;;;
35;0;0,7;0,3;4;10;;;;;;;
35;0;0,7;0,5;12;10;;;;;;;
35,6944;0;0,713888889;0,4;6;10;;;;;;;
35,8333;0;0,716666667;0,6;4;60;;;;;;;
36,25;0;0,725;0,5;10;10;;;;;;;
36,25;0;0,725;0,6;4;50;;;;;;;
36,5278;0;0,730555556;0,5;4;20;;;;;;;
36,6667;0;0,733333333;0,6;4;40;;;;;;;
37,0833;0;0,741666667;0,6;6;20;;;;;;;
37,2222;0;0,744444444;0,5;8;10;;;;;;;
37,5;0;0,75;0,6;4;30;;;;;;;
37,6389;0;0,752777778;0,4;4;10;;;;;;;
38,1944;0;0,763888889;0,6;12;10;;;;;;;
38,3333;0;0,766666667;0,5;6;10;;;;;;;
38,3333;0;0,766666667;0,6;10;10;;;;;;;
38,3333;0;0,766666667;0,6;4;20;;;;;;;
38,6111;0;0,772222222;0,6;8;10;;;;;;;
38,75;0;0,775;0,5;4;10;;;;;;;
38,75;0;0,775;0,6;6;10;;;;;;;
38,8889;0;0,777777778;0,6;4;10;;;;;;;
22,7778;0,002777778;0,452777778;0,3;12;10;;;;;;;
24,7222;0,002777778;0,491666667;0,5;6;40;;;;;;;
31,25;0,002777778;0,622222222;0,5;4;50;;;;;;;
15,8333;0,005555556;0,311111111;0,4;10;20;;;;;;;
17,6389;0,008333333;0,344444444;0,3;6;20;;;;;;;
18,0556;0,011111111;0,35;0,4;6;30;;;;;;;
24,5833;0,011111111;0,480555556;0,4;4;40;;;;;;;
29,0278;0,011111111;0,569444444;0,5;4;60;;;;;;;
14,8611;0,013888889;0,283333333;0,2;10;10;;;;;;;
16,5278;0,016666667;0,313888889;0,5;10;30;;;;;;;
21,3889;0,016666667;0,411111111;0,6;10;40;;;;;;;
23,3333;0,016666667;0,45;0,6;8;50;;;;;;;
12,6389;0,019444444;0,233333333;0,4;12;20;;;;;;;
29,8611;0,022222222;0,575;0,6;6;60;;;;;;;
17,9167;0,027777778;0,330555556;0,6;12;40;;;;;;;
13,8889;0,033333333;0,244444444;0,2;12;10;;;;;;;
19,3056;0,033333333;0,352777778;0,3;4;30;;;;;;;
16,8056;0,036111111;0,3;0,1;4;10;;;;;;;
