EER;FMR;FNMR;THR;GDTHRGAngTHR;;;;;;;;;;
20,5556;0;0,411111111;30;8;30;;;;EER;FMR;FNMR;THR;GDTHR;GAngTHR
21,25;0;0,425;10;8;10;;;Maþiausias EER (FMR = 0);20,5556;0;0,411111111;30;8;30
22,0833;0;0,441666667;30;6;30;;;Maþiausias EER (FMR - bet koks);20,1389;0,002777778;0,4;20;4;30
23,0556;0;0,461111111;10;6;10;;;;;;;;;
23,1944;0;0,463888889;20;4;20;;;;;;;;;
23,4722;0;0,469444444;30;10;20;;;;;;;;;
24,0278;0;0,480555556;30;8;20;;;Matches;total;103680;;;;
24,1667;0;0,483333333;30;4;40;;;487;;;;;;
24,4444;0;0,488888889;10;4;10;;;;;;;;;
25,8333;0;0,516666667;40;10;30;;;average;0,004697145;;;;;
26,3889;0;0,527777778;20;10;10;;;;;;;;;
26,8056;0;0,536111111;30;6;20;;;;;;;;;
26,8056;0;0,536111111;30;4;30;;;;;;;;;
27,5;0;0,55;20;8;10;;;;;;;;;
28,0556;0;0,561111111;40;8;30;;;;;;;;;
28,1944;0;0,563888889;40;6;40;;;;;;;;;
29,3056;0;0,586111111;20;6;10;;;;;;;;;
30;0;0,6;50;8;60;;;;;;;;;
30,5556;0;0,611111111;40;10;20;;;;;;;;;
30,6944;0;0,613888889;40;6;30;;;;;;;;;
30,8333;0;0,616666667;50;10;40;;;;;;;;;
30,8333;0;0,616666667;50;8;50;;;;;;;;;
30,9722;0;0,619444444;30;4;20;;;;;;;;;
30,9722;0;0,619444444;40;4;50;;;;;;;;;
31,9444;0;0,638888889;40;8;20;;;;;;;;;
32,2222;0;0,644444444;50;6;60;;;;;;;;;
32,3611;0;0,647222222;50;8;40;;;;;;;;;
32,6389;0;0,652777778;40;4;40;;;;;;;;;
32,9167;0;0,658333333;50;10;30;;;;;;;;;
33,0556;0;0,661111111;20;4;10;;;;;;;;;
33,4722;0;0,669444444;40;6;20;;;;;;;;;
33,6111;0;0,672222222;50;6;50;;;;;;;;;
33,8889;0;0,677777778;50;8;30;;;;;;;;;
34,0278;0;0,680555556;40;4;30;;;;;;;;;
34,4444;0;0,688888889;60;10;60;;;;;;;;;
34,7222;0;0,694444444;30;10;10;;;;;;;;;
34,7222;0;0,694444444;50;6;40;;;;;;;;;
35,2778;0;0,705555556;30;8;10;;;;;;;;;
35,2778;0;0,705555556;60;10;50;;;;;;;;;
35,6944;0;0,713888889;50;10;20;;;;;;;;;
35,8333;0;0,716666667;60;8;60;;;;;;;;;
35,9722;0;0,719444444;30;6;10;;;;;;;;;
35,9722;0;0,719444444;40;4;20;;;;;;;;;
35,9722;0;0,719444444;50;6;30;;;;;;;;;
35,9722;0;0,719444444;50;4;60;;;;;;;;;
35,9722;0;0,719444444;60;8;50;;;;;;;;;
36,3889;0;0,727777778;50;8;20;;;;;;;;;
36,5278;0;0,730555556;50;4;50;;;;;;;;;
36,8056;0;0,736111111;60;10;40;;;;;;;;;
36,9444;0;0,738888889;30;4;10;;;;;;;;;
36,9444;0;0,738888889;60;10;30;;;;;;;;;
36,9444;0;0,738888889;60;8;40;;;;;;;;;
37,3611;0;0,747222222;40;10;10;;;;;;;;;
37,3611;0;0,747222222;60;6;60;;;;;;;;;
37,5;0;0,75;50;4;40;;;;;;;;;
37,5;0;0,75;60;8;30;;;;;;;;;
37,5;0;0,75;60;6;50;;;;;;;;;
37,6389;0;0,752777778;40;8;10;;;;;;;;;
37,6389;0;0,752777778;50;6;20;;;;;;;;;
37,9167;0;0,758333333;50;4;30;;;;;;;;;
37,9167;0;0,758333333;60;10;20;;;;;;;;;
37,9167;0;0,758333333;60;6;40;;;;;;;;;
38,0556;0;0,761111111;40;6;10;;;;;;;;;
38,3333;0;0,766666667;50;4;20;;;;;;;;;
38,3333;0;0,766666667;60;8;20;;;;;;;;;
38,3333;0;0,766666667;60;6;30;;;;;;;;;
38,4722;0;0,769444444;60;4;60;;;;;;;;;
38,6111;0;0,772222222;40;4;10;;;;;;;;;
38,6111;0;0,772222222;60;4;50;;;;;;;;;
38,75;0;0,775;50;6;10;;;;;;;;;
38,75;0;0,775;50;8;10;;;;;;;;;
38,75;0;0,775;50;10;10;;;;;;;;;
38,75;0;0,775;60;6;20;;;;;;;;;
38,75;0;0,775;60;4;40;;;;;;;;;
38,8889;0;0,777777778;50;4;10;;;;;;;;;
38,8889;0;0,777777778;60;4;10;;;;;;;;;
38,8889;0;0,777777778;60;6;10;;;;;;;;;
38,8889;0;0,777777778;60;8;10;;;;;;;;;
38,8889;0;0,777777778;60;10;10;;;;;;;;;
38,8889;0;0,777777778;60;4;20;;;;;;;;;
38,8889;0;0,777777778;60;4;30;;;;;;;;;
20,1389;0,002777778;0,4;20;4;30;;;;;;;;;
20,4167;0,002777778;0,405555556;30;6;40;;;;;;;;;
21,25;0,002777778;0,422222222;20;6;20;;;;;;;;;
23,0556;0,002777778;0,458333333;40;10;40;;;;;;;;;
23,1944;0,002777778;0,461111111;40;8;50;;;;;;;;;
24,5833;0,002777778;0,488888889;40;8;40;;;;;;;;;
26,6667;0,002777778;0,530555556;40;6;50;;;;;;;;;
29,3056;0,002777778;0,583333333;40;4;60;;;;;;;;;
29,3056;0,002777778;0,583333333;50;10;50;;;;;;;;;
