EER;FMR;FNMR;THR;GDTHR;GAngTHR;LDTHR;LAngTHR;MtiaCount;;;;;;;;;;;;
8,4722;0;0,169444444;0,04;12;30;8;30;4;;;;;;;;;;;;
8,4722;0;0,169444444;0,04;12;50;8;30;4;;;;EER;FMR;FNMR;THR;GDTHR;GAngTHR;LDTHR;LAngTHR;MtiaCount
9,0278;0;0,180555556;0,03;12;10;12;30;4;;;Maþiausias EER (FMR = 0);8,4722;0;0,169444444;0,04;12;30;8;30;4
9,3056;0;0,186111111;0,02;12;10;8;30;4;;;Maþiausias EER (FMR - bet koks);7,7778;0,002777778;0,152777778;0,02;8;30;8;30;4
9,5833;0;0,191666667;0,03;12;10;8;50;4;;;;;;;;;;;;
10,1389;0;0,202777778;0,04;8;30;12;30;4;;;Matches;total;524880;;;;;;;
10,1389;0;0,202777778;0,04;8;50;12;30;4;;;total;time;270;;;;;;;
10,2778;0;0,205555556;0,02;8;10;12;30;4;;;;;;;;;;;;
10,5556;0;0,211111111;0,03;12;10;8;30;4;;;avg time =;0,000514403;;;;;;;;
10,6944;0;0,213888889;0,02;8;10;8;50;4;;;;;;;;;;;;
10,6944;0;0,213888889;0,03;8;10;12;50;4;;;;;;;;;;;;
10,8333;0;0,216666667;0,04;12;10;12;30;4;;;;;;;;;;;;
10,9722;0;0,219444444;0,04;8;50;8;30;4;;;;;;;;;;;;
11,1111;0;0,222222222;0,02;8;10;8;30;4;;;;;;;;;;;;
11,1111;0;0,222222222;0,04;8;30;8;30;4;;;;;;;;;;;;
11,5278;0;0,230555556;0,04;12;30;12;30;8;;;;;;;;;;;;
11,5278;0;0,230555556;0,04;12;50;12;30;8;;;;;;;;;;;;
11,6667;0;0,233333333;0,04;12;10;8;50;4;;;;;;;;;;;;
12,3611;0;0,247222222;0,03;8;10;12;30;4;;;;;;;;;;;;
12,3611;0;0,247222222;0,04;12;10;8;30;4;;;;;;;;;;;;
12,6389;0;0,252777778;0,03;8;10;8;50;4;;;;;;;;;;;;
12,9167;0;0,258333333;0,03;8;50;12;50;8;;;;;;;;;;;;
13,0556;0;0,261111111;0,03;8;30;12;50;8;;;;;;;;;;;;
13,0556;0;0,261111111;0,04;12;30;8;30;8;;;;;;;;;;;;
13,0556;0;0,261111111;0,04;12;50;8;30;8;;;;;;;;;;;;
13,1944;0;0,263888889;0,04;8;10;12;50;4;;;;;;;;;;;;
13,3333;0;0,266666667;0,03;8;10;8;30;4;;;;;;;;;;;;
13,6111;0;0,272222222;0,04;8;50;12;50;8;;;;;;;;;;;;
13,75;0;0,275;0,04;8;30;12;50;8;;;;;;;;;;;;
14,1667;0;0,283333333;0,02;8;50;8;50;8;;;;;;;;;;;;
14,3056;0;0,286111111;0,02;8;30;8;50;8;;;;;;;;;;;;
14,3056;0;0,286111111;0,03;8;50;8;50;8;;;;;;;;;;;;
14,4444;0;0,288888889;0,02;12;30;4;30;4;;;;;;;;;;;;
14,4444;0;0,288888889;0,02;12;50;4;30;4;;;;;;;;;;;;
14,4444;0;0,288888889;0,03;8;30;8;50;8;;;;;;;;;;;;
14,7222;0;0,294444444;0,04;8;50;8;50;8;;;;;;;;;;;;
14,8611;0;0,297222222;0,04;8;30;8;50;8;;;;;;;;;;;;
15,1389;0;0,302777778;0,04;8;10;12;30;4;;;;;;;;;;;;
