EER;FMR;FNMR;THR;GDTHR;GAngTHR;LDTHR;LAngTHR;;;;;;;;;;;
13,1944;0;0,263888889;30;8;50;12;50;;;;;;;;;;;
13,6111;0;0,272222222;30;8;50;12;30;;;;;;;;;;;
14,0278;0;0,280555556;30;8;30;12;50;;;;;;;;;;;
14,5833;0;0,291666667;30;12;10;12;50;;;;EER;FMR;FNMR;THR;GDTHR;GAngTHR;LDTHR;LAngTHR
14,5833;0;0,291666667;30;8;30;12;30;;;FMR = 0;13,1944;0;0,263888889;30;8;50;12;50
15;0;0,3;30;8;50;8;50;;;FMR > 0;7,3611;0,002777778;0,144444444;30;12;30;12;30
15,2778;0;0,305555556;30;12;10;12;30;;;;;;;;;;;
15,4167;0;0,308333333;30;8;50;8;30;;;Matches;total;174960;;;;;;
15,6944;0;0,313888889;30;8;30;8;50;;;372;;;;;;;;
15,8333;0;0,316666667;30;12;10;8;50;;;;;;;;;;;
16,25;0;0,325;30;12;10;8;30;;;average match;0,0021262;;;;;;;
16,25;0;0,325;30;8;30;8;30;;;;;;;;;;;
20,1389;0;0,402777778;30;8;50;4;50;;;;;;;;;;;
20,8333;0;0,416666667;30;8;30;4;50;;;;;;;;;;;
20,8333;0;0,416666667;30;8;50;4;30;;;;;;;;;;;
20,9722;0;0,419444444;30;8;10;12;50;;;;;;;;;;;
21,25;0;0,425;30;8;10;12;30;;;;;;;;;;;
21,25;0;0,425;30;12;10;4;50;;;;;;;;;;;
21,25;0;0,425;50;12;50;12;50;;;;;;;;;;;
21,3889;0;0,427777778;30;8;30;4;30;;;;;;;;;;;
21,6667;0;0,433333333;30;8;10;8;50;;;;;;;;;;;
21,6667;0;0,433333333;50;12;50;12;30;;;;;;;;;;;
21,8056;0;0,436111111;30;12;10;4;30;;;;;;;;;;;
21,9444;0;0,438888889;30;8;10;8;30;;;;;;;;;;;
22,0833;0;0,441666667;50;12;30;12;50;;;;;;;;;;;
22,2222;0;0,444444444;50;12;50;8;50;;;;;;;;;;;
22,3611;0;0,447222222;50;12;30;12;30;;;;;;;;;;;
22,7778;0;0,455555556;30;12;30;12;10;;;;;;;;;;;
22,7778;0;0,455555556;30;12;50;12;10;;;;;;;;;;;
22,7778;0;0,455555556;50;12;50;8;30;;;;;;;;;;;
22,9167;0;0,458333333;50;12;30;8;50;;;;;;;;;;;
23,3333;0;0,466666667;30;12;30;8;10;;;;;;;;;;;
23,3333;0;0,466666667;30;12;50;8;10;;;;;;;;;;;
23,3333;0;0,466666667;50;12;30;8;30;;;;;;;;;;;
24,7222;0;0,494444444;30;8;10;4;50;;;;;;;;;;;
25,1389;0;0,502777778;10;4;30;12;10;;;;;;;;;;;
25,1389;0;0,502777778;10;4;50;12;10;;;;;;;;;;;
25,1389;0;0,502777778;30;8;10;4;30;;;;;;;;;;;
25,2778;0;0,505555556;10;4;30;8;10;;;;;;;;;;;
25,2778;0;0,505555556;10;4;50;8;10;;;;;;;;;;;
25,4167;0;0,508333333;30;8;50;12;10;;;;;;;;;;;
25,4167;0;0,508333333;50;12;50;4;50;;;;;;;;;;;
25,5556;0;0,511111111;30;12;10;12;10;;;;;;;;;;;
25,6944;0;0,513888889;30;8;50;8;10;;;;;;;;;;;
25,9722;0;0,519444444;30;8;30;12;10;;;;;;;;;;;
25,9722;0;0,519444444;50;12;30;4;50;;;;;;;;;;;
25,9722;0;0,519444444;50;12;50;4;30;;;;;;;;;;;
26,1111;0;0,522222222;30;12;10;8;10;;;;;;;;;;;
26,25;0;0,525;30;8;30;8;10;;;;;;;;;;;
26,3889;0;0,527777778;50;12;30;4;30;;;;;;;;;;;
26,5278;0;0,530555556;30;12;30;4;10;;;;;;;;;;;
26,5278;0;0,530555556;30;12;50;4;10;;;;;;;;;;;
26,6667;0;0,533333333;10;4;10;8;10;;;;;;;;;;;
26,6667;0;0,533333333;10;4;10;12;10;;;;;;;;;;;
28,1944;0;0,563888889;10;4;50;4;10;;;;;;;;;;;
28,3333;0;0,566666667;10;4;30;4;10;;;;;;;;;;;
28,3333;0;0,566666667;30;8;50;4;10;;;;;;;;;;;
28,6111;0;0,572222222;30;12;10;4;10;;;;;;;;;;;
28,75;0;0,575;10;4;10;4;10;;;;;;;;;;;
28,75;0;0,575;50;12;50;12;10;;;;;;;;;;;
28,8889;0;0,577777778;30;8;30;4;10;;;;;;;;;;;
29,1667;0;0,583333333;50;8;50;12;50;;;;;;;;;;;
29,3056;0;0,586111111;30;8;10;12;10;;;;;;;;;;;
29,3056;0;0,586111111;50;12;50;8;10;;;;;;;;;;;
29,4444;0;0,588888889;30;8;10;8;10;;;;;;;;;;;
29,4444;0;0,588888889;50;12;30;12;10;;;;;;;;;;;
29,4444;0;0,588888889;50;8;50;12;30;;;;;;;;;;;
29,5833;0;0,591666667;50;8;30;12;50;;;;;;;;;;;
29,7222;0;0,594444444;50;12;30;8;10;;;;;;;;;;;
29,7222;0;0,594444444;50;8;50;8;50;;;;;;;;;;;
30;0;0,6;50;8;30;8;50;;;;;;;;;;;
30;0;0,6;50;8;30;12;30;;;;;;;;;;;
30;0;0,6;50;8;50;8;30;;;;;;;;;;;
30,2778;0;0,605555556;50;8;30;8;30;;;;;;;;;;;
31,1111;0;0,622222222;50;12;50;4;10;;;;;;;;;;;
31,3889;0;0,627777778;30;8;10;4;10;;;;;;;;;;;
31,3889;0;0,627777778;50;12;30;4;10;;;;;;;;;;;
31,6667;0;0,633333333;30;4;50;8;50;;;;;;;;;;;
31,6667;0;0,633333333;50;8;50;4;50;;;;;;;;;;;
31,8056;0;0,636111111;30;4;30;8;50;;;;;;;;;;;
31,8056;0;0,636111111;30;4;50;8;30;;;;;;;;;;;
31,8056;0;0,636111111;30;4;50;12;30;;;;;;;;;;;
31,8056;0;0,636111111;30;4;50;12;50;;;;;;;;;;;
31,8056;0;0,636111111;50;8;30;4;50;;;;;;;;;;;
31,9444;0;0,638888889;30;4;30;8;30;;;;;;;;;;;
31,9444;0;0,638888889;30;4;30;12;30;;;;;;;;;;;
31,9444;0;0,638888889;30;4;30;12;50;;;;;;;;;;;
31,9444;0;0,638888889;50;8;50;4;30;;;;;;;;;;;
32,0833;0;0,641666667;50;8;30;4;30;;;;;;;;;;;
32,3611;0;0,647222222;50;12;10;12;30;;;;;;;;;;;
32,3611;0;0,647222222;50;12;10;12;50;;;;;;;;;;;
32,6389;0;0,652777778;50;12;10;8;30;;;;;;;;;;;
32,6389;0;0,652777778;50;12;10;8;50;;;;;;;;;;;
33,0556;0;0,661111111;30;4;50;4;50;;;;;;;;;;;
33,1944;0;0,663888889;30;4;30;4;50;;;;;;;;;;;
33,1944;0;0,663888889;30;4;50;4;30;;;;;;;;;;;
33,3333;0;0,666666667;30;4;30;4;30;;;;;;;;;;;
33,3333;0;0,666666667;50;12;10;4;30;;;;;;;;;;;
33,3333;0;0,666666667;50;12;10;4;50;;;;;;;;;;;
33,4722;0;0,669444444;50;8;50;12;10;;;;;;;;;;;
33,6111;0;0,672222222;50;8;30;12;10;;;;;;;;;;;
33,6111;0;0,672222222;50;8;50;8;10;;;;;;;;;;;
33,75;0;0,675;50;8;30;8;10;;;;;;;;;;;
34,5833;0;0,691666667;30;4;30;8;10;;;;;;;;;;;
34,5833;0;0,691666667;30;4;30;12;10;;;;;;;;;;;
34,5833;0;0,691666667;30;4;50;8;10;;;;;;;;;;;
34,5833;0;0,691666667;30;4;50;12;10;;;;;;;;;;;
34,7222;0;0,694444444;30;4;10;8;30;;;;;;;;;;;
34,7222;0;0,694444444;30;4;10;8;50;;;;;;;;;;;
34,7222;0;0,694444444;30;4;10;12;30;;;;;;;;;;;
34,7222;0;0,694444444;50;8;10;8;50;;;;;;;;;;;
34,7222;0;0,694444444;50;8;10;12;50;;;;;;;;;;;
34,7222;0;0,694444444;50;12;10;8;10;;;;;;;;;;;
34,7222;0;0,694444444;50;12;10;12;10;;;;;;;;;;;
34,8611;0;0,697222222;50;8;10;8;30;;;;;;;;;;;
34,8611;0;0,697222222;50;8;10;12;30;;;;;;;;;;;
34,8611;0;0,697222222;50;8;30;4;10;;;;;;;;;;;
34,8611;0;0,697222222;50;8;50;4;10;;;;;;;;;;;
35;0;0,7;30;4;10;12;50;;;;;;;;;;;
35,2778;0;0,705555556;30;4;10;4;30;;;;;;;;;;;
35,2778;0;0,705555556;30;4;10;4;50;;;;;;;;;;;
35,4167;0;0,708333333;30;4;30;4;10;;;;;;;;;;;
35,4167;0;0,708333333;30;4;50;4;10;;;;;;;;;;;
35,6944;0;0,713888889;50;12;10;4;10;;;;;;;;;;;
35,8333;0;0,716666667;30;4;10;8;10;;;;;;;;;;;
35,8333;0;0,716666667;30;4;10;12;10;;;;;;;;;;;
35,9722;0;0,719444444;50;8;10;4;30;;;;;;;;;;;
35,9722;0;0,719444444;50;8;10;4;50;;;;;;;;;;;
36,3889;0;0,727777778;50;8;10;8;10;;;;;;;;;;;
36,3889;0;0,727777778;50;8;10;12;10;;;;;;;;;;;
36,6667;0;0,733333333;30;4;10;4;10;;;;;;;;;;;
37,0833;0;0,741666667;50;8;10;4;10;;;;;;;;;;;
38,0556;0;0,761111111;50;4;30;8;30;;;;;;;;;;;
38,0556;0;0,761111111;50;4;50;8;30;;;;;;;;;;;
38,1944;0;0,763888889;50;4;30;4;30;;;;;;;;;;;
38,1944;0;0,763888889;50;4;30;4;50;;;;;;;;;;;
38,1944;0;0,763888889;50;4;30;8;10;;;;;;;;;;;
38,1944;0;0,763888889;50;4;30;8;50;;;;;;;;;;;
38,1944;0;0,763888889;50;4;30;12;10;;;;;;;;;;;
38,1944;0;0,763888889;50;4;30;12;30;;;;;;;;;;;
38,1944;0;0,763888889;50;4;30;12;50;;;;;;;;;;;
38,1944;0;0,763888889;50;4;50;4;30;;;;;;;;;;;
38,1944;0;0,763888889;50;4;50;4;50;;;;;;;;;;;
38,1944;0;0,763888889;50;4;50;8;10;;;;;;;;;;;
38,1944;0;0,763888889;50;4;50;8;50;;;;;;;;;;;
38,1944;0;0,763888889;50;4;50;12;10;;;;;;;;;;;
38,1944;0;0,763888889;50;4;50;12;30;;;;;;;;;;;
38,1944;0;0,763888889;50;4;50;12;50;;;;;;;;;;;
38,3333;0;0,766666667;50;4;30;4;10;;;;;;;;;;;
38,3333;0;0,766666667;50;4;50;4;10;;;;;;;;;;;
38,4722;0;0,769444444;50;4;10;4;30;;;;;;;;;;;
38,4722;0;0,769444444;50;4;10;4;50;;;;;;;;;;;
38,4722;0;0,769444444;50;4;10;8;30;;;;;;;;;;;
38,4722;0;0,769444444;50;4;10;8;50;;;;;;;;;;;
38,4722;0;0,769444444;50;4;10;12;30;;;;;;;;;;;
38,4722;0;0,769444444;50;4;10;12;50;;;;;;;;;;;
38,6111;0;0,772222222;50;4;10;4;10;;;;;;;;;;;
38,6111;0;0,772222222;50;4;10;8;10;;;;;;;;;;;
38,6111;0;0,772222222;50;4;10;12;10;;;;;;;;;;;
7,3611;0,002777778;0,144444444;30;12;30;12;30;;;;;;;;;;;
9,3056;0,002777778;0,183333333;30;12;30;8;30;;;;;;;;;;;
15,1389;0,002777778;0,3;30;12;30;4;50;;;;;;;;;;;
16,3889;0,002777778;0,325;30;12;30;4;30;;;;;;;;;;;
19,4444;0,002777778;0,386111111;10;4;10;4;50;;;;;;;;;;;
19,8611;0,002777778;0,394444444;10;4;10;4;30;;;;;;;;;;;
22,2222;0,002777778;0,441666667;10;8;10;12;10;;;;;;;;;;;
22,9167;0,002777778;0,455555556;10;8;10;8;10;;;;;;;;;;;
25,4167;0,002777778;0,505555556;10;12;30;4;10;;;;;;;;;;;
25,4167;0,002777778;0,505555556;10;8;50;4;10;;;;;;;;;;;
25,5556;0,002777778;0,508333333;10;12;10;4;10;;;;;;;;;;;
25,6944;0,002777778;0,511111111;10;8;30;4;10;;;;;;;;;;;
26,1111;0,002777778;0,519444444;10;8;10;4;10;;;;;;;;;;;
8,3333;0,005555556;0,161111111;30;12;30;8;50;;;;;;;;;;;
12,6389;0,005555556;0,247222222;10;4;10;12;50;;;;;;;;;;;
13,3333;0,005555556;0,261111111;10;4;10;12;30;;;;;;;;;;;
14,3056;0,005555556;0,280555556;10;4;10;8;30;;;;;;;;;;;
