GATHR;EER;FMR;FNMR
TRESHOLD;24;;
0;38,8889;0;0,777777778
3;38,75;0;0,775
6;27,7778;0;0,555555556
9;19,4444;0;0,388888889
12;13,1944;0;0,263888889
15;10,9722;0;0,219444444
18;9,1667;0;0,183333333
21;8,4722;0;0,169444444
24;8,6111;0,008333333;0,163888889
27;8,8889;0,019444444;0,158333333
30;8,8889;0,027777778;0,15
33;9,4444;0,047222222;0,141666667
36;10;0,061111111;0,138888889
39;10,9722;0,083333333;0,136111111
42;11,8056;0,102777778;0,133333333
45;12,2222;0,136111111;0,108333333
48;13,6111;0,163888889;0,108333333
51;15;0,194444444;0,105555556
54;15,4167;0,208333333;0,1
57;16,6667;0,238888889;0,094444444
60;18,6111;0,277777778;0,094444444
63;20,2778;0,316666667;0,088888889
66;23,4722;0,388888889;0,080555556
69;24,8611;0,422222222;0,075
72;26,25;0,458333333;0,066666667
75;27,7778;0,491666667;0,063888889
78;28,6111;0,513888889;0,058333333
81;30,1389;0,544444444;0,058333333
84;33,0556;0,605555556;0,055555556
87;35,1389;0,65;0,052777778
