GATHR;EER;FMR;FNMR
TRESHOLD;12;;
0;38,8889;0;0,777777778
3;28,6111;0;0,572222222
6;14,8611;0;0,297222222
9;12,2222;0,002777778;0,241666667
12;10;0,005555556;0,194444444
15;9,1667;0,008333333;0,175
18;8,0556;0,011111111;0,15
21;7,5;0,013888889;0,136111111
24;8,1944;0,030555556;0,133333333
27;7,9167;0,038888889;0,119444444
30;8,0556;0,044444444;0,116666667
33;8,8889;0,058333333;0,119444444
36;9,5833;0,080555556;0,111111111
39;9,3056;0,086111111;0,1
42;10,8333;0,113888889;0,102777778
45;11,5278;0,133333333;0,097222222
48;12,6389;0,158333333;0,094444444
51;13,4722;0,180555556;0,088888889
54;14,0278;0,194444444;0,086111111
57;14,7222;0,211111111;0,083333333
60;16,25;0,241666667;0,083333333
63;16,9444;0,258333333;0,080555556
66;18,3333;0,283333333;0,083333333
69;19,8611;0,319444444;0,077777778
72;21,5278;0,35;0,080555556
75;22,9167;0,377777778;0,080555556
78;23,4722;0,394444444;0,075
81;24,4444;0,419444444;0,069444444
84;24,4444;0,422222222;0,066666667
87;25,6944;0,45;0,063888889
