EER;FMR;FNMR;THR;GDTHR;GAngTHR;;;;;;;;
25,2778;0;0,505555556;0,6;10;40;;;;;;;;
25,4167;0;0,508333333;0,5;12;20;;;;;;;;
25,5556;0;0,511111111;0,4;8;20;;;EER;FMR;FNMR;THR;GDTHR;GAngTHR
25,6944;0;0,513888889;0,5;8;30;;;25,2778;0;0,505555556;0,6;10;40
25,9722;0;0,519444444;0,6;12;30;;;;;;;;
26,1111;0;0,522222222;0,3;12;10;;;;;;;;
26,5278;0;0,530555556;0,2;6;10;;;Matches;total;129600;;;
26,8056;0;0,536111111;0,3;10;10;;;1807;;;;;
26,8056;0;0,536111111;0,5;10;20;;;;;;;;
27,2222;0;0,544444444;0,4;6;20;;;;0,013942901;;;;
27,3611;0;0,547222222;0,6;10;30;;;;;;;;
27,6389;0;0,552777778;0,3;4;20;;;;;;;;
27,7778;0;0,555555556;0,6;8;40;;;;;;;;
27,9167;0;0,558333333;0,3;8;10;;;;;;;;
27,9167;0;0,558333333;0,5;6;30;;;;;;;;
28,0556;0;0,561111111;0,5;8;20;;;;;;;;
28,3333;0;0,566666667;0,2;4;10;;;;;;;;
28,6111;0;0,572222222;0,6;12;20;;;;;;;;
28,75;0;0,575;0,6;8;30;;;;;;;;
29,1667;0;0,583333333;0,4;12;10;;;;;;;;
29,5833;0;0,591666667;0,3;6;10;;;;;;;;
29,5833;0;0,591666667;0,4;10;10;;;;;;;;
29,5833;0;0,591666667;0,6;10;20;;;;;;;;
30;0;0,6;0,5;6;20;;;;;;;;
30,4167;0;0,608333333;0,6;6;40;;;;;;;;
30,5556;0;0,611111111;0,4;4;20;;;;;;;;
30,8333;0;0,616666667;0,6;8;20;;;;;;;;
30,9722;0;0,619444444;0,4;8;10;;;;;;;;
31,5278;0;0,630555556;0,6;6;30;;;;;;;;
32,0833;0;0,641666667;0,5;4;30;;;;;;;;
32,5;0;0,65;0,3;4;10;;;;;;;;
32,5;0;0,65;0,5;12;10;;;;;;;;
32,6389;0;0,652777778;0,4;6;10;;;;;;;;
32,7778;0;0,655555556;0,6;6;20;;;;;;;;
