GDTHR;EER;FMR;FNMR
TRESHOLD;24;GlobAngThr;33
0;38,8889;0;0,777777778
1;37,3611;0;0,747222222
2;31,1111;0;0,622222222
3;25,2778;0;0,505555556
4;22,9167;0,005555556;0,452777778
5;21,1111;0,011111111;0,411111111
6;20,1389;0,016666667;0,386111111
7;19,5833;0,016666667;0,375
8;19,3056;0,027777778;0,358333333
9;20,2778;0,052777778;0,352777778
10;19,8611;0,055555556;0,341666667
11;19,4444;0,058333333;0,330555556
12;19,7222;0,069444444;0,325
13;20,2778;0,088888889;0,316666667
14;20,4167;0,091666667;0,316666667
15;20,2778;0,091666667;0,313888889
16;20;0,094444444;0,305555556
17;20,2778;0,102777778;0,302777778
18;20,5556;0,113888889;0,297222222
19;21,1111;0,125;0,297222222
