EER;FMR;FNMR;THR;GDTHR;GAngTHR;;;;;;;;;;
22,5;0;0,45;20;8;30;;;;;;;;;;
23,4722;0;0,469444444;20;10;20;;;;;EER;FMR;FNMR;THR;GDTHR;GAngTHR
23,8889;0;0,477777778;20;8;20;;;;Maþiausias EER (FMR = 0);22,5;0;0,45;20;8;30
24,4444;0;0,488888889;20;6;30;;;;Maþiausias EER (FMR - bet koks);25,1389;0,002777778;0,5;20;4;40
24,7222;0;0,494444444;20;6;20;;;;;;;;;;
25,4167;0;0,508333333;20;4;30;;;;Matches;total;103680;;;;
26,5278;0;0,530555556;20;4;20;;;;;;271;;;;
27,3611;0;0,547222222;30;8;50;;;;;;;;;;
27,6389;0;0,552777778;30;10;40;;;;avg time =;0,002613812;;;;;
28,1944;0;0,563888889;30;10;30;;;;;;;;;;
28,1944;0;0,563888889;30;8;40;;;;;;;;;;
28,4722;0;0,569444444;30;8;30;;;;;;;;;;
28,4722;0;0,569444444;30;6;60;;;;;;;;;;
28,8889;0;0,577777778;30;6;50;;;;;;;;;;
29,1667;0;0,583333333;20;10;10;;;;;;;;;;
29,1667;0;0,583333333;30;6;40;;;;;;;;;;
29,3056;0;0,586111111;30;10;20;;;;;;;;;;
29,8611;0;0,597222222;20;8;10;;;;;;;;;;
29,8611;0;0,597222222;30;6;30;;;;;;;;;;
30,1389;0;0,602777778;30;8;20;;;;;;;;;;
30,4167;0;0,608333333;30;4;60;;;;;;;;;;
30,5556;0;0,611111111;30;4;50;;;;;;;;;;
30,6944;0;0,613888889;20;6;10;;;;;;;;;;
30,9722;0;0,619444444;30;4;40;;;;;;;;;;
31,25;0;0,625;40;10;60;;;;;;;;;;
31,3889;0;0,627777778;30;6;20;;;;;;;;;;
31,6667;0;0,633333333;30;4;30;;;;;;;;;;
31,6667;0;0,633333333;40;10;50;;;;;;;;;;
31,8056;0;0,636111111;20;4;10;;;;;;;;;;
32,2222;0;0,644444444;40;8;60;;;;;;;;;;
32,5;0;0,65;40;10;40;;;;;;;;;;
32,6389;0;0,652777778;40;8;50;;;;;;;;;;
33,3333;0;0,666666667;30;4;20;;;;;;;;;;
33,3333;0;0,666666667;40;10;30;;;;;;;;;;
33,4722;0;0,669444444;40;8;40;;;;;;;;;;
33,6111;0;0,672222222;40;6;60;;;;;;;;;;
33,75;0;0,675;40;6;50;;;;;;;;;;
34,0278;0;0,680555556;30;10;10;;;;;;;;;;
34,0278;0;0,680555556;40;8;30;;;;;;;;;;
34,0278;0;0,680555556;40;6;40;;;;;;;;;;
34,3056;0;0,686111111;30;8;10;;;;;;;;;;
34,4444;0;0,688888889;40;10;20;;;;;;;;;;
34,5833;0;0,691666667;40;6;30;;;;;;;;;;
34,7222;0;0,694444444;30;6;10;;;;;;;;;;
34,7222;0;0,694444444;40;8;20;;;;;;;;;;
34,8611;0;0,697222222;40;6;20;;;;;;;;;;
35,1389;0;0,702777778;40;4;50;;;;;;;;;;
35,1389;0;0,702777778;40;4;60;;;;;;;;;;
35,4167;0;0,708333333;40;4;40;;;;;;;;;;
35,5556;0;0,711111111;40;4;30;;;;;;;;;;
35,5556;0;0,711111111;50;10;50;;;;;;;;;;
35,5556;0;0,711111111;50;10;60;;;;;;;;;;
35,6944;0;0,713888889;50;8;40;;;;;;;;;;
35,6944;0;0,713888889;50;10;40;;;;;;;;;;
35,6944;0;0,713888889;50;8;50;;;;;;;;;;
35,6944;0;0,713888889;50;8;60;;;;;;;;;;
35,9722;0;0,719444444;30;4;10;;;;;;;;;;
35,9722;0;0,719444444;40;4;20;;;;;;;;;;
35,9722;0;0,719444444;50;10;30;;;;;;;;;;
36,1111;0;0,722222222;50;8;30;;;;;;;;;;
36,1111;0;0,722222222;50;6;60;;;;;;;;;;
36,25;0;0,725;50;6;40;;;;;;;;;;
36,25;0;0,725;50;6;50;;;;;;;;;;
36,3889;0;0,727777778;50;6;30;;;;;;;;;;
37,2222;0;0,744444444;50;6;20;;;;;;;;;;
37,2222;0;0,744444444;50;8;20;;;;;;;;;;
37,2222;0;0,744444444;50;10;20;;;;;;;;;;
37,3611;0;0,747222222;40;6;10;;;;;;;;;;
37,3611;0;0,747222222;40;8;10;;;;;;;;;;
37,3611;0;0,747222222;40;10;10;;;;;;;;;;
37,7778;0;0,755555556;40;4;10;;;;;;;;;;
37,7778;0;0,755555556;50;4;30;;;;;;;;;;
37,7778;0;0,755555556;50;4;40;;;;;;;;;;
37,7778;0;0,755555556;50;4;50;;;;;;;;;;
37,7778;0;0,755555556;50;4;60;;;;;;;;;;
37,9167;0;0,758333333;60;10;60;;;;;;;;;;
38,1944;0;0,763888889;60;10;50;;;;;;;;;;
38,1944;0;0,763888889;60;8;60;;;;;;;;;;
38,3333;0;0,766666667;50;4;20;;;;;;;;;;
38,3333;0;0,766666667;60;6;40;;;;;;;;;;
38,3333;0;0,766666667;60;8;40;;;;;;;;;;
