EER;FMR;FNMR;THR;GDTHR;GAngTHRLDTHR;LAngTHR;;;;;;;;;;;;;
16,9444;0;0,338888889;30;12;30;8;30;;;;;;;;;;;;
19,7222;0;0,394444444;30;8;50;12;50;;;;;;;;;;;;
20,5556;0;0,411111111;30;8;30;12;50;;;;;;;;;;;;
20,6944;0;0,413888889;30;12;10;12;50;;;;;EER;FMR;FNMR;THR;GDTHR;GAngTHR;LDTHR;LAngTHR
20,6944;0;0,413888889;30;8;50;12;30;;;;FMR = 0;16,9444;0;0,338888889;30;12;30;8;30
20,9722;0;0,419444444;30;12;10;12;30;;;;FMR > 0;15,1389;0,002777778;0,3;30;12;30;8;50
21,25;0;0,425;30;8;30;12;30;;;;;;;;;;;;
21,3889;0;0,427777778;30;8;50;8;50;;;;Matches;total;174960;;;;;;
21,6667;0;0,433333333;30;12;10;8;50;;;;275;;;;;;;;
21,8056;0;0,436111111;30;8;30;8;50;;;;;;;;;;;;
21,9444;0;0,438888889;30;12;10;8;30;;;;average match;0,001571788;;;;;;;
22,0833;0;0,441666667;30;8;50;8;30;;;;;;;;;;;;
22,5;0;0,45;30;8;30;8;30;;;;;;;;;;;;
23,1944;0;0,463888889;30;12;30;4;50;;;;;;;;;;;;
23,75;0;0,475;30;12;30;4;30;;;;;;;;;;;;
25,4167;0;0,508333333;50;12;50;12;50;;;;;;;;;;;;
25,6944;0;0,513888889;50;12;50;12;30;;;;;;;;;;;;
26,1111;0;0,522222222;50;12;30;12;50;;;;;;;;;;;;
26,25;0;0,525;30;8;10;12;50;;;;;;;;;;;;
26,25;0;0,525;30;8;50;4;50;;;;;;;;;;;;
26,25;0;0,525;50;12;50;8;50;;;;;;;;;;;;
26,3889;0;0,527777778;30;8;10;12;30;;;;;;;;;;;;
26,3889;0;0,527777778;50;12;30;12;30;;;;;;;;;;;;
26,5278;0;0,530555556;50;12;50;8;30;;;;;;;;;;;;
26,6667;0;0,533333333;30;8;30;4;50;;;;;;;;;;;;
26,6667;0;0,533333333;30;8;50;4;30;;;;;;;;;;;;
26,8056;0;0,536111111;30;12;10;4;50;;;;;;;;;;;;
26,9444;0;0,538888889;50;12;30;8;50;;;;;;;;;;;;
27,0833;0;0,541666667;30;8;10;8;50;;;;;;;;;;;;
27,0833;0;0,541666667;30;12;10;4;30;;;;;;;;;;;;
27,0833;0;0,541666667;30;8;30;4;30;;;;;;;;;;;;
27,2222;0;0,544444444;30;8;10;8;30;;;;;;;;;;;;
27,2222;0;0,544444444;50;12;30;8;30;;;;;;;;;;;;
27,7778;0;0,555555556;10;8;50;8;10;;;;;;;;;;;;
28,0556;0;0,561111111;10;12;10;8;10;;;;;;;;;;;;
28,0556;0;0,561111111;10;8;30;8;10;;;;;;;;;;;;
28,4722;0;0,569444444;10;8;10;8;10;;;;;;;;;;;;
29,0278;0;0,580555556;30;12;50;12;10;;;;;;;;;;;;
29,1667;0;0,583333333;30;12;30;12;10;;;;;;;;;;;;
29,3056;0;0,586111111;30;12;50;8;10;;;;;;;;;;;;
29,4444;0;0,588888889;30;12;30;8;10;;;;;;;;;;;;
29,5833;0;0,591666667;50;12;50;4;50;;;;;;;;;;;;
29,7222;0;0,594444444;50;12;30;4;50;;;;;;;;;;;;
29,7222;0;0,594444444;50;12;50;4;30;;;;;;;;;;;;
29,8611;0;0,597222222;10;4;30;12;10;;;;;;;;;;;;
29,8611;0;0,597222222;10;4;50;12;10;;;;;;;;;;;;
29,8611;0;0,597222222;30;8;10;4;30;;;;;;;;;;;;
29,8611;0;0,597222222;30;8;10;4;50;;;;;;;;;;;;
29,8611;0;0,597222222;50;12;30;4;30;;;;;;;;;;;;
30;0;0,6;10;4;30;8;10;;;;;;;;;;;;
30;0;0,6;10;4;50;8;10;;;;;;;;;;;;
30,4167;0;0,608333333;30;12;10;12;10;;;;;;;;;;;;
30,4167;0;0,608333333;50;8;50;12;50;;;;;;;;;;;;
30,5556;0;0,611111111;30;12;10;8;10;;;;;;;;;;;;
30,5556;0;0,611111111;30;8;30;8;10;;;;;;;;;;;;
30,5556;0;0,611111111;30;8;30;12;10;;;;;;;;;;;;
30,5556;0;0,611111111;30;8;50;8;10;;;;;;;;;;;;
30,5556;0;0,611111111;30;8;50;12;10;;;;;;;;;;;;
30,5556;0;0,611111111;50;8;50;8;50;;;;;;;;;;;;
30,8333;0;0,616666667;10;4;10;8;10;;;;;;;;;;;;
30,8333;0;0,616666667;10;4;10;12;10;;;;;;;;;;;;
30,8333;0;0,616666667;50;8;30;12;50;;;;;;;;;;;;
30,8333;0;0,616666667;50;8;50;12;30;;;;;;;;;;;;
30,9722;0;0,619444444;50;8;30;8;50;;;;;;;;;;;;
30,9722;0;0,619444444;50;8;50;8;30;;;;;;;;;;;;
31,1111;0;0,622222222;10;8;50;4;10;;;;;;;;;;;;
31,25;0;0,625;10;8;30;4;10;;;;;;;;;;;;
31,25;0;0,625;50;8;30;12;30;;;;;;;;;;;;
31,3889;0;0,627777778;10;12;10;4;10;;;;;;;;;;;;
31,3889;0;0,627777778;50;8;30;8;30;;;;;;;;;;;;
31,8056;0;0,636111111;10;8;10;4;10;;;;;;;;;;;;
31,9444;0;0,638888889;30;12;30;4;10;;;;;;;;;;;;
31,9444;0;0,638888889;30;12;50;4;10;;;;;;;;;;;;
32,0833;0;0,641666667;30;4;50;12;50;;;;;;;;;;;;
32,2222;0;0,644444444;30;4;30;12;30;;;;;;;;;;;;
32,2222;0;0,644444444;30;4;30;12;50;;;;;;;;;;;;
32,2222;0;0,644444444;30;4;50;8;50;;;;;;;;;;;;
32,2222;0;0,644444444;30;4;50;12;30;;;;;;;;;;;;
32,3611;0;0,647222222;10;4;30;4;10;;;;;;;;;;;;
32,3611;0;0,647222222;10;4;50;4;10;;;;;;;;;;;;
32,3611;0;0,647222222;30;4;30;8;30;;;;;;;;;;;;
32,3611;0;0,647222222;30;4;30;8;50;;;;;;;;;;;;
32,3611;0;0,647222222;30;4;50;8;30;;;;;;;;;;;;
32,6389;0;0,652777778;30;12;10;4;10;;;;;;;;;;;;
32,6389;0;0,652777778;50;8;50;4;30;;;;;;;;;;;;
32,6389;0;0,652777778;50;8;50;4;50;;;;;;;;;;;;
32,9167;0;0,658333333;30;8;10;8;10;;;;;;;;;;;;
32,9167;0;0,658333333;30;8;10;12;10;;;;;;;;;;;;
32,9167;0;0,658333333;30;8;30;4;10;;;;;;;;;;;;
32,9167;0;0,658333333;30;8;50;4;10;;;;;;;;;;;;
32,9167;0;0,658333333;50;12;50;8;10;;;;;;;;;;;;
32,9167;0;0,658333333;50;12;50;12;10;;;;;;;;;;;;
33,0556;0;0,661111111;10;4;10;4;10;;;;;;;;;;;;
33,0556;0;0,661111111;50;8;30;4;30;;;;;;;;;;;;
33,0556;0;0,661111111;50;8;30;4;50;;;;;;;;;;;;
33,1944;0;0,663888889;50;12;30;12;10;;;;;;;;;;;;
33,3333;0;0,666666667;50;12;30;8;10;;;;;;;;;;;;
33,75;0;0,675;30;4;30;4;30;;;;;;;;;;;;
33,75;0;0,675;30;4;30;4;50;;;;;;;;;;;;
33,75;0;0,675;30;4;50;4;30;;;;;;;;;;;;
33,75;0;0,675;30;4;50;4;50;;;;;;;;;;;;
34,3056;0;0,686111111;50;12;50;4;10;;;;;;;;;;;;
34,4444;0;0,688888889;30;8;10;4;10;;;;;;;;;;;;
34,4444;0;0,688888889;50;12;30;4;10;;;;;;;;;;;;
34,8611;0;0,697222222;50;12;10;8;50;;;;;;;;;;;;
34,8611;0;0,697222222;50;12;10;12;50;;;;;;;;;;;;
35;0;0,7;50;12;10;8;30;;;;;;;;;;;;
35;0;0,7;50;12;10;12;30;;;;;;;;;;;;
35,1389;0;0,702777778;30;4;10;8;30;;;;;;;;;;;;
35,1389;0;0,702777778;30;4;10;8;50;;;;;;;;;;;;
35,1389;0;0,702777778;30;4;10;12;30;;;;;;;;;;;;
35,1389;0;0,702777778;30;4;10;12;50;;;;;;;;;;;;
35,2778;0;0,705555556;50;8;30;8;10;;;;;;;;;;;;
35,2778;0;0,705555556;50;8;30;12;10;;;;;;;;;;;;
35,2778;0;0,705555556;50;8;50;8;10;;;;;;;;;;;;
35,2778;0;0,705555556;50;8;50;12;10;;;;;;;;;;;;
35,5556;0;0,711111111;30;4;30;8;10;;;;;;;;;;;;
35,5556;0;0,711111111;30;4;30;12;10;;;;;;;;;;;;
35,5556;0;0,711111111;30;4;50;8;10;;;;;;;;;;;;
35,5556;0;0,711111111;30;4;50;12;10;;;;;;;;;;;;
35,5556;0;0,711111111;50;12;10;4;50;;;;;;;;;;;;
35,6944;0;0,713888889;50;12;10;4;30;;;;;;;;;;;;
35,9722;0;0,719444444;50;8;10;12;30;;;;;;;;;;;;
35,9722;0;0,719444444;50;8;10;12;50;;;;;;;;;;;;
36,1111;0;0,722222222;30;4;10;4;30;;;;;;;;;;;;
36,1111;0;0,722222222;30;4;10;4;50;;;;;;;;;;;;
36,1111;0;0,722222222;50;8;10;8;30;;;;;;;;;;;;
36,1111;0;0,722222222;50;8;10;8;50;;;;;;;;;;;;
36,25;0;0,725;50;8;30;4;10;;;;;;;;;;;;
36,25;0;0,725;50;8;50;4;10;;;;;;;;;;;;
36,3889;0;0,727777778;30;4;30;4;10;;;;;;;;;;;;
36,3889;0;0,727777778;30;4;50;4;10;;;;;;;;;;;;
36,8056;0;0,736111111;50;8;10;4;30;;;;;;;;;;;;
36,8056;0;0,736111111;50;8;10;4;50;;;;;;;;;;;;
36,8056;0;0,736111111;50;12;10;8;10;;;;;;;;;;;;
36,8056;0;0,736111111;50;12;10;12;10;;;;;;;;;;;;
37,0833;0;0,741666667;30;4;10;8;10;;;;;;;;;;;;
37,0833;0;0,741666667;30;4;10;12;10;;;;;;;;;;;;
37,2222;0;0,744444444;50;12;10;4;10;;;;;;;;;;;;
37,6389;0;0,752777778;50;8;10;12;10;;;;;;;;;;;;
37,7778;0;0,755555556;30;4;10;4;10;;;;;;;;;;;;
37,7778;0;0,755555556;50;8;10;8;10;;;;;;;;;;;;
37,9167;0;0,758333333;50;4;30;8;30;;;;;;;;;;;;
37,9167;0;0,758333333;50;4;30;8;50;;;;;;;;;;;;
37,9167;0;0,758333333;50;4;30;12;30;;;;;;;;;;;;
37,9167;0;0,758333333;50;4;30;12;50;;;;;;;;;;;;
37,9167;0;0,758333333;50;4;50;8;30;;;;;;;;;;;;
37,9167;0;0,758333333;50;4;50;8;50;;;;;;;;;;;;
37,9167;0;0,758333333;50;4;50;12;30;;;;;;;;;;;;
37,9167;0;0,758333333;50;4;50;12;50;;;;;;;;;;;;
38,0556;0;0,761111111;50;8;10;4;10;;;;;;;;;;;;
38,0556;0;0,761111111;50;4;30;4;30;;;;;;;;;;;;
38,0556;0;0,761111111;50;4;30;4;50;;;;;;;;;;;;
38,0556;0;0,761111111;50;4;50;4;30;;;;;;;;;;;;
38,0556;0;0,761111111;50;4;50;4;50;;;;;;;;;;;;
38,3333;0;0,766666667;50;4;30;8;10;;;;;;;;;;;;
38,3333;0;0,766666667;50;4;30;12;10;;;;;;;;;;;;
38,3333;0;0,766666667;50;4;50;8;10;;;;;;;;;;;;
38,3333;0;0,766666667;50;4;50;12;10;;;;;;;;;;;;
38,4722;0;0,769444444;50;4;30;4;10;;;;;;;;;;;;
38,4722;0;0,769444444;50;4;50;4;10;;;;;;;;;;;;
38,6111;0;0,772222222;50;4;10;4;30;;;;;;;;;;;;
38,6111;0;0,772222222;50;4;10;4;50;;;;;;;;;;;;
38,6111;0;0,772222222;50;4;10;8;30;;;;;;;;;;;;
38,6111;0;0,772222222;50;4;10;8;50;;;;;;;;;;;;
38,6111;0;0,772222222;50;4;10;12;30;;;;;;;;;;;;
38,6111;0;0,772222222;50;4;10;12;50;;;;;;;;;;;;
38,75;0;0,775;50;4;10;4;10;;;;;;;;;;;;
38,75;0;0,775;50;4;10;8;10;;;;;;;;;;;;
38,75;0;0,775;50;4;10;12;10;;;;;;;;;;;;
15,1389;0,002777778;0,3;30;12;30;8;50;;;;;;;;;;;;
22,2222;0,002777778;0,441666667;30;12;50;4;50;;;;;;;;;;;;
23,0556;0,002777778;0,458333333;30;12;50;4;30;;;;;;;;;;;;
27,5;0,002777778;0,547222222;10;8;50;12;10;;;;;;;;;;;;
27,7778;0,002777778;0,552777778;10;12;10;12;10;;;;;;;;;;;;
27,7778;0,002777778;0,552777778;10;8;30;12;10;;;;;;;;;;;;
28,1944;0,002777778;0,561111111;10;8;10;12;10;;;;;;;;;;;;
16,1111;0,005555556;0,316666667;30;12;30;12;30;;;;;;;;;;;;
16,25;0,005555556;0,319444444;30;12;50;8;30;;;;;;;;;;;;
31,25;0,005555556;0,619444444;10;12;30;4;10;;;;;;;;;;;;
31,25;0,005555556;0,619444444;10;12;50;4;10;;;;;;;;;;;;
23,3333;0,008333333;0,458333333;10;8;10;4;30;;;;;;;;;;;;
26,6667;0,008333333;0,525;10;4;10;4;50;;;;;;;;;;;;
27,2222;0,008333333;0,536111111;10;4;10;4;30;;;;;;;;;;;;
14,3056;0,011111111;0,275;30;12;30;12;50;;;;;;;;;;;;
28,0556;0,011111111;0,55;10;12;50;8;10;;;;;;;;;;;;
28,1944;0,011111111;0,552777778;10;12;30;8;10;;;;;;;;;;;;
21,25;0,013888889;0,411111111;10;4;10;12;50;;;;;;;;;;;;
21,8056;0,013888889;0,422222222;10;4;10;12;30;;;;;;;;;;;;
22,6389;0,013888889;0,438888889;10;4;10;8;50;;;;;;;;;;;;
22,9167;0,013888889;0,444444444;10;4;10;8;30;;;;;;;;;;;;
27,9167;0,013888889;0,544444444;10;12;30;12;10;;;;;;;;;;;;
15,4167;0,016666667;0,291666667;30;12;50;12;30;;;;;;;;;;;;
22,3611;0,016666667;0,430555556;10;8;10;4;50;;;;;;;;;;;;
27,9167;0,016666667;0,541666667;10;12;50;12;10;;;;;;;;;;;;
14,8611;0,019444444;0,277777778;30;12;50;8;50;;;;;;;;;;;;
25,4167;0,019444444;0,488888889;10;4;30;4;30;;;;;;;;;;;;
25,4167;0,019444444;0,488888889;10;4;50;4;30;;;;;;;;;;;;
21,9444;0,025;0,413888889;10;12;10;4;30;;;;;;;;;;;;
25,1389;0,027777778;0,475;10;4;30;4;50;;;;;;;;;;;;
25,1389;0,030555556;0,472222222;10;4;50;4;50;;;;;;;;;;;;
20,2778;0,036111111;0,369444444;10;4;50;8;30;;;;;;;;;;;;
20,4167;0,036111111;0,372222222;10;4;30;8;30;;;;;;;;;;;;
14,0278;0,041666667;0,238888889;30;12;50;12;50;;;;;;;;;;;;
19,4444;0,041666667;0,347222222;10;4;30;12;30;;;;;;;;;;;;
21,6667;0,041666667;0,391666667;10;8;30;4;30;;;;;;;;;;;;
20,5556;0,044444444;0,366666667;10;12;10;4;50;;;;;;;;;;;;
19,5833;0,05;0,341666667;10;4;50;12;30;;;;;;;;;;;;
20,1389;0,052777778;0,35;10;4;30;8;50;;;;;;;;;;;;
17,2222;0,058333333;0,286111111;10;8;10;8;30;;;;;;;;;;;;
20;0,058333333;0,341666667;10;4;50;8;50;;;;;;;;;;;;
21,6667;0,061111111;0,372222222;10;8;50;4;30;;;;;;;;;;;;
19,1667;0,063888889;0,319444444;10;4;30;12;50;;;;;;;;;;;;
19,0278;0,075;0,305555556;10;4;50;12;50;;;;;;;;;;;;
21,1111;0,080555556;0,341666667;10;12;30;4;30;;;;;;;;;;;;
17,3611;0,083333333;0,263888889;10;8;10;8;50;;;;;;;;;;;;
21,1111;0,086111111;0,336111111;10;8;30;4;50;;;;;;;;;;;;
16,6667;0,088888889;0,244444444;10;8;10;12;30;;;;;;;;;;;;
21,3889;0,091666667;0,336111111;10;12;50;4;30;;;;;;;;;;;;
15,8333;0,105555556;0,211111111;10;8;10;12;50;;;;;;;;;;;;
16,8056;0,119444444;0,216666667;10;12;10;8;30;;;;;;;;;;;;
21,8056;0,133333333;0,302777778;10;8;50;4;50;;;;;;;;;;;;
21,3889;0,155555556;0,272222222;10;12;30;4;50;;;;;;;;;;;;
16,5278;0,175;0,155555556;10;8;30;8;30;;;;;;;;;;;;
21,9444;0,186111111;0,252777778;10;12;50;4;50;;;;;;;;;;;;
18,4722;0,197222222;0,172222222;10;12;10;8;50;;;;;;;;;;;;
18,0556;0,211111111;0,15;10;8;50;8;30;;;;;;;;;;;;
18,1944;0,213888889;0,15;10;12;10;12;30;;;;;;;;;;;;
20,2778;0,269444444;0,136111111;10;12;30;8;30;;;;;;;;;;;;
20,6944;0,291666667;0,122222222;10;8;30;12;30;;;;;;;;;;;;
20,2778;0,3;0,105555556;10;8;30;8;50;;;;;;;;;;;;
21,6667;0,3;0,133333333;10;12;50;8;30;;;;;;;;;;;;
21,6667;0,333333333;0,1;10;12;10;12;50;;;;;;;;;;;;
23,0556;0,347222222;0,113888889;10;8;50;12;30;;;;;;;;;;;;
23,4722;0,380555556;0,088888889;10;8;50;8;50;;;;;;;;;;;;
25,9722;0,441666667;0,077777778;10;8;30;12;50;;;;;;;;;;;;
26,6667;0,45;0,083333333;10;12;30;12;30;;;;;;;;;;;;
26,9444;0,466666667;0,072222222;10;12;30;8;50;;;;;;;;;;;;
27,6389;0,475;0,077777778;10;12;50;12;30;;;;;;;;;;;;
29,4444;0,516666667;0,072222222;10;12;50;8;50;;;;;;;;;;;;
30,6944;0,547222222;0,066666667;10;8;50;12;50;;;;;;;;;;;;
37,6389;0,7;0,052777778;10;12;30;12;50;;;;;;;;;;;;
39,3056;0,741666667;0,044444444;10;12;50;12;50;;;;;;;;;;;;
Matches;total;174960;;;;;;;;;;;;;;;;;
275;;;;;;;;;;;;;;;;;;;
