EER;FMR;FNMR;THR;GDTHR;GAngTHR;;;;;;;
22,9167;0;0,458333333;0,3;8;10;;;;;;;
23,4722;0;0,469444444;0,4;6;20;;EER;FMR;FNMR;THR;GDTHR;GAngTHR
24,4444;0;0,488888889;0,5;8;30;;22,9167;0;0,458333333;0,3;8;10
25,5556;0;0,511111111;0,3;6;10;;;;;;;
26,25;0;0,525;0,5;10;20;;Matches;total;129600;;;
27,2222;0;0,544444444;0,5;6;30;;782;;;;;
27,5;0;0,55;0,4;12;10;;;;;;;
27,5;0;0,55;0,5;8;20;;0,006033951;;;;;
27,6389;0;0,552777778;0,4;4;20;;;;;;;
28,3333;0;0,566666667;0,4;10;10;;;;;;;
28,6111;0;0,572222222;0,3;4;10;;;;;;;
29,4444;0;0,588888889;0,5;6;20;;;;;;;
29,4444;0;0,588888889;0,6;8;40;;;;;;;
29,5833;0;0,591666667;0,4;8;10;;;;;;;
29,7222;0;0,594444444;0,6;10;30;;;;;;;
30;0;0,6;0,6;12;20;;;;;;;
30,5556;0;0,611111111;0,5;4;40;;;;;;;
30,6944;0;0,613888889;0,6;8;30;;;;;;;
31,1111;0;0,622222222;0,6;10;20;;;;;;;
31,25;0;0,625;0,6;6;40;;;;;;;
31,3889;0;0,627777778;0,4;6;10;;;;;;;
31,5278;0;0,630555556;0,5;4;30;;;;;;;
32,0833;0;0,641666667;0,6;6;30;;;;;;;
32,5;0;0,65;0,6;8;20;;;;;;;
32,6389;0;0,652777778;0,5;4;20;;;;;;;
33,0556;0;0,661111111;0,4;4;10;;;;;;;
33,75;0;0,675;0,6;6;20;;;;;;;
33,8889;0;0,677777778;0,5;12;10;;;;;;;
34,3056;0;0,686111111;0,5;8;10;;;;;;;
34,3056;0;0,686111111;0,5;10;10;;;;;;;
34,7222;0;0,694444444;0,6;4;50;;;;;;;
34,8611;0;0,697222222;0,5;6;10;;;;;;;
34,8611;0;0,697222222;0,6;4;30;;;;;;;
34,8611;0;0,697222222;0,6;4;40;;;;;;;
35,5556;0;0,711111111;0,6;4;20;;;;;;;
35,8333;0;0,716666667;0,6;12;10;;;;;;;
36,25;0;0,725;0,5;4;10;;;;;;;
36,25;0;0,725;0,6;8;10;;;;;;;
36,3889;0;0,727777778;0,6;10;10;;;;;;;
37,2222;0;0,744444444;0,6;6;10;;;;;;;
37,9167;0;0,758333333;0,6;4;10;;;;;;;
20,9722;0,002777778;0,416666667;0,3;12;10;;;;;;;
20,9722;0,002777778;0,416666667;0,4;8;20;;;;;;;
22,3611;0,002777778;0,444444444;0,5;10;30;;;;;;;
22,5;0,002777778;0,447222222;0,3;10;10;;;;;;;
24,5833;0,002777778;0,488888889;0,5;12;20;;;;;;;
25,5556;0,002777778;0,508333333;0,4;4;30;;;;;;;
25,9722;0,002777778;0,516666667;0,5;6;40;;;;;;;
27,3611;0,002777778;0,544444444;0,6;10;50;;;;;;;
28,3333;0,002777778;0,563888889;0,6;10;40;;;;;;;
28,75;0,002777778;0,572222222;0,6;12;30;;;;;;;
28,8889;0,002777778;0,575;0,6;8;50;;;;;;;
31,1111;0,002777778;0,619444444;0,6;6;50;;;;;;;
34,7222;0,002777778;0,691666667;0,6;4;60;;;;;;;
20,4167;0,005555556;0,402777778;0,4;6;30;;;;;;;
21,1111;0,005555556;0,416666667;0,2;4;10;;;;;;;
23,75;0,005555556;0,469444444;0,5;8;40;;;;;;;
24,3056;0,005555556;0,480555556;0,4;4;40;;;;;;;
26,6667;0,005555556;0,527777778;0,6;10;60;;;;;;;
28,8889;0,005555556;0,572222222;0,6;8;60;;;;;;;
30,6944;0,005555556;0,608333333;0,5;4;60;;;;;;;
30,8333;0,005555556;0,611111111;0,5;4;50;;;;;;;
30,8333;0,005555556;0,611111111;0,6;6;60;;;;;;;
17,5;0,008333333;0,341666667;0,2;6;10;;;;;;;
20,2778;0,008333333;0,397222222;0,4;10;20;;;;;;;
21,8056;0,008333333;0,427777778;0,3;4;20;;;;;;;
22,9167;0,008333333;0,45;0,4;4;60;;;;;;;
23,3333;0,008333333;0,458333333;0,4;4;50;;;;;;;
23,3333;0,008333333;0,458333333;0,5;8;50;;;;;;;
25,2778;0,008333333;0,497222222;0,5;6;50;;;;;;;
27,2222;0,008333333;0,536111111;0,6;12;40;;;;;;;
19,0278;0,011111111;0,369444444;0,4;12;20;;;;;;;
19,1667;0,011111111;0,372222222;0,4;6;40;;;;;;;
21,1111;0,011111111;0,411111111;0,5;10;40;;;;;;;
21,3889;0,011111111;0,416666667;0,5;12;30;;;;;;;
24,8611;0,011111111;0,486111111;0,5;6;60;;;;;;;
26,6667;0,011111111;0,522222222;0,6;12;50;;;;;;;
25,5556;0,013888889;0,497222222;0,6;12;60;;;;;;;
19,5833;0,016666667;0,375;0,5;12;40;;;;;;;
20,6944;0,016666667;0,397222222;0,5;10;50;;;;;;;
22,9167;0,016666667;0,441666667;0,5;8;60;;;;;;;
16,6667;0,019444444;0,313888889;0,3;6;20;;;;;;;
