GDTHR;EER;FMR;FNMR
TRESHOLD;12;GlobAngThr;24
0;38,75;0;0,775
1;33,0556;0;0,661111111
2;28,6111;0,005555556;0,566666667
3;25,4167;0,011111111;0,497222222
4;24,7222;0,016666667;0,477777778
5;23,8889;0,033333333;0,444444444
6;23,8889;0,055555556;0,422222222
7;24,3056;0,075;0,411111111
8;24,1667;0,094444444;0,388888889
9;23,3333;0,108333333;0,358333333
10;24,0278;0,136111111;0,344444444
11;24,1667;0,155555556;0,327777778
12;23,4722;0,169444444;0,3
13;24,0278;0,186111111;0,294444444
14;24,3056;0,2;0,286111111
15;24,5833;0,227777778;0,263888889
16;25;0,241666667;0,258333333
17;25,6944;0,269444444;0,244444444
18;25,6944;0,280555556;0,233333333
19;25,6944;0,288888889;0,225
Matches;total;14400;
