EER;FMR;FNMR;THR;GDTHR;GAngTHR;;;;;;;;;
28,75;0;0,575;0,4;8;20;;;;;;;;;
30,6944;0;0,613888889;0,5;12;20;;;;;;;;;
30,8333;0;0,616666667;0,3;12;10;;;;EER;FMR;FNMR;THR;GDTHR;GAngTHR
32,0833;0;0,641666667;0,5;10;20;;;;28,75;0;0,575;0,4;8;20
32,6389;0;0,652777778;0,6;10;30;;;;;;;;;
33,0556;0;0,661111111;0,4;6;20;;;;;;;;;
33,1944;0;0,663888889;0,3;10;10;;;;Matches;total;129600;;;
33,75;0;0,675;0,5;6;30;;;;1310;;;;;
34,1667;0;0,683333333;0,3;8;10;;;;;;;;;
34,3056;0;0,686111111;0,2;4;10;;;;;;;;;
34,5833;0;0,691666667;0,5;8;20;;;;0,010108025;;;;;
35;0;0,7;0,6;8;30;;;;;;;;;
35,2778;0;0,705555556;0,4;12;10;;;;;;;;;
35,4167;0;0,708333333;0,3;6;10;;;;;;;;;
35,5556;0;0,711111111;0,6;12;20;;;;;;;;;
35,8333;0;0,716666667;0,4;10;10;;;;;;;;;
36,1111;0;0,722222222;0,5;4;40;;;;;;;;;
36,1111;0;0,722222222;0,6;10;20;;;;;;;;;
36,5278;0;0,730555556;0,4;4;20;;;;;;;;;
36,5278;0;0,730555556;0,5;6;20;;;;;;;;;
36,6667;0;0,733333333;0,4;8;10;;;;;;;;;
36,9444;0;0,738888889;0,6;8;20;;;;;;;;;
37,0833;0;0,741666667;0,3;4;10;;;;;;;;;
37,0833;0;0,741666667;0,5;4;30;;;;;;;;;
37,3611;0;0,747222222;0,6;6;30;;;;;;;;;
37,5;0;0,75;0,4;6;10;;;;;;;;;
37,6389;0;0,752777778;0,5;12;10;;;;;;;;;
37,7778;0;0,755555556;0,5;10;10;;;;;;;;;
37,7778;0;0,755555556;0,5;4;20;;;;;;;;;
37,7778;0;0,755555556;0,6;4;40;;;;;;;;;
37,9167;0;0,758333333;0,6;6;20;;;;;;;;;
37,9167;0;0,758333333;0,6;4;30;;;;;;;;;
38,0556;0;0,761111111;0,4;4;10;;;;;;;;;
38,1944;0;0,763888889;0,5;6;10;;;;;;;;;
38,1944;0;0,763888889;0,5;8;10;;;;;;;;;
38,3333;0;0,766666667;0,6;4;20;;;;;;;;;
38,6111;0;0,772222222;0,5;4;10;;;;;;;;;
38,75;0;0,775;0,6;6;10;;;;;;;;;
38,75;0;0,775;0,6;8;10;;;;;;;;;
38,75;0;0,775;0,6;10;10;;;;;;;;;
38,75;0;0,775;0,6;12;10;;;;;;;;;
38,8889;0;0,777777778;0,6;4;10;;;;;;;;;
32,6389;0,002777778;0,65;0,3;4;20;;;;;;;;;
32,9167;0,002777778;0,655555556;0,2;6;10;;;;;;;;;
34,1667;0,002777778;0,680555556;0,4;4;30;;;;;;;;;
35,9722;0,002777778;0,716666667;0,6;6;40;;;;;;;;;
30,1389;0,005555556;0,597222222;0,5;8;30;;;;;;;;;
31,6667;0,005555556;0,627777778;0,6;12;30;;;;;;;;;
37,9167;0,005555556;0,752777778;0,6;4;50;;;;;;;;;
29,8611;0,008333333;0,588888889;0,2;8;10;;;;;;;;;
32,0833;0,011111111;0,630555556;0,6;8;40;;;;;;;;;
33,75;0,011111111;0,663888889;0,6;6;50;;;;;;;;;
37,6389;0,011111111;0,741666667;0,6;4;60;;;;;;;;;
26,5278;0,013888889;0,516666667;0,4;10;20;;;;;;;;;
35,2778;0,016666667;0,688888889;0,5;4;50;;;;;;;;;
25,9722;0,019444444;0,5;0,3;6;20;;;;;;;;;
27,9167;0,022222222;0,536111111;0,2;10;10;;;;;;;;;
24,7222;0,025;0,469444444;0,4;12;20;;;;;;;;;
30,9722;0,027777778;0,591666667;0,5;6;40;;;;;;;;;
27,5;0,030555556;0,519444444;0,5;10;30;;;;;;;;;
29,8611;0,033333333;0,563888889;0,6;10;40;;;;;;;;;
25,4167;0,044444444;0,463888889;0,2;12;10;;;;;;;;;
27,7778;0,044444444;0,511111111;0,4;6;30;;;;;;;;;
31,1111;0,044444444;0,577777778;0,4;4;40;;;;;;;;;
31,3889;0,052777778;0,575;0,6;8;50;;;;;;;;;
34,1667;0,052777778;0,630555556;0,5;4;60;;;;;;;;;
23,0556;0,061111111;0,4;0,3;8;20;;;;;;;;;
24,3056;0,061111111;0,425;0,2;4;20;;;;;;;;;
26,1111;0,061111111;0,461111111;0,5;12;30;;;;;;;;;
28,3333;0,061111111;0,505555556;0,6;12;40;;;;;;;;;
27,5;0,063888889;0,486111111;0,3;4;30;;;;;;;;;
35;0,063888889;0,636111111;0,6;6;60;;;;;;;;;
27,5;0,077777778;0,472222222;0,1;4;10;;;;;;;;;
28,3333;0,088888889;0,477777778;0,5;8;40;;;;;;;;;
30;0,088888889;0,511111111;0,4;4;50;;;;;;;;;
24,5833;0,1;0,391666667;0,4;8;30;;;;;;;;;
31,25;0,1;0,525;0,5;6;50;;;;;;;;;
22,5;0,111111111;0,338888889;0,3;10;20;;;;;;;;;
29,4444;0,111111111;0,477777778;0,6;10;50;;;;;;;;;
26,25;0,130555556;0,394444444;0,5;10;40;;;;;;;;;
32,9167;0,133333333;0,525;0,6;8;60;;;;;;;;;
26,1111;0,144444444;0,377777778;0,4;6;40;;;;;;;;;
23,1944;0,161111111;0,302777778;0,4;10;30;;;;;;;;;
25,9722;0,161111111;0,358333333;0,1;6;10;;;;;;;;;
28,75;0,163888889;0,411111111;0,6;12;50;;;;;;;;;
22,5;0,166666667;0,283333333;0,3;12;20;;;;;;;;;
23,1944;0,175;0,288888889;0,3;6;30;;;;;;;;;
27,9167;0,180555556;0,377777778;0,5;8;50;;;;;;;;;
31,1111;0,180555556;0,441666667;0,5;6;60;;;;;;;;;
25,4167;0,186111111;0,322222222;0,5;12;40;;;;;;;;;
25,2778;0,2;0,305555556;0,2;6;20;;;;;;;;;
30,5556;0,2;0,411111111;0,4;4;60;;;;;;;;;
30,1389;0,205555556;0,397222222;0,6;10;60;;;;;;;;;
28,3333;0,208333333;0,358333333;0,3;4;40;;;;;;;;;
23,8889;0,219444444;0,258333333;0,4;12;30;;;;;;;;;
25,5556;0,233333333;0,277777778;0,1;8;10;;;;;;;;;
24,8611;0,252777778;0,244444444;0,4;8;40;;;;;;;;;
26,6667;0,272222222;0,261111111;0,5;10;50;;;;;;;;;
30,9722;0,277777778;0,341666667;0,6;12;60;;;;;;;;;
26,6667;0,288888889;0,244444444;0,4;6;50;;;;;;;;;
23,8889;0,3;0,177777778;0,3;8;30;;;;;;;;;
25,6944;0,305555556;0,208333333;0,2;8;20;;;;;;;;;
27,0833;0,308333333;0,233333333;0,2;4;30;;;;;;;;;
29,1667;0,322222222;0,261111111;0,5;8;60;;;;;;;;;
26,9444;0,327777778;0,211111111;0,1;10;10;;;;;;;;;
26,1111;0,333333333;0,188888889;0,5;12;50;;;;;;;;;
26,8056;0,361111111;0,175;0,4;10;40;;;;;;;;;
25,8333;0,377777778;0,138888889;0,2;10;20;;;;;;;;;
30,1389;0,386111111;0,216666667;0,3;4;50;;;;;;;;;
28,75;0,402777778;0,172222222;0,1;12;10;;;;;;;;;
26,25;0,408333333;0,116666667;0,3;10;30;;;;;;;;;
27,7778;0,408333333;0,147222222;0,3;6;40;;;;;;;;;
29,1667;0,419444444;0,163888889;0,5;10;60;;;;;;;;;
28,3333;0,447222222;0,119444444;0,4;8;50;;;;;;;;;
28,4722;0,455555556;0,113888889;0,4;12;40;;;;;;;;;
28,75;0,458333333;0,116666667;0,2;12;20;;;;;;;;;
30,1389;0,466666667;0,136111111;0,4;6;60;;;;;;;;;
31,25;0,483333333;0,141666667;0,1;4;20;;;;;;;;;
28,75;0,491666667;0,083333333;0,3;12;30;;;;;;;;;
30,2778;0,508333333;0,097222222;0,2;6;30;;;;;;;;;
30,6944;0,511111111;0,102777778;0,5;12;60;;;;;;;;;
32,6389;0,588888889;0,063888889;0,3;8;40;;;;;;;;;
33,3333;0,588888889;0,077777778;0,4;10;50;;;;;;;;;
34,5833;0,605555556;0,086111111;0,2;4;40;;;;;;;;;
37,2222;0,619444444;0,125;0,3;4;60;;;;;;;;;
34,8611;0,633333333;0,063888889;0,4;8;60;;;;;;;;;
34,8611;0,636111111;0,061111111;0,3;6;50;;;;;;;;;
34,8611;0,655555556;0,041666667;0,2;8;30;;;;;;;;;
37,0833;0,663888889;0,077777778;0,1;6;20;;;;;;;;;
35,9722;0,672222222;0,047222222;0,4;12;50;;;;;;;;;
37,0833;0,711111111;0,030555556;0,3;10;40;;;;;;;;;
39,4444;0,752777778;0,036111111;0,1;8;20;;;;;;;;;
40;0,763888889;0,036111111;0,4;10;60;;;;;;;;;
39,1667;0,769444444;0,013888889;0,2;10;30;;;;;;;;;
40;0,783333333;0,016666667;0,3;12;40;;;;;;;;;
41,25;0,797222222;0,027777778;0,2;6;40;;;;;;;;;
41,25;0,8;0,025;0,3;8;50;;;;;;;;;
41,9444;0,805555556;0,033333333;0,2;4;50;;;;;;;;;
41,6667;0,816666667;0,016666667;0,1;10;20;;;;;;;;;
42,2222;0,819444444;0,025;0,3;6;60;;;;;;;;;
42,3611;0,822222222;0,025;0,1;4;30;;;;;;;;;
42,2222;0,833333333;0,011111111;0,2;12;30;;;;;;;;;
42,7778;0,833333333;0,022222222;0,4;12;60;;;;;;;;;
44,3056;0,880555556;0,005555556;0,3;10;50;;;;;;;;;
44,5833;0,880555556;0,011111111;0,1;12;20;;;;;;;;;
44,7222;0,888888889;0,005555556;0,2;8;40;;;;;;;;;
45,9722;0,916666667;0,002777778;0,3;12;50;;;;;;;;;
46,3889;0,916666667;0,011111111;0,3;8;60;;;;;;;;;
46,8056;0,916666667;0,019444444;0,2;4;60;;;;;;;;;
46,5278;0,927777778;0,002777778;0,1;6;30;;;;;;;;;
47,6389;0,941666667;0,011111111;0,2;6;50;;;;;;;;;
47,3611;0,944444444;0,002777778;0,3;10;60;;;;;;;;;
47,5;0,944444444;0,005555556;0,1;4;40;;;;;;;;;
47,6389;0,947222222;0,005555556;0,2;10;40;;;;;;;;;
48,1944;0,961111111;0,002777778;0,2;12;40;;;;;;;;;
48,3333;0,963888889;0,002777778;0,1;8;30;;;;;;;;;
48,3333;0,963888889;0,002777778;0,3;12;60;;;;;;;;;
49,0278;0,977777778;0,002777778;0,2;8;50;;;;;;;;;
49,1667;0,980555556;0,002777778;0,1;10;30;;;;;;;;;
49,1667;0,980555556;0,002777778;0,1;6;40;;;;;;;;;
49,4444;0,983333333;0,005555556;0,1;4;50;;;;;;;;;
49,5833;0,983333333;0,008333333;0,2;6;60;;;;;;;;;
49,3056;0,986111111;0;0,1;12;30;;;;;;;;;
49,5833;0,988888889;0,002777778;0,1;8;40;;;;;;;;;
49,5833;0,988888889;0,002777778;0,2;10;50;;;;;;;;;
49,5833;0,991666667;0;0,2;12;50;;;;;;;;;
49,7222;0,991666667;0,002777778;0,2;8;60;;;;;;;;;
49,7222;0,994444444;0;0,1;12;40;;;;;;;;;
49,8611;0,994444444;0,002777778;0,1;10;40;;;;;;;;;
49,8611;0,994444444;0,002777778;0,1;6;50;;;;;;;;;
