EER;FMR;FNMR;THR;GDTHR;GAngTHR;;;;;;;;
31,8056;0;0,636111111;0,3;6;10;;;;;;;;
33,75;0;0,675;0,4;12;10;;;EER;FMR;FNMR;THR;GDTHR;GAngTHR
34,0278;0;0,680555556;0,3;4;10;;;31,8056;0;0,636111111;0,3;6;10
34,1667;0;0,683333333;0,4;10;10;;;;;;;;
35,2778;0;0,705555556;0,4;8;10;;;Matches;total;129600;;;
35,9722;0;0,719444444;0,5;6;20;;;1293;;;;;
36,25;0;0,725;0,4;6;10;;;;;;;;
37,2222;0;0,744444444;0,5;10;10;;;0,009976852;;;;;
37,2222;0;0,744444444;0,5;4;20;;;;;;;;
37,3611;0;0,747222222;0,4;4;10;;;;;;;;
37,3611;0;0,747222222;0,5;12;10;;;;;;;;
37,5;0;0,75;0,5;8;10;;;;;;;;
37,5;0;0,75;0,6;6;20;;;;;;;;
38,1944;0;0,763888889;0,5;6;10;;;;;;;;
38,4722;0;0,769444444;0,6;4;20;;;;;;;;
38,6111;0;0,772222222;0,5;4;10;;;;;;;;
38,6111;0;0,772222222;0,6;6;10;;;;;;;;
38,6111;0;0,772222222;0,6;8;10;;;;;;;;
38,6111;0;0,772222222;0,6;10;10;;;;;;;;
38,6111;0;0,772222222;0,6;12;10;;;;;;;;
38,8889;0;0,777777778;0,6;4;10;;;;;;;;
28,0556;0,002777778;0,558333333;0,2;4;10;;;;;;;;
28,6111;0,002777778;0,569444444;0,5;10;40;;;;;;;;
30,5556;0,002777778;0,608333333;0,4;6;20;;;;;;;;
31,1111;0,002777778;0,619444444;0,5;8;60;;;;;;;;
31,3889;0,002777778;0,625;0,5;8;40;;;;;;;;
32,0833;0,002777778;0,638888889;0,5;12;20;;;;;;;;
32,0833;0,002777778;0,638888889;0,5;8;50;;;;;;;;
32,5;0,002777778;0,647222222;0,5;6;60;;;;;;;;
33,1944;0,002777778;0,661111111;0,6;10;50;;;;;;;;
33,3333;0,002777778;0,663888889;0,6;10;60;;;;;;;;
33,4722;0,002777778;0,666666667;0,4;4;30;;;;;;;;
33,6111;0,002777778;0,669444444;0,5;6;50;;;;;;;;
33,6111;0,002777778;0,669444444;0,6;12;40;;;;;;;;
33,75;0,002777778;0,672222222;0,5;10;20;;;;;;;;
33,8889;0,002777778;0,675;0,6;10;40;;;;;;;;
34,1667;0,002777778;0,680555556;0,5;6;40;;;;;;;;
34,4444;0,002777778;0,686111111;0,5;6;30;;;;;;;;
