EER;FMR;FNMR;THR;GDTHR;GAngTHR;MtiaCTHR;;;;;;;;
18,0556;0;0,361111111;0,005;8;20;10;;;;;;;;
20,9722;0;0,419444444;0,005;8;10;10;;EER;FMR;FNMR;THR;GDTHR;GAngTHR;MtiaCTHR
22,2222;0;0,444444444;0,01;10;50;8;;18,0556;0;0,361111111;0,005;8;20;10
22,2222;0;0,444444444;0,01;10;60;8;;;;;;;;
22,3611;0;0,447222222;0,01;10;30;8;;;;;;;;
22,3611;0;0,447222222;0,01;10;40;8;;Matches;total;432000;;;;
22,3611;0;0,447222222;0,01;10;50;10;;2034;;;;;;
22,3611;0;0,447222222;0,01;10;60;10;;;;;;;;
22,5;0;0,45;0,01;10;20;8;;0,004708333;;;;;;
22,5;0;0,45;0,01;10;30;10;;;;;;;;
22,5;0;0,45;0,01;10;40;10;;;;;;;;
22,6389;0;0,452777778;0,01;10;20;10;;;;;;;;
23,0556;0;0,461111111;0,005;6;20;8;;;;;;;;
23,3333;0;0,466666667;0,005;6;20;10;;;;;;;;
24,7222;0;0,494444444;0,005;6;10;8;;;;;;;;
24,8611;0;0,497222222;0,01;10;10;8;;;;;;;;
25;0;0,5;0,005;6;10;10;;;;;;;;
25;0;0,5;0,01;10;10;10;;;;;;;;
26,25;0;0,525;0,01;8;40;8;;;;;;;;
26,25;0;0,525;0,01;8;50;8;;;;;;;;
26,25;0;0,525;0,01;8;60;8;;;;;;;;
26,3889;0;0,527777778;0,01;8;30;8;;;;;;;;
26,5278;0;0,530555556;0,01;8;40;10;;;;;;;;
26,5278;0;0,530555556;0,01;8;50;10;;;;;;;;
26,5278;0;0,530555556;0,01;8;60;10;;;;;;;;
26,6667;0;0,533333333;0,01;8;20;8;;;;;;;;
26,6667;0;0,533333333;0,01;8;30;10;;;;;;;;
26,9444;0;0,538888889;0,01;8;20;10;;;;;;;;
27,7778;0;0,555555556;0,015;10;30;8;;;;;;;;
27,7778;0;0,555555556;0,015;10;40;8;;;;;;;;
27,7778;0;0,555555556;0,015;10;50;8;;;;;;;;
27,7778;0;0,555555556;0,015;10;60;8;;;;;;;;
27,9167;0;0,558333333;0,015;10;30;10;;;;;;;;
27,9167;0;0,558333333;0,015;10;40;10;;;;;;;;
27,9167;0;0,558333333;0,015;10;50;10;;;;;;;;
27,9167;0;0,558333333;0,015;10;60;10;;;;;;;;
28,0556;0;0,561111111;0,015;10;20;8;;;;;;;;
28,1944;0;0,563888889;0,015;10;20;10;;;;;;;;
28,4722;0;0,569444444;0,01;8;10;8;;;;;;;;
28,6111;0;0,572222222;0,01;8;10;10;;;;;;;;
29,8611;0;0,597222222;0,015;10;10;8;;;;;;;;
30;0;0,6;0,015;10;10;10;;;;;;;;
30,5556;0;0,611111111;0,015;8;20;2;;;;;;;;
30,5556;0;0,611111111;0,015;8;20;4;;;;;;;;
30,5556;0;0,611111111;0,015;8;20;6;;;;;;;;
30,5556;0;0,611111111;0,015;8;20;8;;;;;;;;
30,5556;0;0,611111111;0,015;8;30;2;;;;;;;;
30,5556;0;0,611111111;0,015;8;30;4;;;;;;;;
30,5556;0;0,611111111;0,015;8;30;6;;;;;;;;
30,5556;0;0,611111111;0,015;8;30;8;;;;;;;;
30,5556;0;0,611111111;0,015;8;40;2;;;;;;;;
30,5556;0;0,611111111;0,015;8;40;4;;;;;;;;
30,5556;0;0,611111111;0,015;8;40;6;;;;;;;;
30,5556;0;0,611111111;0,015;8;40;8;;;;;;;;
30,5556;0;0,611111111;0,015;8;50;2;;;;;;;;
30,5556;0;0,611111111;0,015;8;50;4;;;;;;;;
30,5556;0;0,611111111;0,015;8;50;6;;;;;;;;
30,5556;0;0,611111111;0,015;8;50;8;;;;;;;;
30,5556;0;0,611111111;0,015;8;60;2;;;;;;;;
30,5556;0;0,611111111;0,015;8;60;4;;;;;;;;
30,5556;0;0,611111111;0,015;8;60;6;;;;;;;;
30,5556;0;0,611111111;0,015;8;60;8;;;;;;;;
30,6944;0;0,613888889;0,015;8;20;10;;;;;;;;
30,8333;0;0,616666667;0,015;8;30;10;;;;;;;;
30,8333;0;0,616666667;0,015;8;40;10;;;;;;;;
30,8333;0;0,616666667;0,015;8;50;10;;;;;;;;
30,8333;0;0,616666667;0,015;8;60;10;;;;;;;;
30,8333;0;0,616666667;0,02;10;30;8;;;;;;;;
30,8333;0;0,616666667;0,02;10;40;8;;;;;;;;
30,8333;0;0,616666667;0,02;10;50;8;;;;;;;;
30,8333;0;0,616666667;0,02;10;60;8;;;;;;;;
30,9722;0;0,619444444;0,005;4;40;8;;;;;;;;
30,9722;0;0,619444444;0,005;4;50;8;;;;;;;;
30,9722;0;0,619444444;0,005;4;60;8;;;;;;;;
30,9722;0;0,619444444;0,02;10;30;10;;;;;;;;
30,9722;0;0,619444444;0,02;10;40;10;;;;;;;;
30,9722;0;0,619444444;0,02;10;50;10;;;;;;;;
