EER;FMR;FNMR;THR;GDTHR;GAngTHR;MtiaCTHR;;;;;;;;
21,25;0;0,425;0,008;10;60;10;;;;;;;;
21,3889;0;0,427777778;0,008;10;40;10;;;;;;;;
21,3889;0;0,427777778;0,008;10;50;10;;EER;FMR;FNMR;THR;GDTHR;GAngTHR;MtiaCTHR
21,5278;0;0,430555556;0,008;10;30;10;;21,25;0;0,425;0,008;10;60;10
22,0833;0;0,441666667;0,008;10;20;10;;;;;;;;
25,2778;0;0,505555556;0,012;10;60;8;;;;;;;;
25,2778;0;0,505555556;0,012;10;60;10;;Matches;total;345600;;;;
25,4167;0;0,508333333;0,012;10;40;8;;1513;;;;;;
25,4167;0;0,508333333;0,012;10;40;10;;;;;;;;
25,4167;0;0,508333333;0,012;10;50;8;;0,004377894;;;;;;
25,4167;0;0,508333333;0,012;10;50;10;;;;;;;;
25,5556;0;0,511111111;0,012;10;30;8;;;;;;;;
25,5556;0;0,511111111;0,012;10;30;10;;;;;;;;
26,1111;0;0,522222222;0,008;8;30;10;;;;;;;;
26,1111;0;0,522222222;0,008;8;40;10;;;;;;;;
26,1111;0;0,522222222;0,008;8;50;10;;;;;;;;
26,1111;0;0,522222222;0,008;8;60;10;;;;;;;;
26,25;0;0,525;0,004;6;50;10;;;;;;;;
26,25;0;0,525;0,004;6;60;10;;;;;;;;
26,25;0;0,525;0,012;10;20;8;;;;;;;;
26,25;0;0,525;0,012;10;20;10;;;;;;;;
26,3889;0;0,527777778;0,004;6;40;10;;;;;;;;
26,5278;0;0,530555556;0,004;6;30;10;;;;;;;;
26,5278;0;0,530555556;0,008;8;20;10;;;;;;;;
26,6667;0;0,533333333;0,004;6;20;10;;;;;;;;
27,5;0;0,55;0,008;10;10;10;;;;;;;;
28,6111;0;0,572222222;0,016;10;50;8;;;;;;;;
28,6111;0;0,572222222;0,016;10;50;10;;;;;;;;
28,6111;0;0,572222222;0,016;10;60;8;;;;;;;;
28,6111;0;0,572222222;0,016;10;60;10;;;;;;;;
28,75;0;0,575;0,016;10;40;8;;;;;;;;
28,75;0;0,575;0,016;10;40;10;;;;;;;;
28,8889;0;0,577777778;0,016;10;30;8;;;;;;;;
28,8889;0;0,577777778;0,016;10;30;10;;;;;;;;
29,0278;0;0,580555556;0,004;6;10;8;;;;;;;;
29,1667;0;0,583333333;0,004;6;10;10;;;;;;;;
29,5833;0;0,591666667;0,016;10;20;8;;;;;;;;
29,5833;0;0,591666667;0,016;10;20;10;;;;;;;;
29,8611;0;0,597222222;0,012;8;50;8;;;;;;;;
29,8611;0;0,597222222;0,012;8;50;10;;;;;;;;
29,8611;0;0,597222222;0,012;8;60;8;;;;;;;;
29,8611;0;0,597222222;0,012;8;60;10;;;;;;;;
30,1389;0;0,602777778;0,012;8;30;8;;;;;;;;
30,1389;0;0,602777778;0,012;8;30;10;;;;;;;;
30,1389;0;0,602777778;0,012;8;40;8;;;;;;;;
30,1389;0;0,602777778;0,012;8;40;10;;;;;;;;
30,4167;0;0,608333333;0,008;8;10;10;;;;;;;;
30,4167;0;0,608333333;0,012;10;10;8;;;;;;;;
30,4167;0;0,608333333;0,012;10;10;10;;;;;;;;
30,5556;0;0,611111111;0,012;8;20;8;;;;;;;;
30,5556;0;0,611111111;0,012;8;20;10;;;;;;;;
31,9444;0;0,638888889;0,008;6;20;8;;;;;;;;
31,9444;0;0,638888889;0,008;6;30;8;;;;;;;;
31,9444;0;0,638888889;0,008;6;40;8;;;;;;;;
31,9444;0;0,638888889;0,008;6;50;8;;;;;;;;
31,9444;0;0,638888889;0,008;6;60;8;;;;;;;;
32,0833;0;0,641666667;0,008;6;20;10;;;;;;;;
32,0833;0;0,641666667;0,008;6;30;10;;;;;;;;
32,0833;0;0,641666667;0,008;6;40;10;;;;;;;;
32,0833;0;0,641666667;0,008;6;50;10;;;;;;;;
32,0833;0;0,641666667;0,008;6;60;10;;;;;;;;
32,6389;0;0,652777778;0,016;10;10;8;;;;;;;;
32,6389;0;0,652777778;0,016;10;10;10;;;;;;;;
32,6389;0;0,652777778;0,016;8;40;8;;;;;;;;
32,6389;0;0,652777778;0,016;8;40;10;;;;;;;;
32,6389;0;0,652777778;0,016;8;50;8;;;;;;;;
32,6389;0;0,652777778;0,016;8;50;10;;;;;;;;
32,6389;0;0,652777778;0,016;8;60;8;;;;;;;;
32,6389;0;0,652777778;0,016;8;60;10;;;;;;;;
32,7778;0;0,655555556;0,016;8;30;8;;;;;;;;
32,7778;0;0,655555556;0,016;8;30;10;;;;;;;;
33,0556;0;0,661111111;0,012;8;10;8;;;;;;;;
33,0556;0;0,661111111;0,012;8;10;10;;;;;;;;
33,1944;0;0,663888889;0,004;4;30;10;;;;;;;;
33,1944;0;0,663888889;0,004;4;40;10;;;;;;;;
