EER;FMR;FNMR;THR;GDTHR;GAngTHRLDTHR;LAngTHR;;;;;;;;;;;;
18,3333;0;0,366666667;30;12;30;12;50;;;;;;;;;;;
19,5833;0;0,391666667;30;12;30;12;30;;;;;;;;;;;
20,2778;0;0,405555556;30;12;30;8;50;;;;EER;FMR;FNMR;THR;GDTHR;GAngTHR;LDTHR;LAngTHR
20,8333;0;0,416666667;30;12;30;8;30;;;FMR = 0;18,3333;0;0,366666667;30;12;30;12;50
25;0;0,5;30;12;50;4;50;;;FMR > 0;20;0,002777778;0,397222222;30;12;50;8;30
25,2778;0;0,505555556;30;8;50;12;50;;;;;;;;;;;
25,4167;0;0,508333333;30;8;30;12;50;;;Matches;total;174960;;;;;;
25,5556;0;0,511111111;30;12;30;4;50;;;976;;;;;;;;
25,6944;0;0,513888889;30;8;50;12;30;;;;;;;;;;;
25,8333;0;0,516666667;30;8;30;12;30;;;average match;0,005578418;;;;;;;
26,1111;0;0,522222222;30;12;50;4;30;;;;;;;;;;;
26,25;0;0,525;30;12;30;4;30;;;;;;;;;;;
26,5278;0;0,530555556;30;8;50;8;30;;;;;;;;;;;
26,5278;0;0,530555556;30;8;50;8;50;;;;;;;;;;;
26,6667;0;0,533333333;30;8;30;8;30;;;;;;;;;;;
26,6667;0;0,533333333;30;8;30;8;50;;;;;;;;;;;
27,2222;0;0,544444444;30;12;10;12;30;;;;;;;;;;;
27,2222;0;0,544444444;30;12;10;12;50;;;;;;;;;;;
27,9167;0;0,558333333;30;12;10;8;50;;;;;;;;;;;
28,0556;0;0,561111111;30;12;10;8;30;;;;;;;;;;;
28,3333;0;0,566666667;10;4;10;4;50;;;;;;;;;;;
28,6111;0;0,572222222;10;4;10;4;30;;;;;;;;;;;
29,0278;0;0,580555556;10;8;10;12;10;;;;;;;;;;;
29,7222;0;0,594444444;10;8;10;8;10;;;;;;;;;;;
30,2778;0;0,605555556;30;8;30;4;50;;;;;;;;;;;
30,2778;0;0,605555556;30;12;30;12;10;;;;;;;;;;;
30,2778;0;0,605555556;30;8;50;4;50;;;;;;;;;;;
30,2778;0;0,605555556;30;12;50;12;10;;;;;;;;;;;
30,4167;0;0,608333333;30;8;30;4;30;;;;;;;;;;;
30,4167;0;0,608333333;30;8;50;4;30;;;;;;;;;;;
30,5556;0;0,611111111;10;4;50;12;10;;;;;;;;;;;
30,6944;0;0,613888889;10;4;30;12;10;;;;;;;;;;;
30,6944;0;0,613888889;10;4;50;8;10;;;;;;;;;;;
30,6944;0;0,613888889;30;12;30;8;10;;;;;;;;;;;
30,6944;0;0,613888889;30;12;50;8;10;;;;;;;;;;;
30,8333;0;0,616666667;10;4;30;8;10;;;;;;;;;;;
30,9722;0;0,619444444;30;12;10;4;30;;;;;;;;;;;
30,9722;0;0,619444444;30;12;10;4;50;;;;;;;;;;;
31,1111;0;0,622222222;30;8;10;12;50;;;;;;;;;;;
31,25;0;0,625;30;8;10;12;30;;;;;;;;;;;
31,3889;0;0,627777778;10;4;10;8;10;;;;;;;;;;;
31,3889;0;0,627777778;10;4;10;12;10;;;;;;;;;;;
31,3889;0;0,627777778;10;12;50;4;10;;;;;;;;;;;
