EER;FMR;FNMR;THR;GDTHR;GAngTHR;;;;;;;
31,8056;0;0,636111111;0,5;8;30;;;;;;;
32,2222;0;0,644444444;0,4;8;20;;EER;FMR;FNMR;THR;GDTHR;GAngTHR
32,3611;0;0,647222222;0,5;12;20;;31,8056;0;0,636111111;0,5;8;30
32,7778;0;0,655555556;0,3;4;20;;;;;;;
33,0556;0;0,661111111;0,3;12;10;;;;;;;
33,1944;0;0,663888889;0,3;10;10;;Matches;total;129600;;;
33,1944;0;0,663888889;0,5;10;20;;1276;;;;;
33,1944;0;0,663888889;0,6;8;40;;;;;;;
33,3333;0;0,666666667;0,6;10;30;;;0,009845679;;;;
33,4722;0;0,669444444;0,4;6;20;;;;;;;
33,75;0;0,675;0,4;4;30;;;;;;;
33,8889;0;0,677777778;0,3;8;10;;;;;;;
33,8889;0;0,677777778;0,5;8;20;;;;;;;
33,8889;0;0,677777778;0,5;6;30;;;;;;;
34,5833;0;0,691666667;0,3;6;10;;;;;;;
34,7222;0;0,694444444;0,6;12;20;;;;;;;
34,7222;0;0,694444444;0,6;8;30;;;;;;;
34,8611;0;0,697222222;0,5;6;20;;;;;;;
34,8611;0;0,697222222;0,6;6;40;;;;;;;
35,1389;0;0,702777778;0,4;12;10;;;;;;;
35,1389;0;0,702777778;0,4;4;20;;;;;;;
35,1389;0;0,702777778;0,6;10;20;;;;;;;
35,2778;0;0,705555556;0,4;10;10;;;;;;;
35,4167;0;0,708333333;0,5;4;40;;;;;;;
35,5556;0;0,711111111;0,6;8;20;;;;;;;
35,5556;0;0,711111111;0,6;4;60;;;;;;;
35,8333;0;0,716666667;0,4;8;10;;;;;;;
35,9722;0;0,719444444;0,5;4;30;;;;;;;
36,1111;0;0,722222222;0,3;4;10;;;;;;;
36,1111;0;0,722222222;0,4;6;10;;;;;;;
36,25;0;0,725;0,6;6;30;;;;;;;
36,9444;0;0,738888889;0,5;4;20;;;;;;;
37,0833;0;0,741666667;0,6;4;50;;;;;;;
37,3611;0;0,747222222;0,5;12;10;;;;;;;
37,3611;0;0,747222222;0,6;4;40;;;;;;;
37,5;0;0,75;0,4;4;10;;;;;;;
37,5;0;0,75;0,5;10;10;;;;;;;
37,5;0;0,75;0,6;6;20;;;;;;;
37,7778;0;0,755555556;0,5;8;10;;;;;;;
38,0556;0;0,761111111;0,6;10;10;;;;;;;
38,0556;0;0,761111111;0,6;12;10;;;;;;;
38,0556;0;0,761111111;0,6;4;30;;;;;;;
