EER;FMR;FNMR;THR;GDTHRGAngTHR;;;;;;;;;;
13,6111;0;0,272222222;30;10;20;;;;EER;FMR;FNMR;THR;GDTHR;GAngTHR
14,1667;0;0,283333333;30;6;30;;;Maþiausias EER (FMR = 0);13,6111;0;0,272222222;30;10;20
14,8611;0;0,297222222;40;8;40;;;Maþiausias EER (FMR - bet koks);12,7778;0,002777778;0,252777778;20;6;20
15,1389;0;0,302777778;10;6;10;;;;;;;;;
15,6944;0;0,313888889;30;8;20;;;;;;;;;
16,1111;0;0,322222222;40;10;30;;;;;;;;;
16,25;0;0,325;20;4;20;;;Matches;total;103680;;;;
17,7778;0;0,355555556;10;4;10;;;684;;;;;;
18,6111;0;0,372222222;40;8;30;;;;;;;;;
19,1667;0;0,383333333;20;10;10;;;average;0,006597222;;;;;
19,3056;0;0,386111111;40;6;40;;;;;;;;;
19,4444;0;0,388888889;50;10;50;;;;;;;;;
20,6944;0;0,413888889;20;8;10;;;;;;;;;
20,8333;0;0,416666667;30;6;20;;;;;;;;;
20,9722;0;0,419444444;30;4;30;;;;;;;;;
20,9722;0;0,419444444;50;8;60;;;;;;;;;
21,9444;0;0,438888889;40;10;20;;;;;;;;;
22,0833;0;0,441666667;50;10;40;;;;;;;;;
23,1944;0;0,463888889;50;8;50;;;;;;;;;
23,75;0;0,475;40;6;30;;;;;;;;;
24,3056;0;0,486111111;40;4;60;;;;;;;;;
25,2778;0;0,505555556;20;6;10;;;;;;;;;
25,9722;0;0,519444444;40;8;20;;;;;;;;;
25,9722;0;0,519444444;50;10;30;;;;;;;;;
26,1111;0;0,522222222;50;8;40;;;;;;;;;
27,5;0;0,55;40;4;50;;;;;;;;;
27,5;0;0,55;50;6;60;;;;;;;;;
28,3333;0;0,566666667;30;10;10;;;;;;;;;
28,6111;0;0,572222222;30;4;20;;;;;;;;;
29,1667;0;0,583333333;60;10;60;;;;;;;;;
29,4444;0;0,588888889;50;6;50;;;;;;;;;
29,8611;0;0,597222222;50;8;30;;;;;;;;;
30,2778;0;0,605555556;20;4;10;;;;;;;;;
30,5556;0;0,611111111;30;8;10;;;;;;;;;
30,5556;0;0,611111111;40;4;40;;;;;;;;;
30,9722;0;0,619444444;40;6;20;;;;;;;;;
30,9722;0;0,619444444;60;10;50;;;;;;;;;
31,6667;0;0,633333333;50;10;20;;;;;;;;;
32,0833;0;0,641666667;50;6;40;;;;;;;;;
32,7778;0;0,655555556;60;10;40;;;;;;;;;
33,4722;0;0,669444444;60;8;60;;;;;;;;;
33,6111;0;0,672222222;40;4;30;;;;;;;;;
34,0278;0;0,680555556;30;6;10;;;;;;;;;
34,5833;0;0,691666667;50;8;20;;;;;;;;;
35;0;0,7;40;10;10;;;;;;;;;
35;0;0,7;60;8;50;;;;;;;;;
35,2778;0;0,705555556;50;6;30;;;;;;;;;
35,5556;0;0,711111111;60;10;30;;;;;;;;;
36,1111;0;0,722222222;50;4;60;;;;;;;;;
36,25;0;0,725;60;8;40;;;;;;;;;
36,5278;0;0,730555556;40;8;10;;;;;;;;;
36,5278;0;0,730555556;40;4;20;;;;;;;;;
36,6667;0;0,733333333;50;4;50;;;;;;;;;
37,0833;0;0,741666667;60;6;60;;;;;;;;;
37,2222;0;0,744444444;30;4;10;;;;;;;;;
37,3611;0;0,747222222;60;8;30;;;;;;;;;
37,5;0;0,75;50;6;20;;;;;;;;;
37,5;0;0,75;60;10;20;;;;;;;;;
37,7778;0;0,755555556;50;4;40;;;;;;;;;
37,9167;0;0,758333333;60;6;50;;;;;;;;;
38,0556;0;0,761111111;40;6;10;;;;;;;;;
38,0556;0;0,761111111;60;8;20;;;;;;;;;
38,1944;0;0,763888889;50;10;10;;;;;;;;;
38,1944;0;0,763888889;60;6;40;;;;;;;;;
38,4722;0;0,769444444;50;8;10;;;;;;;;;
38,4722;0;0,769444444;50;4;20;;;;;;;;;
38,4722;0;0,769444444;50;4;30;;;;;;;;;
38,4722;0;0,769444444;60;6;30;;;;;;;;;
38,6111;0;0,772222222;60;6;20;;;;;;;;;
38,75;0;0,775;40;4;10;;;;;;;;;
38,8889;0;0,777777778;50;4;10;;;;;;;;;
38,8889;0;0,777777778;50;6;10;;;;;;;;;
38,8889;0;0,777777778;60;4;10;;;;;;;;;
38,8889;0;0,777777778;60;6;10;;;;;;;;;
38,8889;0;0,777777778;60;8;10;;;;;;;;;
38,8889;0;0,777777778;60;10;10;;;;;;;;;
38,8889;0;0,777777778;60;4;20;;;;;;;;;
38,8889;0;0,777777778;60;4;30;;;;;;;;;
38,8889;0;0,777777778;60;4;40;;;;;;;;;
38,8889;0;0,777777778;60;4;50;;;;;;;;;
38,8889;0;0,777777778;60;4;60;;;;;;;;;
12,7778;0,002777778;0,252777778;20;6;20;;;;;;;;;
17,0833;0,002777778;0,338888889;50;10;60;;;;;;;;;
17,5;0,002777778;0,347222222;40;6;50;;;;;;;;;
17,6389;0,002777778;0,35;30;4;40;;;;;;;;;
11,9444;0,005555556;0,233333333;30;8;30;;;;;;;;;
11,8056;0,008333333;0,227777778;20;8;20;;;;;;;;;
13,8889;0,008333333;0,269444444;40;10;40;;;;;;;;;
15,5556;0,008333333;0,302777778;40;6;60;;;;;;;;;
13,6111;0,011111111;0,261111111;10;8;10;;;;;;;;;
13,75;0,011111111;0,263888889;40;8;50;;;;;;;;;
11,8056;0,016666667;0,219444444;30;10;30;;;;;;;;;
13,4722;0,016666667;0,252777778;10;10;10;;;;;;;;;
15,6944;0,016666667;0,297222222;30;4;50;;;;;;;;;
11,8056;0,019444444;0,216666667;20;10;20;;;;;;;;;
13,0556;0,022222222;0,238888889;20;4;30;;;;;;;;;
13,3333;0,022222222;0,244444444;30;6;40;;;;;;;;;
13,3333;0,030555556;0,236111111;40;10;50;;;;;;;;;
12,5;0,036111111;0,213888889;30;8;40;;;;;;;;;
15,2778;0,038888889;0,266666667;30;4;60;;;;;;;;;
13,3333;0,05;0,216666667;20;6;30;;;;;;;;;
13,8889;0,05;0,227777778;40;8;60;;;;;;;;;
13,4722;0,052777778;0,216666667;30;6;50;;;;;;;;;
13,0556;0,061111111;0,2;30;10;40;;;;;;;;;
13,8889;0,061111111;0,216666667;20;4;40;;;;;;;;;
14,3056;0,066666667;0,219444444;10;4;20;;;;;;;;;
13,6111;0,075;0,197222222;40;10;60;;;;;;;;;
14,1667;0,080555556;0,202777778;20;8;30;;;;;;;;;
14,8611;0,111111111;0,186111111;30;8;50;;;;;;;;;
15,1389;0,119444444;0,183333333;30;6;60;;;;;;;;;
16,3889;0,133333333;0,194444444;20;10;30;;;;;;;;;
16,6667;0,136111111;0,197222222;10;6;20;;;;;;;;;
15,8333;0,144444444;0,172222222;30;10;50;;;;;;;;;
16,3889;0,144444444;0,183333333;20;4;50;;;;;;;;;
16,5278;0,144444444;0,186111111;20;6;40;;;;;;;;;
18,4722;0,202777778;0,166666667;30;8;60;;;;;;;;;
18,8889;0,202777778;0,175;10;8;20;;;;;;;;;
20,5556;0,247222222;0,163888889;20;8;40;;;;;;;;;
21,25;0,25;0,175;10;4;30;;;;;;;;;
20,8333;0,252777778;0,163888889;20;4;60;;;;;;;;;
21,25;0,255555556;0,169444444;10;10;20;;;;;;;;;
21,6667;0,277777778;0,155555556;30;10;60;;;;;;;;;
22,5;0,3;0,15;20;6;50;;;;;;;;;
23,3333;0,319444444;0,147222222;20;10;40;;;;;;;;;
26,8056;0,386111111;0,15;10;6;30;;;;;;;;;
27,6389;0,422222222;0,130555556;20;8;50;;;;;;;;;
28,1944;0,430555556;0,133333333;10;4;40;;;;;;;;;
27,9167;0,436111111;0,122222222;20;6;60;;;;;;;;;
29,3056;0,472222222;0,113888889;20;10;50;;;;;;;;;
31,8056;0,505555556;0,130555556;10;8;30;;;;;;;;;
32,9167;0,541666667;0,116666667;10;10;30;;;;;;;;;
