EER;FMR;FNMR;THR;GDTHR;GAngTHR;LDistTHR;beta;alfa
29,1667;0;0,583333333;10;4;10;0,2;8;15
24,1667;0;0,483333333;10;4;10;0,2;12;15
23,3333;0,002777778;0,463888889;10;4;10;0,2;16;15
29,1667;0;0,583333333;10;4;10;0,2;8;15
24,1667;0;0,483333333;10;4;10;0,2;12;15
23,3333;0,002777778;0,463888889;10;4;10;0,2;16;15
29,0278;0;0,580555556;10;4;10;0,4;8;15
23,8889;0;0,477777778;10;4;10;0,4;12;15
22,3611;0,002777778;0,444444444;10;4;10;0,4;16;15
29,0278;0;0,580555556;10;4;10;0,4;8;15
23,8889;0;0,477777778;10;4;10;0,4;12;15
22,3611;0,002777778;0,444444444;10;4;10;0,4;16;15
20,2778;0;0,405555556;10;10;10;0,2;8;15
11,6667;0,013888889;0,219444444;10;10;10;0,2;12;15
9,3056;0,016666667;0,169444444;10;10;10;0,2;16;15
20,2778;0;0,405555556;10;10;10;0,2;8;15
11,6667;0,013888889;0,219444444;10;10;10;0,2;12;15
9,3056;0,016666667;0,169444444;10;10;10;0,2;16;15
18,6111;0,002777778;0,369444444;10;10;10;0,4;8;15
10,8333;0,022222222;0,194444444;10;10;10;0,4;12;15
8,4722;0,038888889;0,130555556;10;10;10;0,4;16;15
18,6111;0,002777778;0,369444444;10;10;10;0,4;8;15
10,8333;0,022222222;0,194444444;10;10;10;0,4;12;15
8,4722;0,038888889;0,130555556;10;10;10;0,4;16;15
25,5556;0;0,511111111;10;4;40;0,2;8;15
19,5833;0;0,391666667;10;4;40;0,2;12;15
17,9167;0,002777778;0,355555556;10;4;40;0,2;16;15
25,5556;0;0,511111111;10;4;40;0,2;8;15
19,5833;0;0,391666667;10;4;40;0,2;12;15
17,9167;0,002777778;0,355555556;10;4;40;0,2;16;15
25,5556;0;0,511111111;10;4;40;0,4;8;15
18,75;0;0,375;10;4;40;0,4;12;15
16,6667;0,002777778;0,330555556;10;4;40;0,4;16;15
25,5556;0;0,511111111;10;4;40;0,4;8;15
18,75;0;0,375;10;4;40;0,4;12;15
16,6667;0,002777778;0,330555556;10;4;40;0,4;16;15
18,0556;0,013888889;0,347222222;10;10;40;0,2;8;15
10,6944;0,05;0,163888889;10;10;40;0,2;12;15
10,9722;0,102777778;0,116666667;10;10;40;0,2;16;15
18,0556;0,013888889;0,347222222;10;10;40;0,2;8;15
10,6944;0,05;0,163888889;10;10;40;0,2;12;15
10,9722;0,102777778;0,116666667;10;10;40;0,2;16;15
16,6667;0,025;0,308333333;10;10;40;0,4;8;15
12,3611;0,125;0,122222222;10;10;40;0,4;12;15
17,6389;0,286111111;0,066666667;10;10;40;0,4;16;15
16,6667;0,025;0,308333333;10;10;40;0,4;8;15
12,3611;0,125;0,122222222;10;10;40;0,4;12;15
17,6389;0,286111111;0,066666667;10;10;40;0,4;16;15
36,25;0;0,725;20;4;10;0,2;8;15
35,5556;0;0,711111111;20;4;10;0,2;12;15
35,5556;0;0,711111111;20;4;10;0,2;16;15
36,25;0;0,725;20;4;10;0,2;8;15
35,5556;0;0,711111111;20;4;10;0,2;12;15
35,5556;0;0,711111111;20;4;10;0,2;16;15
36,25;0;0,725;20;4;10;0,4;8;15
35,5556;0;0,711111111;20;4;10;0,4;12;15
35,4167;0;0,708333333;20;4;10;0,4;16;15
36,25;0;0,725;20;4;10;0,4;8;15
35,5556;0;0,711111111;20;4;10;0,4;12;15
35,4167;0;0,708333333;20;4;10;0,4;16;15
26,9444;0;0,538888889;20;10;10;0,2;8;15
19,3056;0;0,386111111;20;10;10;0,2;12;15
17,2222;0;0,344444444;20;10;10;0,2;16;15
26,9444;0;0,538888889;20;10;10;0,2;8;15
19,3056;0;0,386111111;20;10;10;0,2;12;15
17,2222;0;0,344444444;20;10;10;0,2;16;15
25,9722;0;0,519444444;20;10;10;0,4;8;15
17,6389;0;0,352777778;20;10;10;0,4;12;15
15,5556;0;0,311111111;20;10;10;0,4;16;15
25,9722;0;0,519444444;20;10;10;0,4;8;15
17,6389;0;0,352777778;20;10;10;0,4;12;15
15,5556;0;0,311111111;20;10;10;0,4;16;15
34,3056;0;0,686111111;20;4;40;0,2;8;15
33,3333;0;0,666666667;20;4;40;0,2;12;15
32,7778;0;0,655555556;20;4;40;0,2;16;15
34,3056;0;0,686111111;20;4;40;0,2;8;15
33,3333;0;0,666666667;20;4;40;0,2;12;15
