EER;FMR;FNMR;THR;GDTHR;GAngTHR;LDTHR;beta;alfa;;;;;;;;;;;
17,3611;0;0,347222222;20;10;10;0,4;60;16;;;;;;;;;;;
17,7778;0;0,355555556;20;10;10;0,4;30;16;;;;;;;;;;;
19,0278;0;0,380555556;20;10;10;0,4;60;12;;;EER;FMR;FNMR;THR;GDTHR;GAngTHR;LDTHR;beta;alfa
19,3056;0;0,386111111;20;10;10;0,4;30;12;;FMR = 0;17,3611;0;0,347222222;20;10;10;0,4;60;16
20,2778;0;0,405555556;30;10;40;0,2;60;16;;FMR > 0;19,0278;0,002777778;0,377777778;30;10;40;0,4;30;12
20,6944;0;0,413888889;20;10;10;0,2;60;16;;;;;;;;;;;
20,6944;0;0,413888889;30;10;40;0,2;30;16;;Matches;total;103680;;;;;;;
21,1111;0;0,422222222;20;10;10;0,2;30;16;;9286;;;;;;;;;
21,5278;0;0,430555556;30;10;40;0,2;60;12;;;;;;;;;;;
21,9444;0;0,438888889;20;10;10;0,2;60;12;;average match;0,089564043;;;;;;;;
22,0833;0;0,441666667;30;10;40;0,2;30;12;;;;;;;;;;;
22,3611;0;0,447222222;20;10;10;0,2;30;12;;;;;;;;;;;
22,9167;0;0,458333333;20;10;10;0,4;60;8;;;;;;;;;;;
23,6111;0;0,472222222;20;10;10;0,4;30;8;;;;;;;;;;;
25,1389;0;0,502777778;30;10;40;0,2;60;8;;;;;;;;;;;
25,5556;0;0,511111111;30;10;40;0,2;30;8;;;;;;;;;;;
25,6944;0;0,513888889;20;10;10;0,2;60;8;;;;;;;;;;;
26,25;0;0,525;20;10;10;0,2;30;8;;;;;;;;;;;
27,5;0;0,55;30;10;10;0,4;60;16;;;;;;;;;;;
27,6389;0;0,552777778;30;10;10;0,4;30;16;;;;;;;;;;;
28,4722;0;0,569444444;30;10;10;0,4;30;12;;;;;;;;;;;
28,4722;0;0,569444444;30;10;10;0,4;60;12;;;;;;;;;;;
29,0278;0;0,580555556;30;10;10;0,2;60;16;;;;;;;;;;;
29,1667;0;0,583333333;30;10;10;0,2;30;16;;;;;;;;;;;
29,3056;0;0,586111111;20;4;40;0,4;60;16;;;;;;;;;;;
29,4444;0;0,588888889;20;4;40;0,4;30;16;;;;;;;;;;;
29,7222;0;0,594444444;30;10;10;0,2;60;12;;;;;;;;;;;
29,8611;0;0,597222222;30;10;10;0,2;30;12;;;;;;;;;;;
30;0;0,6;30;10;10;0,4;60;8;;;;;;;;;;;
30,2778;0;0,605555556;20;4;40;0,4;60;12;;;;;;;;;;;
30,2778;0;0,605555556;30;10;10;0,4;30;8;;;;;;;;;;;
30,4167;0;0,608333333;20;4;40;0,4;30;12;;;;;;;;;;;
30,5556;0;0,611111111;20;4;40;0,2;60;16;;;;;;;;;;;
30,6944;0;0,613888889;20;4;40;0,2;30;16;;;;;;;;;;;
31,3889;0;0,627777778;30;10;10;0,2;60;8;;;;;;;;;;;
31,6667;0;0,633333333;20;4;40;0,2;60;12;;;;;;;;;;;
31,6667;0;0,633333333;30;10;10;0,2;30;8;;;;;;;;;;;
31,8056;0;0,636111111;20;4;40;0,2;30;12;;;;;;;;;;;
32,0833;0;0,641666667;20;4;40;0,4;60;8;;;;;;;;;;;
32,2222;0;0,644444444;20;4;40;0,4;30;8;;;;;;;;;;;
32,7778;0;0,655555556;20;4;10;0,4;30;16;;;;;;;;;;;
32,7778;0;0,655555556;20;4;10;0,4;60;16;;;;;;;;;;;
33,0556;0;0,661111111;20;4;40;0,2;60;8;;;;;;;;;;;
33,1944;0;0,663888889;20;4;40;0,2;30;8;;;;;;;;;;;
33,6111;0;0,672222222;20;4;10;0,2;30;16;;;;;;;;;;;
33,6111;0;0,672222222;20;4;10;0,2;60;16;;;;;;;;;;;
33,6111;0;0,672222222;20;4;10;0,4;30;12;;;;;;;;;;;
33,6111;0;0,672222222;20;4;10;0,4;60;12;;;;;;;;;;;
34,1667;0;0,683333333;20;4;10;0,4;60;8;;;;;;;;;;;
34,3056;0;0,686111111;20;4;10;0,2;30;12;;;;;;;;;;;
34,3056;0;0,686111111;20;4;10;0,2;60;12;;;;;;;;;;;
34,3056;0;0,686111111;20;4;10;0,4;30;8;;;;;;;;;;;
34,7222;0;0,694444444;20;4;10;0,2;60;8;;;;;;;;;;;
34,8611;0;0,697222222;20;4;10;0,2;30;8;;;;;;;;;;;
35,4167;0;0,708333333;30;4;40;0,4;30;12;;;;;;;;;;;
35,4167;0;0,708333333;30;4;40;0,4;30;16;;;;;;;;;;;
35,4167;0;0,708333333;30;4;40;0,4;60;12;;;;;;;;;;;
35,4167;0;0,708333333;30;4;40;0,4;60;16;;;;;;;;;;;
35,8333;0;0,716666667;30;4;40;0,2;30;12;;;;;;;;;;;
35,8333;0;0,716666667;30;4;40;0,2;30;16;;;;;;;;;;;
