EER;FMR;FNMR;THR;GDTHR;GAngTHR;;;;;;;;;;
30;0;0,6;0,5;12;20;;;;;;;;;;
31,1111;0;0,622222222;0,3;4;20;;EER;FMR;FNMR;THR;GDTHR;GAngTHR;;;
31,25;0;0,625;0,3;10;10;;30;0;0,6;0,5;12;20;;;
31,3889;0;0,627777778;0,4;6;20;;;;;;;;;;
31,3889;0;0,627777778;0,5;10;20;;;;;;;;;;
32,6389;0;0,652777778;0,6;10;30;;Matches;total;129600;;;;;;
32,9167;0;0,658333333;0,2;4;10;;1745;;;;;;;;
33,1944;0;0,663888889;0,3;8;10;;;;;;;;;;
33,3333;0;0,666666667;0,5;8;20;;;;;;;;;;
34,8611;0;0,697222222;0,4;4;20;;;0,013464506;;;;;;;
34,8611;0;0,697222222;0,6;8;30;;;;;;;;;;
35;0;0,7;0,3;6;10;;;;;;;;;;
35,1389;0;0,702777778;0,6;12;20;;;29,1667;0,013943;0,005532;0,010108;0,008264;0,009846;0,021937;0,013465
35,2778;0;0,705555556;0,4;12;10;;;25,2778;;;;;;;
35,5556;0;0,711111111;0,5;6;20;;;28,4722;;;;;;;
35,6944;0;0,713888889;0,4;10;10;;;28,75;;;;;;;
35,9722;0;0,719444444;0,6;10;20;;;32,2222;;;;;;;
36,1111;0;0,722222222;0,4;8;10;;;31,8056;;;;;;;
36,1111;0;0,722222222;0,5;4;30;;;17,6389;;;;;;;
36,3889;0;0,727777778;0,3;4;10;;;30;;;;;;;
36,8056;0;0,736111111;0,4;6;10;;;;;;;;;;
36,9444;0;0,738888889;0,5;12;10;;;27,916675;;;;;;;
36,9444;0;0,738888889;0,6;6;30;;;;;;;;;;
37,0833;0;0,741666667;0,6;8;20;;;;;;;;;;
37,3611;0;0,747222222;0,5;10;10;;;;;;;;;;
37,3611;0;0,747222222;0,5;4;20;;;;;;;;;;
37,3611;0;0,747222222;0,6;4;40;;;;;;;;;;
37,5;0;0,75;0,5;8;10;;;;;;;;;;
37,7778;0;0,755555556;0,4;4;10;;;;;;;;;;
37,7778;0;0,755555556;0,6;6;20;;;;;;;;;;
37,9167;0;0,758333333;0,6;4;30;;;;;;;;;;
38,0556;0;0,761111111;0,5;6;10;;;;;;;;;;
38,1944;0;0,763888889;0,6;10;10;;;;;;;;;;
38,1944;0;0,763888889;0,6;12;10;;;;;;;;;;
38,4722;0;0,769444444;0,6;8;10;;;;;;;;;;
38,6111;0;0,772222222;0,5;4;10;;;;;;;;;;
38,6111;0;0,772222222;0,6;6;10;;;;;;;;;;
38,6111;0;0,772222222;0,6;4;20;;;;;;;;;;
38,8889;0;0,777777778;0,6;4;10;;;;;;;;;;
32,3611;0,002777778;0,644444444;0,4;4;30;;;;;;;;;;
